Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),CO2 (kg/kg),CO (kg/kg)
0.0,,0.0035200000000000006,,,,,,,0.0,0.0,0.0
6.0,,0.00528,,,,,,,0.0,0.0,0.0
12.0,,0.0132,,,,,,,0.218,0.11,0.003
18.0,,0.0017600000000000003,,,,,,,0.138,0.19,0.0
24.0,,0.03432,,,,,,,0.086,1.46,0.321
30.0,,2.42616,,,,,,,0.147,1.19,0.185
36.0,,1.95096,,,,,,,0.172,0.82,0.064
42.0,,0.9759200000000001,,,,,,,0.1,1.24,0.133
48.0,,1.0639200000000002,,,,,,,0.039,3.77,0.748
54.0,,1.7890400000000002,,,,,,,0.014,10.87,1.594
60.0,,1.35256,,,,,,,0.007,16.66,1.377
66.0,,0.79288,,,,,,,0.011,8.88,0.529
72.0,,0.41888000000000003,,,,,,,0.013,5.25,0.423
78.0,,0.22440000000000002,,,,,,,0.013,4.47,0.388
84.0,,0.198,,,,,,,0.013,4.19,0.376
90.0,,0.20944000000000002,,,,,,,0.014,3.79,0.273
96.0,,0.18480000000000002,,,,,,,0.013,3.81,0.339
102.0,,0.24376,,,,,,,0.012,4.29,0.353
108.0,,0.20856,,,,,,,0.01,4.69,0.38
114.0,,0.17688,,,,,,,0.007,7.17,0.6
120.0,,0.17864000000000002,,,,,,,0.006,7.44,0.658
126.0,,0.16632,,,,,,,0.009,4.87,0.345
132.0,,0.17072,,,,,,,0.007,6.45,0.501
138.0,,0.17864000000000002,,,,,,,0.009,5.22,0.336
