Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,0.0
3.0,,,,,,,,,0.223,2.1,0.09,0.0
6.0,,,,,,,,,0.212,1.3,0.1,-0.002
9.0,,,,,,,,,0.202,3.2,0.1,0.0
12.0,,,,,,,,,0.192,49.7,0.74,0.035
15.0,,,,,,,,,0.183,146.6,0.9,0.047
18.0,,,,,,,,,0.174,218.4,1.02,0.054
21.0,,,,,,,,,0.166,242.1,1.07,0.056
24.0,,,,,,,,,0.159,244.4,1.12,0.058
27.0,,,,,,,,,0.152,238.7,1.23,0.069
30.0,,,,,,,,,0.145,230.9,1.24,0.068
33.0,,,,,,,,,0.137,215.5,1.14,0.059
36.0,,,,,,,,,0.13,191.9,1.44,0.062
39.0,,,,,,,,,0.124,204.0,2.36,0.078
42.0,,,,,,,,,0.118,342.2,3.55,0.08
45.0,,,,,,,,,0.113,551.7,4.63,0.068
48.0,,,,,,,,,0.108,751.1,5.43,0.058
51.0,,,,,,,,,0.103,913.3,6.3,0.055
54.0,,,,,,,,,0.098,1005.4,6.74,0.052
57.0,,,,,,,,,0.094,1028.8,6.59,0.044
60.0,,,,,,,,,0.091,965.0,5.96,0.042
63.0,,,,,,,,,0.088,853.6,5.38,0.038
66.0,,,,,,,,,0.085,712.6,4.8,0.035
69.0,,,,,,,,,0.077,601.0,4.17,0.032
72.0,,,,,,,,,0.067,445.4,3.35,0.019
75.0,,,,,,,,,0.058,273.1,2.65,0.011
78.0,,,,,,,,,0.05,156.6,2.39,0.013
81.0,,,,,,,,,0.041,83.9,2.34,0.02
84.0,,,,,,,,,0.034,52.3,2.33,0.032
87.0,,,,,,,,,0.029,33.8,2.26,0.025
90.0,,,,,,,,,0.024,24.9,2.3,0.028
93.0,,,,,,,,,0.018,17.7,2.47,0.027
96.0,,,,,,,,,0.013,12.1,2.73,0.044
99.0,,,,,,,,,0.01,6.5,3.02,0.052
102.0,,,,,,,,,0.007,1.6,3.72,0.053
105.0,,,,,,,,,0.005,0.0,0.0,0.0
108.0,,,,,,,,,0.003,0.8,0.0,0.0
111.0,,,,,,,,,0.0,-1.1,0.0,0.0
114.0,,,,,,,,,0.0,-0.5,0.0,0.0
117.0,,,,,,,,,0.0,1.6,0.0,0.0
120.0,,,,,,,,,0.0,1.4,0.0,0.0
123.0,,,,,,,,,0.0,2.2,0.0,0.0
