Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,0.0,,,,,,,232.0,0.201,1.42,,0.809,0.0003,0.0003
5.0,,0.812,,,,,,,247.0,0.312,1.46,0.0029,0.5357,0.0018,0.0018
10.0,,4.763,,,,,,,262.0,0.2475,1.75,0.0033,0.6263,0.0068,0.0068
15.0,,6.108,,,,,,,277.0,0.2638,1.57,0.0097,0.6092,0.003,0.003
20.0,,6.079,,,,,,,292.0,0.2575,1.52,0.0096,0.7392,0.0027,0.0027
25.0,,5.908,,,,,,,307.0,0.2695,1.73,0.0145,1.0742,0.0028,0.0028
30.0,,5.957000000000001,,,,,,,323.0,0.301,2.37,0.0126,1.3236,0.0023,0.0023
35.0,,6.931,,,,,,,293.0,0.3702,2.84,0.0132,1.0999,0.0018,0.0018
40.0,,9.783,,,,,,,284.0,0.4416,2.3,0.0097,0.8416,0.0016,0.0016
45.0,,12.841,,,,,,,305.0,0.4803,2.01,0.0123,0.6838,0.0018,0.0018
50.0,,13.341,,,,,,,369.0,0.44,1.96,0.0134,0.5144,0.0022,0.0022
55.0,,13.299,,,,,,,515.0,0.3513,1.59,0.0211,0.3484,0.0024,0.0024
60.0,,12.256,,,,,,,580.0,0.2362,1.13,0.0338,0.2828,0.0028,0.0028
65.0,,8.528,,,,,,,565.0,0.126,0.66,0.0621,0.3429,0.0037,0.0037
70.0,,3.725,,,,,,,478.0,0.065,0.42,0.1347,0.4883,0.005,0.005
75.0,,1.114,,,,,,,386.0,0.0214,0.87,0.287,1.2427,0.0133,0.0133
80.0,,0.466,,,,,,,274.0,0.0139999999999999,1.24,0.4474,1.4173,0.017,0.017
85.0,,0.3329999999999999,,,,,,,176.0,0.0061,2.47,0.5066,2.8385,0.0339,0.0339
90.0,,0.283,,,,,,,92.0,0.0002,76.01,17.3502,83.6013,1.0403,1.0403
95.0,,0.246,,,,,,,29.0,0.0066,2.26,0.1963,1.7666,0.0269,0.0269
100.0,,0.213,,,,,,,10.0,0.0127,1.12,0.1028,0.7393,0.0129,0.0129
105.0,,0.188,,,,,,,3.0,0.0095,1.54,0.0708,1.278,0.0164,0.0164
110.0,,0.149,,,,,,,1.0,0.0193,0.73,0.0352,0.5494,0.0077,0.0077
115.0,,0.132,,,,,,,3.0,-0.0009,14.01,0.4506,7.8048,0.1412,0.1412
120.0,,0.098,,,,,,,1.0,-0.0052,14.5,0.4493,8.1296,0.1348,0.1348
125.0,,0.087,,,,,,,1.0,-0.0087,14.35,0.2262,6.6845,0.1292,0.1292
130.0,,0.084,,,,,,,1.0,-0.005,13.98,0.2283,5.4084,0.1259,0.1259
135.0,,0.066,,,,,,,6.0,-0.0002,13.95,0.2273,3.9348,0.1202,0.1202
140.0,,0.052,,,,,,,24.0,-0.0036,12.78,0.2304,7.0723,0.1185,0.1185
145.0,,0.04,,,,,,,26.0,0.0134,0.84,0.009,0.4573,0.0086,0.0086
150.0,,0.046,,,,,,,22.0,0.0037,2.48,0.0325,0.5959,0.0296,0.0296
155.0,,0.021,,,,,,,18.0,0.0113999999999999,0.48,0.0107,,0.0096,0.0096
160.0,,0.034,,,,,,,14.0,0.0081999999999999,5.06,0.1219,1.0864,0.1062,0.1062
165.0,,0.034,,,,,,,10.0,-0.0081999999999999,3.02,0.1224,2.2862,0.1045,0.1045
170.0,,0.0289999999999999,,,,,,,11.0,-0.0002,0.99,0.1221,3.8544,0.1029,0.1029
175.0,,0.031,,,,,,,9.0,-0.0018,2.17,,1.7106,0.1013,0.1013
180.0,,0.02,,,,,,,3.0,0.0117,0.2,,0.2236,0.0085,0.0085
185.0,,0.02,,,,,,,-2.0,0.0473,0.09,,0.0464,0.002,0.002
190.0,,0.018,,,,,,,-8.0,-0.0154,3.95,,1.9817,0.0961,0.0961
195.0,,0.022,,,,,,,-13.0,-0.0491,4.99,,3.7033,0.0946,
