Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-1.2,0.0,0.0
5.0,,,,,,,,,0.0,-0.5,0.0,0.0
9.0,,,,,,,,,0.0,-1.7,0.0,0.0
14.0,,,,,,,,,0.0,-2.7,0.0,0.0
19.0,,,,,,,,,0.0,-1.2,0.0,0.0
24.0,,,,,,,,,0.0,0.2,0.0,0.0
29.0,,,,,,,,,0.0,0.2,0.0,0.0
34.0,,,,,,,,,0.0,-0.2,0.0,0.0
39.0,,,,,,,,,0.043,1.7,0.66,0.028
44.0,,,,,,,,,0.054,112.0,2.09,0.308
49.0,,,,,,,,,0.075,163.3,1.83,0.183
54.0,,,,,,,,,0.07,50.7,1.18,0.069
59.0,,,,,,,,,0.037,-2.8,1.18,0.061
64.0,,,,,,,,,0.021,-5.2,1.51,0.055
69.0,,,,,,,,,0.014,-4.3,1.97,0.1
74.0,,,,,,,,,0.009,-2.4,2.9,0.154
79.0,,,,,,,,,0.009,-1.4,3.0,0.131
85.0,,,,,,,,,0.012,0.0,2.15,0.026
89.0,,,,,,,,,0.019,0.7,1.44,0.066
94.0,,,,,,,,,0.015,1.7,1.79,0.087
99.0,,,,,,,,,0.015,0.0,1.78,0.096
104.0,,,,,,,,,0.015,0.7,1.84,0.097
109.0,,,,,,,,,0.011,1.7,2.45,0.096
114.0,,,,,,,,,0.021,-1.0,1.33,0.051
119.0,,,,,,,,,0.016,0.2,1.66,0.071
124.0,,,,,,,,,0.016,2.2,1.69,0.116
129.0,,,,,,,,,0.02,-1.4,1.35,0.071
134.0,,,,,,,,,0.021,0.0,1.28,0.048
139.0,,,,,,,,,0.016,1.7,1.71,0.054
144.0,,,,,,,,,0.01,1.7,2.84,0.117
149.0,,,,,,,,,0.006,1.7,4.33,0.16
154.0,,,,,,,,,0.004,2.2,93.24,5.542
159.0,,,,,,,,,0.001,1.7,96.62,7.827
164.0,,,,,,,,,0.002,0.0,94.0,4.691
169.0,,,,,,,,,0.006,1.4,4.31,0.133
174.0,,,,,,,,,0.01,1.4,2.7,0.087
179.0,,,,,,,,,0.013,1.7,2.15,0.129
184.0,,,,,,,,,0.013,-0.2,2.08,0.132
189.0,,,,,,,,,0.006,1.2,4.43,0.194
194.0,,,,,,,,,0.006,1.4,4.44,0.198
199.0,,,,,,,,,0.006,1.0,4.46,0.166
204.0,,,,,,,,,0.006,2.4,4.47,0.226
209.0,,,,,,,,,0.006,2.4,4.45,0.193
214.0,,,,,,,,,0.027,1.7,1.03,0.05
219.0,,,,,,,,,0.02,1.4,1.41,0.046
