Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,155.98,,0.0245,,,,,,0.0,1.79,0.0,0.0,0.0,0.0,0.0
5.0,155.32,,0.0242,,,,,,16.2,0.0,0.0,0.0,0.0,0.0,0.0
10.0,155.27,,0.0244,,,,,,78.5,1.79,0.088,0.0,0.0,0.0,0.0001
15.0,155.1,,0.0243,,,,,,115.5,0.39,0.547,0.0,0.0,0.0,0.0001
20.0,154.8,,0.0238,,,,,,169.3,10.44,0.722,0.0,0.0,0.0,0.0
25.0,153.67,,0.0227,,,,,,776.1,128.78,0.63,0.003,0.00121,0.0,0.0
30.0,152.12,,0.0223,,,,,,1261.8,237.26,0.582,0.003,0.00067,0.0,0.0
35.0,150.6,,0.022,,,,,,1557.6,253.12,0.54,0.007,0.0023,0.0,0.0
40.0,149.37,,0.0224,,,,,,1574.6,236.1,0.551,0.008,0.00204,0.0,0.0
45.0,148.24,,0.0225,,,,,,1557.5,204.16,0.555,0.013,0.0,0.0,0.0
50.0,147.17,,0.0224,,,,,,1510.7,189.67,0.554,0.014,0.00341,0.0,0.0
55.0,146.17,,0.0227,,,,,,1470.4,178.56,0.563,0.016,0.002,0.0,0.0
60.0,145.19,,0.0225,,,,,,1520.2,173.6,0.575,0.016,0.00252,0.0,0.0
65.0,144.21,,0.0227,,,,,,1492.3,172.48,0.578,0.015,0.0,0.0,0.0
70.0,143.21,,0.0227,,,,,,1478.0,173.64,0.574,0.014,0.00726,0.0,0.0
75.0,142.19,,0.0226,,,,,,1458.3,173.88,0.564,0.014,0.0,0.0,0.0
80.0,141.03,,0.0223,,,,,,1456.0,175.9,0.589,0.014,0.00192,0.0,0.0001
85.0,140.13,,0.0225,,,,,,1539.1,179.15,0.619,0.014,0.0,0.0,0.0001
90.0,139.07,,0.0223,,,,,,1566.2,181.1,0.632,0.014,0.0033,0.0,0.0001
95.0,138.17,,0.0225,,,,,,1616.0,180.42,0.661,0.015,0.0,0.0,0.0001
100.0,137.17,,0.0225,,,,,,1597.0,181.57,0.707,0.015,0.0,0.0,0.0001
105.0,136.39,,0.0225,,,,,,1592.2,181.87,0.692,0.015,0.0,0.0,0.0001
110.0,135.45,,0.0223,,,,,,1495.0,178.51,0.705,0.015,0.0,0.0,0.0001
115.0,134.65,,0.0224,,,,,,1505.5,171.69,0.747,0.015,0.0,0.0,0.0001
120.0,133.86,,0.0225,,,,,,1522.0,169.72,0.793,0.015,0.0,0.0,0.0001
125.0,133.11,,0.0224,,,,,,1439.3,167.73,0.822,0.013,0.0,0.0,0.0
130.0,132.35,,0.0225,,,,,,1516.6,174.91,0.857,0.014,0.0,0.0,0.0
135.0,131.6,,0.0225,,,,,,1474.8,178.11,0.894,0.012,0.0,0.0,0.0
140.0,130.91,,0.0227,,,,,,1468.4,183.48,0.893,0.012,0.0,0.0,0.0
145.0,130.12,,0.0224,,,,,,1471.6,182.52,0.92,0.011,0.0015,0.0,0.0
150.0,129.43,,0.0225,,,,,,1525.0,182.51,0.995,0.012,0.0018,0.0,0.0
155.0,128.76,,0.0224,,,,,,1607.8,181.85,1.065,0.011,0.0033,0.0,0.0
160.0,128.17,,0.0224,,,,,,1600.5,184.77,1.066,0.012,0.0,0.0,0.0
165.0,127.62,,0.0224,,,,,,1490.8,176.22,1.08,0.011,0.0,0.0,0.0
170.0,127.03,,0.0225,,,,,,1559.7,171.8,1.053,0.012,0.0,0.0,0.0
175.0,126.54,,0.0225,,,,,,1500.0,160.16,1.104,0.012,0.0,0.0,0.0
180.0,126.07,,0.0227,,,,,,1415.0,144.72,1.137,0.014,0.0,0.0,0.0
185.0,125.72,,0.0226,,,,,,1352.4,130.43,1.28,0.013,0.0,0.0,0.0
190.0,125.35,,0.0227,,,,,,1168.3,120.02,1.403,0.016,0.0,0.0,0.0
195.0,125.14,,0.0228,,,,,,1025.0,109.33,1.408,0.014,0.0,0.0,0.0
200.0,124.81,,0.0229,,,,,,931.1,101.89,1.391,0.014,0.00424,0.0,0.0
205.0,124.62,,0.0229,,,,,,873.4,94.41,1.356,0.012,0.0,0.0,0.0
