Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.2,0.0,0.0
5.0,,,,,,,,,0.0,0.9,0.0,0.0
10.0,,,,,,,,,0.0,-1.4,0.0,0.0
15.0,,,,,,,,,0.0,1.4,0.0,0.0
20.0,,,,,,,,,0.0,2.5,0.0,0.0
25.0,,,,,,,,,0.0,281.0,0.0,0.0
30.0,,,,,,,,,0.0,244.6,0.0,0.0
35.0,,,,,,,,,0.0,98.3,0.0,0.0
40.0,,,,,,,,,0.0,51.2,0.0,0.0
45.0,,,,,,,,,0.0,65.7,0.0,0.0
50.0,,,,,,,,,0.008,96.3,13.12,1.564
55.0,,,,,,,,,0.047,102.5,2.25,0.251
60.0,,,,,,,,,0.066,94.8,1.58,0.158
65.0,,,,,,,,,0.062,88.3,1.62,0.169
70.0,,,,,,,,,0.053,77.1,1.78,0.189
75.0,,,,,,,,,0.054,55.1,1.47,0.167
80.0,,,,,,,,,0.06,43.1,1.16,0.145
85.0,,,,,,,,,0.046,37.8,1.36,0.17
90.0,,,,,,,,,0.014,30.8,4.0,0.505
95.0,,,,,,,,,0.014,24.5,3.59,0.463
100.0,,,,,,,,,0.03,21.3,1.61,0.227
105.0,,,,,,,,,0.02,21.0,2.3,0.312
110.0,,,,,,,,,0.009,18.5,4.76,0.56
115.0,,,,,,,,,0.012,19.7,3.82,0.451
120.0,,,,,,,,,0.011,18.8,3.96,0.386
130.0,,,,,,,,,0.016,18.1,2.72,0.259
135.0,,,,,,,,,0.03,18.8,1.45,0.138
140.0,,,,,,,,,0.035,18.4,1.25,0.118
145.0,,,,,,,,,0.025,18.0,1.74,0.153
150.0,,,,,,,,,0.007,15.2,6.66,0.588
155.0,,,,,,,,,0.007,17.0,6.67,0.599
160.0,,,,,,,,,0.004,18.4,159.89,14.666
165.0,,,,,,,,,0.016,17.2,2.71,0.258
170.0,,,,,,,,,0.018,15.1,2.33,0.182
175.0,,,,,,,,,0.011,15.9,4.07,0.321
180.0,,,,,,,,,0.008,15.9,5.34,0.489
185.0,,,,,,,,,0.008,17.1,5.21,0.455
190.0,,,,,,,,,0.004,16.8,159.39,14.158
195.0,,,,,,,,,0.006,15.9,7.77,0.647
200.0,,,,,,,,,0.01,16.9,4.3,0.354
205.0,,,,,,,,,0.007,16.4,535.92,4.881
210.0,,,,,,,,,0.011,15.9,3.94,0.282
215.0,,,,,,,,,0.423,15.2,0.1,0.009
220.0,,,,,,,,,0.407,15.5,0.11,0.007
