Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-1.2,
5.0,,-1.8,
10.0,,-1.26,
15.0,,-1.59,
20.0,,-0.64,
25.0,,0.05,
30.0,,0.28,
35.0,,0.9,
40.0,,-0.19,
45.0,,0.25,
50.0,,0.83,
55.0,,0.72,
60.0,,0.55,
65.0,,0.03,
70.0,,-0.16,
75.0,,0.3,
80.0,,0.67,
85.0,,0.82,
90.0,,1.41,
95.0,,2.01,
100.0,4.0,4.38,0.02
105.0,34.5,8.63,0.19
110.0,143.8,12.42,0.91
115.0,236.7,13.68,2.1
120.0,298.9,14.06,3.59
125.0,337.7,13.6,5.28
130.0,346.7,14.33,7.01
135.0,365.7,14.94,8.84
140.0,372.0,14.44,10.7
145.0,380.6,17.23,12.6
150.0,385.7,17.97,14.53
155.0,385.6,17.4,16.46
160.0,384.4,16.41,18.38
165.0,383.4,16.1,20.3
170.0,387.8,18.48,22.24
175.0,390.3,18.0,24.19
180.0,394.1,16.43,26.16
185.0,389.7,15.5,28.11
190.0,397.6,16.49,30.1
195.0,401.7,16.89,32.11
200.0,395.5,15.6,34.08
205.0,393.9,15.84,36.05
210.0,398.0,16.33,38.04
215.0,396.3,18.52,40.02
220.0,398.3,18.35,42.02
225.0,395.6,15.94,43.99
230.0,395.0,16.52,45.97
235.0,395.9,16.51,47.95
240.0,398.7,16.69,49.94
245.0,391.8,17.26,51.9
250.0,395.5,16.3,53.88
255.0,398.7,15.92,55.87
260.0,398.3,15.78,57.86
265.0,395.5,17.1,59.84
270.0,402.7,18.01,61.85
275.0,401.4,17.99,63.86
280.0,398.8,17.7,65.86
285.0,389.1,16.81,67.8
290.0,404.9,17.52,69.83
295.0,399.2,16.43,71.82
300.0,402.7,15.52,73.83
305.0,396.3,15.93,75.82
310.0,395.6,17.11,77.79
315.0,396.7,18.16,79.78
320.0,396.4,17.5,81.76
325.0,402.9,16.62,83.77
330.0,404.2,16.69,85.8
335.0,404.7,16.63,87.82
340.0,403.8,16.45,89.84
345.0,399.6,16.92,91.84
350.0,403.8,16.58,93.86
355.0,402.2,17.0,95.87
360.0,403.6,17.89,97.88
365.0,396.0,18.39,99.86
370.0,404.4,17.5,101.89
375.0,411.1,16.3,103.94
380.0,401.5,16.04,105.95
385.0,402.7,17.33,107.96
390.0,396.3,17.38,109.94
395.0,404.2,18.37,111.97
400.0,405.4,17.38,113.99
405.0,418.2,17.97,116.08
410.0,412.6,18.84,118.15
415.0,417.0,17.33,120.23
420.0,412.1,18.3,122.29
425.0,426.4,17.93,124.42
430.0,414.0,16.74,126.49
435.0,424.6,17.25,128.62
440.0,412.5,17.86,130.68
445.0,418.1,18.44,132.77
450.0,425.7,19.01,134.9
455.0,428.4,16.52,137.04
460.0,428.1,16.68,139.18
465.0,430.2,18.52,141.33
470.0,417.7,18.75,143.42
475.0,418.4,19.65,145.51
480.0,417.0,18.66,147.6
485.0,416.6,17.57,149.68
490.0,423.5,18.25,151.8
495.0,426.1,17.95,153.93
