Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-0.28,
5.0,175.0,,7.86,
10.0,350.0,0.0,6.69,0.0
15.0,525.0,0.3,9.21,0.0
20.0,700.0,0.0,10.39,0.0
25.0,875.0,0.0,11.5,0.0
30.0,1050.0,8.4,11.49,0.04
35.0,1225.0,103.4,12.06,0.56
40.0,1400.0,202.4,11.73,1.57
45.0,1575.0,217.4,11.69,2.66
50.0,1750.0,227.6,11.49,3.8
55.0,1925.0,236.7,10.86,4.98
60.0,2100.0,254.1,10.79,6.25
65.0,2275.0,268.0,9.92,7.59
70.0,2450.0,269.0,9.69,8.94
75.0,2625.0,271.6,9.1,10.29
80.0,2800.0,274.2,8.73,11.67
85.0,2975.0,263.2,7.82,12.98
90.0,3150.0,242.9,7.17,14.2
95.0,3325.0,252.6,7.26,15.46
100.0,3500.0,252.5,7.34,16.72
105.0,3675.0,224.5,7.83,17.84
110.0,3850.0,210.7,7.07,18.9
115.0,4025.0,195.1,6.74,19.87
120.0,4200.0,193.2,6.36,20.84
125.0,4375.0,174.7,6.2,21.71
130.0,4550.0,164.1,6.77,22.53
135.0,4725.0,162.5,6.96,23.35
140.0,4900.0,156.5,7.64,24.13
145.0,5075.0,162.3,7.59,24.94
150.0,5250.0,157.8,8.58,25.73
155.0,5425.0,163.7,9.48,26.55
160.0,5600.0,168.0,10.59,27.39
165.0,5775.0,168.5,11.32,28.23
170.0,5950.0,185.0,11.34,29.16
175.0,6125.0,209.6,11.52,30.2
180.0,6300.0,224.5,11.2,31.33
185.0,6475.0,244.2,11.69,32.55
190.0,6650.0,254.6,11.19,33.82
195.0,6825.0,293.1,10.27,35.29
200.0,7000.0,296.3,10.52,36.77
205.0,7175.0,290.6,9.8,38.22
210.0,7350.0,274.4,10.38,39.59
215.0,7525.0,268.3,10.34,40.93
220.0,7700.0,260.3,9.02,42.23
225.0,7875.0,254.8,8.7,43.51
230.0,8050.0,263.3,8.06,44.83
235.0,8225.0,260.8,7.57,46.13
240.0,8400.0,254.6,7.65,47.4
245.0,8575.0,246.3,7.52,48.63
250.0,8750.0,242.6,6.71,49.85
255.0,8925.0,227.1,6.24,50.98
260.0,9100.0,216.6,5.27,52.06
265.0,9275.0,210.0,4.04,53.11
270.0,9450.0,211.4,2.53,54.17
275.0,9625.0,197.0,2.07,55.16
280.0,9800.0,184.0,1.25,56.08
285.0,9975.0,159.3,1.5,56.87
290.0,10150.0,131.8,0.61,57.53
295.0,10325.0,97.9,-0.0,58.02
300.0,10500.0,72.8,0.13,58.38
305.0,10675.0,55.2,0.19,58.66
310.0,10850.0,40.8,0.24,58.86
315.0,11025.0,29.5,-0.28,59.01
320.0,11200.0,22.6,0.09,59.12
325.0,11375.0,15.7,0.46,59.2
330.0,11550.0,11.2,0.37,59.26
335.0,11725.0,8.1,0.25,59.3
340.0,11900.0,6.0,-0.73,59.33
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
