Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,0.21,
5.0,,2.08,
10.0,0.6,15.1,0.0
15.0,41.1,21.05,0.21
20.0,209.9,21.69,1.26
25.0,221.1,17.89,2.36
30.0,170.7,13.83,3.22
35.0,176.2,13.4,4.1
40.0,191.6,13.48,5.06
45.0,185.5,11.76,5.98
50.0,184.3,12.52,6.91
55.0,168.3,9.4,7.75
60.0,135.4,9.53,8.42
65.0,113.1,8.57,8.99
70.0,99.4,7.38,9.49
75.0,94.9,8.53,9.96
80.0,91.8,8.6,10.42
85.0,87.7,9.79,10.86
90.0,87.1,7.65,11.29
95.0,85.5,5.36,11.72
100.0,81.2,6.29,12.13
105.0,78.2,6.31,12.52
110.0,73.9,6.84,12.89
115.0,68.3,6.64,13.23
120.0,62.8,6.36,13.54
125.0,57.7,8.26,13.83
130.0,55.7,7.45,14.11
135.0,56.2,4.97,14.39
140.0,55.0,5.1,14.67
145.0,60.2,5.34,14.97
150.0,64.0,6.21,15.29
155.0,72.0,8.13,15.65
160.0,82.9,7.79,16.06
165.0,94.8,10.66,16.54
170.0,113.3,10.19,17.1
175.0,128.5,8.65,17.74
180.0,138.0,7.82,18.43
185.0,142.3,8.22,19.15
190.0,145.8,9.92,19.88
195.0,149.9,10.03,20.62
200.0,153.3,8.8,21.39
205.0,154.4,5.73,22.16
210.0,157.6,5.53,22.95
215.0,159.3,7.22,23.75
220.0,166.3,7.97,24.58
225.0,170.3,8.16,25.43
230.0,174.3,7.39,26.3
235.0,172.5,6.01,27.17
240.0,174.7,8.36,28.04
245.0,171.7,8.96,28.9
250.0,172.4,7.19,29.76
255.0,170.2,6.04,30.61
260.0,170.0,4.71,31.46
265.0,170.6,6.93,32.31
270.0,168.5,8.5,33.16
275.0,164.0,8.43,33.98
280.0,159.0,6.14,34.77
285.0,157.0,5.86,35.56
290.0,155.0,5.34,36.33
295.0,153.7,4.79,37.1
300.0,147.3,5.99,37.84
305.0,141.0,4.96,38.54
310.0,141.7,6.17,39.25
315.0,135.3,4.81,39.93
320.0,133.4,4.64,40.59
325.0,126.0,5.08,41.22
330.0,121.8,4.13,41.83
335.0,117.2,3.37,42.42
340.0,113.7,2.7,42.99
345.0,108.9,3.69,43.53
350.0,104.0,5.04,44.05
355.0,98.9,4.98,44.55
360.0,91.0,3.33,45.0
365.0,88.0,1.66,45.44
370.0,85.1,1.05,45.87
375.0,82.6,1.6,46.28
380.0,76.4,1.61,46.66
385.0,71.7,2.26,47.02
390.0,67.8,2.67,47.36
395.0,63.3,3.05,47.68
400.0,62.4,3.03,47.99
405.0,57.7,1.61,48.28
410.0,55.7,0.86,48.55
415.0,53.6,0.53,48.82
420.0,52.8,1.03,49.09
425.0,50.3,1.53,49.34
430.0,49.2,2.94,49.58
435.0,47.0,2.89,49.82
440.0,45.7,1.44,50.05
445.0,44.9,0.42,50.27
450.0,43.8,1.18,50.49
455.0,43.3,2.69,50.71
460.0,43.2,2.55,50.92
465.0,42.7,2.63,51.14
470.0,40.6,1.34,51.34
475.0,38.4,1.01,51.53
480.0,37.9,2.0,51.72
485.0,38.1,1.58,51.91
490.0,38.1,1.21,52.1
495.0,38.4,0.64,52.3
500.0,37.4,-0.96,52.48
505.0,37.5,0.99,52.67
510.0,40.3,3.11,52.87
515.0,39.4,1.55,53.07
520.0,37.7,0.79,53.26
525.0,38.9,-0.72,53.45
530.0,39.0,0.48,53.65
535.0,40.5,3.69,53.85
540.0,42.2,3.44,54.06
545.0,42.0,2.97,54.27
550.0,42.4,2.04,54.48
555.0,42.9,0.53,54.7
560.0,42.5,0.07,54.91
565.0,41.6,-0.48,55.12
570.0,44.3,0.78,55.34
575.0,40.0,3.25,55.54
580.0,40.5,4.15,55.74
585.0,40.0,3.24,55.94
590.0,42.0,1.14,56.15
595.0,40.1,-0.84,56.35
600.0,41.8,-0.24,56.56
605.0,42.9,1.31,56.77
610.0,40.8,2.74,56.98
615.0,41.9,2.87,57.19
620.0,42.2,1.81,57.4
625.0,41.4,1.13,57.61
630.0,42.8,1.28,57.82
635.0,41.6,1.56,58.03
640.0,40.9,0.1,58.23
645.0,44.6,0.66,58.45
650.0,43.0,1.08,58.67
655.0,44.2,0.84,58.89
660.0,44.0,1.48,59.11
665.0,41.7,0.52,59.32
670.0,42.9,2.24,59.53
675.0,38.6,2.68,59.73
680.0,40.2,1.19,59.93
685.0,41.3,0.78,60.13
690.0,37.9,-0.36,60.32
695.0,37.1,2.39,60.51
700.0,37.2,3.68,60.69
705.0,34.5,3.01,60.87
710.0,34.1,2.39,61.04
715.0,32.7,-0.68,61.2
720.0,33.0,0.15,61.37
725.0,33.0,1.13,61.53
730.0,32.2,0.51,61.69
735.0,29.9,0.4,61.84
740.0,26.3,0.01,61.97
745.0,26.6,0.99,62.11
750.0,25.6,1.43,62.23
755.0,24.7,0.26,62.36
760.0,26.0,0.14,62.49
765.0,25.9,-0.07,62.62
770.0,25.5,0.51,62.75
775.0,24.8,1.6,62.87
780.0,25.9,0.37,63.0
785.0,26.5,0.72,63.13
790.0,25.7,-0.19,63.26
795.0,26.9,0.69,63.39
800.0,27.9,2.67,63.53
805.0,27.7,3.42,63.67
810.0,28.7,2.65,63.82
815.0,27.3,-0.33,63.95
820.0,26.8,0.37,64.09
825.0,25.4,0.51,64.21
830.0,23.7,1.81,64.33
835.0,25.8,2.17,64.46
840.0,25.6,-0.38,64.59
845.0,25.4,0.2,64.72
850.0,23.6,0.6,64.83
855.0,23.8,0.43,64.95
860.0,23.8,1.51,65.07
865.0,24.0,0.65,65.19
870.0,23.4,-0.32,65.31
875.0,23.5,1.3,65.43
880.0,23.8,9.04,65.55
885.0,24.0,-2.95,65.67
890.0,24.0,-2.04,65.79
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
