Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-0.52,
5.0,,-2.82,
10.0,,-0.02,
15.0,,1.53,
20.0,,2.2,
25.0,,0.09,
30.0,,-2.21,
35.0,,-1.03,
40.0,,0.93,
45.0,,3.24,
50.0,,3.46,
55.0,,1.81,
60.0,,1.83,
65.0,3.2,3.53,0.02
70.0,54.2,6.32,0.29
75.0,132.3,9.18,0.95
80.0,154.9,11.21,1.72
85.0,162.4,11.81,2.53
90.0,162.1,11.13,3.34
95.0,166.8,12.09,4.18
100.0,167.9,10.28,5.02
105.0,168.9,9.63,5.86
110.0,171.3,10.9,6.72
115.0,171.3,8.9,7.58
120.0,170.4,10.37,8.43
125.0,168.9,10.3,9.27
130.0,163.0,7.46,10.09
135.0,159.2,8.06,10.88
140.0,159.2,7.77,11.68
145.0,153.9,9.33,12.45
150.0,147.4,10.68,13.19
155.0,144.7,9.41,13.91
160.0,144.3,7.58,14.63
165.0,139.0,6.5,15.33
170.0,136.4,7.31,16.01
175.0,134.0,6.94,16.68
180.0,127.2,5.57,17.31
185.0,118.5,5.95,17.91
190.0,115.3,3.97,18.48
195.0,110.5,5.2,19.04
200.0,105.0,5.86,19.56
205.0,100.4,4.74,20.06
210.0,95.4,4.54,20.54
215.0,94.5,4.83,21.01
220.0,92.4,5.79,21.47
225.0,94.6,6.06,21.95
230.0,93.2,6.13,22.41
235.0,94.2,4.04,22.88
240.0,93.4,3.62,23.35
245.0,96.6,4.06,23.83
250.0,96.9,2.62,24.32
255.0,96.1,3.63,24.8
260.0,94.5,5.98,25.27
265.0,93.0,6.02,25.74
270.0,93.5,6.35,26.2
275.0,91.2,6.79,26.66
280.0,90.9,5.28,27.11
285.0,91.5,5.75,27.57
290.0,91.1,4.18,28.03
295.0,91.2,3.39,28.48
300.0,92.3,5.84,28.94
305.0,93.7,5.49,29.41
310.0,95.9,5.1,29.89
315.0,98.6,5.63,30.39
320.0,102.1,5.09,30.9
325.0,105.1,7.57,31.42
330.0,108.9,7.85,31.97
335.0,113.7,7.37,32.53
340.0,121.2,8.91,33.14
345.0,125.2,6.71,33.77
350.0,130.0,7.04,34.42
355.0,133.8,6.94,35.09
360.0,138.1,8.15,35.78
365.0,145.1,7.98,36.5
370.0,148.9,6.89,37.25
375.0,149.7,8.06,37.99
380.0,151.8,8.07,38.75
385.0,153.2,11.4,39.52
390.0,154.0,9.86,40.29
395.0,156.9,9.52,41.07
400.0,156.1,8.28,41.85
405.0,157.4,6.78,42.64
410.0,159.3,9.35,43.44
415.0,158.8,9.4,44.23
420.0,162.9,10.45,45.05
425.0,165.7,9.47,45.88
430.0,166.0,8.1,46.71
435.0,168.0,8.44,47.55
