Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,7.2,
5.0,,-6.62,
10.0,0.2,6.28,0.0
15.0,31.4,9.99,0.16
20.0,121.7,15.06,0.77
25.0,221.1,17.2,1.87
30.0,296.8,16.53,3.36
35.0,339.7,15.74,5.05
40.0,349.8,15.43,6.8
45.0,337.1,12.93,8.49
50.0,293.5,12.87,9.96
55.0,247.6,12.48,11.19
60.0,229.9,10.79,12.34
65.0,195.6,9.01,13.32
70.0,154.9,8.21,14.1
75.0,134.2,6.78,14.77
80.0,128.3,6.85,15.41
85.0,128.8,8.73,16.05
90.0,126.7,5.98,16.69
95.0,121.6,7.76,17.29
100.0,117.0,6.1,17.88
105.0,112.0,6.27,18.44
110.0,109.5,6.7,18.99
115.0,106.6,6.37,19.52
120.0,102.9,7.62,20.03
125.0,101.4,5.74,20.54
130.0,97.1,5.18,21.03
135.0,90.7,5.45,21.48
140.0,89.7,6.87,21.93
145.0,95.6,8.69,22.41
150.0,111.2,8.84,22.96
155.0,141.5,8.06,23.67
160.0,189.4,8.75,24.62
165.0,238.1,9.95,25.81
170.0,270.4,11.8,27.16
175.0,279.9,13.8,28.56
180.0,282.3,13.13,29.97
185.0,269.3,11.79,31.32
190.0,277.4,12.03,32.7
195.0,270.2,10.2,34.06
200.0,272.0,11.93,35.42
205.0,264.9,10.6,36.74
210.0,266.0,9.9,38.07
215.0,273.3,11.09,39.44
220.0,272.1,10.61,40.8
225.0,272.7,12.44,42.16
230.0,278.7,13.3,43.55
235.0,278.4,12.4,44.95
240.0,280.8,11.98,46.35
245.0,274.2,9.23,47.72
250.0,268.9,9.79,49.06
255.0,266.4,11.37,50.4
260.0,255.1,11.19,51.67
265.0,250.3,10.56,52.92
270.0,246.7,8.54,54.16
275.0,240.7,8.15,55.36
280.0,230.6,8.96,56.51
285.0,222.1,8.22,57.62
290.0,218.7,6.27,58.72
295.0,215.7,5.82,59.8
300.0,211.2,6.23,60.85
305.0,202.8,8.9,61.87
310.0,194.0,7.86,62.84
315.0,183.1,6.85,63.75
320.0,174.7,7.25,64.63
325.0,164.9,5.99,65.45
330.0,156.3,5.74,66.23
335.0,146.1,6.37,66.96
340.0,139.7,4.65,67.66
345.0,135.8,5.14,68.34
350.0,125.5,5.3,68.97
355.0,121.4,3.92,69.57
360.0,113.0,5.1,70.14
365.0,105.9,4.73,70.67
370.0,97.9,3.87,71.16
375.0,92.2,2.67,71.62
380.0,88.4,2.46,72.06
385.0,82.8,1.11,72.48
390.0,77.5,1.69,72.86
395.0,74.3,4.28,73.23
400.0,69.9,3.92,73.58
405.0,67.6,3.58,73.92
410.0,63.0,2.06,74.24
415.0,61.5,0.16,74.54
420.0,56.6,0.9,74.83
425.0,53.8,2.76,75.1
430.0,51.8,1.41,75.36
435.0,49.6,2.25,75.6
440.0,47.1,2.67,75.84
445.0,45.6,1.93,76.07
450.0,44.6,2.99,76.29
455.0,41.2,1.56,76.5
460.0,39.7,0.45,76.7
465.0,38.1,0.62,76.89
470.0,36.0,1.2,77.07
475.0,34.5,0.54,77.24
480.0,32.1,1.0,77.4
485.0,31.1,0.13,77.55
490.0,28.6,0.32,77.7
495.0,27.7,2.03,77.84
500.0,26.1,0.41,77.97
505.0,24.5,0.16,78.09
510.0,21.9,-0.73,78.2
515.0,21.6,1.63,78.31
520.0,18.2,1.96,78.4
525.0,14.1,1.94,78.47
530.0,12.5,1.04,78.53
535.0,12.6,0.17,78.59
540.0,11.1,0.32,78.65
545.0,11.7,-0.58,78.71
550.0,11.9,-0.72,78.77
555.0,12.0,1.2,78.83
560.0,12.2,1.55,78.89
565.0,11.9,-0.24,78.95
570.0,11.5,1.03,79.0
575.0,11.2,0.31,79.06
580.0,11.5,2.94,79.12
585.0,11.3,2.67,79.17
590.0,10.9,-1.78,79.23
595.0,10.9,3.16,79.28
600.0,11.9,-0.96,79.34
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
