Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
1790.0,90.2,5.06,187.37
1795.0,88.5,2.06,187.82
1800.0,89.7,1.81,188.26
1805.0,87.9,2.1,188.7
1810.0,88.3,2.86,189.15
1815.0,88.1,4.88,189.59
1820.0,87.9,4.08,190.03
1825.0,87.7,3.75,190.46
1830.0,87.9,2.69,190.9
1835.0,89.1,2.55,191.35
1840.0,87.0,3.1,191.78
1845.0,87.4,2.87,192.22
1850.0,87.5,2.76,192.66
1855.0,86.3,2.67,193.09
1860.0,88.0,2.91,193.53
1865.0,87.5,3.46,193.97
1870.0,86.9,3.55,194.4
1875.0,85.8,1.72,194.83
1880.0,85.6,1.03,195.26
1885.0,85.6,2.59,195.69
1890.0,83.9,2.37,196.11
1895.0,83.7,2.86,196.53
1900.0,83.9,2.24,196.95
1905.0,82.8,2.6,197.36
1910.0,83.1,3.72,197.77
1915.0,84.2,3.67,198.2
1920.0,87.8,3.17,198.63
1925.0,90.6,3.4,199.09
1930.0,90.8,3.97,199.54
1935.0,90.2,3.04,199.99
1940.0,95.6,3.64,200.47
1945.0,96.3,3.89,200.95
1950.0,94.4,3.69,201.42
1955.0,94.4,2.65,201.9
1960.0,94.4,0.97,202.37
1965.0,91.4,1.34,202.82
1970.0,93.4,3.88,203.29
1975.0,92.1,5.45,203.75
1980.0,91.1,4.43,204.21
1985.0,90.4,2.6,204.66
1990.0,89.4,1.22,205.11
1995.0,90.5,2.17,205.56
2000.0,90.3,4.44,206.01
2005.0,89.8,4.03,206.46
2010.0,88.7,3.77,206.9
2015.0,88.3,2.04,207.34
2020.0,90.0,1.21,207.79
2025.0,86.8,1.66,208.23
2030.0,86.4,1.11,208.66
2035.0,87.1,2.73,209.1
2040.0,85.4,3.77,209.52
2045.0,84.0,4.4,209.94
2050.0,85.7,4.09,210.37
2055.0,85.2,2.27,210.8
2060.0,86.0,1.67,211.23
2065.0,85.4,1.93,211.66
2070.0,84.0,3.87,212.08
2075.0,83.4,4.23,212.49
2080.0,83.5,3.53,212.91
2085.0,82.8,2.95,213.32
2090.0,81.9,2.78,213.73
2095.0,82.1,3.07,214.14
2100.0,82.3,3.85,214.56
2105.0,82.6,3.48,214.97
2110.0,80.6,1.74,215.37
2115.0,80.8,2.33,215.78
2120.0,81.0,1.5,216.18
2125.0,82.5,1.35,216.59
2130.0,81.1,2.72,217.0
2135.0,81.5,2.34,217.41
2140.0,80.3,3.42,217.81
2145.0,79.7,3.9,218.21
2150.0,79.6,2.95,218.6
2155.0,78.8,1.87,219.0
2160.0,78.1,1.34,219.39
2165.0,77.8,2.04,219.78
2170.0,77.4,2.21,220.17
2175.0,78.2,3.97,220.56
2180.0,77.1,3.19,220.94
2185.0,76.8,3.33,221.33
2190.0,77.3,3.71,221.71
2195.0,76.1,1.78,222.09
2200.0,75.2,2.07,222.47
2205.0,75.6,1.72,222.85
2210.0,74.2,3.58,223.22
2215.0,73.9,2.96,223.59
2220.0,74.6,1.24,223.96
2225.0,75.2,2.24,224.34
2230.0,74.4,1.45,224.71
2235.0,73.5,3.78,225.08
2240.0,74.0,3.84,225.45
2245.0,72.7,2.27,225.81
2250.0,72.3,2.83,226.17
2255.0,72.4,1.27,226.53
2260.0,72.7,0.58,226.9
2265.0,70.9,1.66,227.25
2270.0,71.5,2.52,227.61
2275.0,69.8,3.72,227.96
2280.0,71.1,2.68,228.31
2285.0,69.9,1.73,228.66
2290.0,70.5,1.93,229.02
2295.0,70.1,2.87,229.37
2300.0,69.6,2.26,229.71
2305.0,70.8,2.33,230.07
2310.0,69.4,2.63,230.41
2315.0,68.5,3.16,230.76
2320.0,68.6,4.27,231.1
2325.0,67.3,2.08,231.44
2330.0,66.3,1.5,231.77
2335.0,66.0,1.89,232.1
2340.0,67.6,2.44,232.44
2345.0,67.1,3.0,232.77
2350.0,65.0,2.63,233.1
2355.0,65.4,1.37,233.42
2360.0,65.6,0.59,233.75
2365.0,64.5,0.84,234.07
2370.0,64.7,0.66,234.4
2375.0,64.2,1.97,234.72
2380.0,63.9,3.74,235.04
2385.0,62.6,4.09,235.35
2390.0,62.9,3.37,235.67
2395.0,64.3,1.06,235.99
2400.0,62.5,-0.34,236.3
2405.0,62.5,0.32,236.61
2410.0,62.1,1.75,236.92
2415.0,61.9,2.6,237.23
2420.0,62.6,2.9,237.55
2425.0,61.6,3.52,237.85
2430.0,59.4,3.83,238.15
2435.0,60.7,2.48,238.45
2440.0,59.6,2.6,238.75
2445.0,59.9,1.01,239.05
2450.0,59.4,0.85,239.35
2455.0,59.2,2.28,239.64
2460.0,59.0,2.38,239.94
2465.0,59.6,3.45,240.24
2470.0,60.9,2.49,240.54
2475.0,58.4,1.22,240.83
2480.0,58.8,1.99,241.13
2485.0,57.7,1.48,241.42
2490.0,56.6,1.29,241.7
2495.0,56.8,1.76,241.98
2500.0,55.6,0.9,242.26
2505.0,54.8,1.98,242.53
2510.0,54.2,2.27,242.81
2515.0,55.3,1.41,243.08
2520.0,54.3,2.34,243.35
2525.0,55.0,1.59,243.63
2530.0,54.5,1.06,243.9
2535.0,56.0,2.09,244.18
2540.0,53.9,2.44,244.45
2545.0,52.3,3.53,244.71
2550.0,52.6,2.83,244.97
2555.0,52.6,2.31,245.24
2560.0,53.5,1.87,245.51
2565.0,53.7,2.03,245.77
2570.0,53.4,2.81,246.04
2575.0,55.7,2.37,246.32
2580.0,59.5,3.22,246.62
2585.0,60.1,3.08,246.92
2590.0,59.6,2.14,247.22
2595.0,58.2,-0.03,247.51
2600.0,56.3,0.28,247.79
2605.0,54.0,1.24,248.06
2610.0,54.3,1.38,248.33
2615.0,52.8,2.05,248.59
2620.0,53.3,1.39,248.86
2625.0,53.4,3.4,249.13
