Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,6.06,
5.0,,-0.65,
10.0,,2.39,
15.0,,1.99,
20.0,,2.45,
25.0,,2.3,
30.0,,2.27,
35.0,,2.67,
40.0,,2.43,
45.0,,2.48,
50.0,,2.71,
55.0,,2.55,
60.0,,3.06,
65.0,,3.13,
70.0,,3.45,
75.0,,3.45,
80.0,,3.4,
85.0,,2.89,
90.0,,2.83,
95.0,,2.88,
100.0,,2.76,
105.0,,3.09,
110.0,,2.73,
115.0,,2.58,
120.0,,2.32,
125.0,,2.48,
130.0,,3.28,
135.0,,3.39,
140.0,,3.13,
145.0,,2.65,
150.0,,2.64,
155.0,,2.79,
160.0,,3.37,
165.0,3.9,6.51,0.95
170.0,19.2,9.93,1.05
175.0,166.5,12.21,1.88
180.0,274.6,13.11,3.25
185.0,283.1,12.22,4.67
190.0,305.9,12.13,6.2
195.0,267.8,12.14,7.54
200.0,269.4,11.87,8.89
205.0,262.5,12.45,10.2
210.0,267.3,13.03,11.54
215.0,277.3,12.52,12.92
220.0,283.0,11.71,14.34
225.0,260.8,11.73,15.64
230.0,280.1,12.3,17.04
235.0,289.7,12.96,18.49
240.0,295.6,12.53,19.97
245.0,294.5,11.89,21.44
250.0,294.8,12.17,22.91
255.0,287.9,12.67,24.35
260.0,283.1,12.57,25.77
265.0,293.3,12.23,27.24
270.0,286.9,11.62,28.67
275.0,266.2,11.08,30.0
280.0,260.0,10.91,31.3
285.0,261.1,10.96,32.61
290.0,258.7,11.26,33.9
295.0,258.8,11.38,35.19
300.0,262.7,11.67,36.51
305.0,266.6,11.95,37.84
310.0,283.6,12.85,39.26
315.0,298.6,13.94,40.75
320.0,322.3,14.2,42.36
325.0,332.7,14.01,44.03
330.0,345.8,13.65,45.76
335.0,346.4,13.21,47.49
340.0,346.4,12.72,49.22
345.0,341.1,11.88,50.93
350.0,317.5,10.89,52.51
355.0,292.1,9.62,53.97
360.0,256.9,8.19,55.26
365.0,228.6,6.66,56.4
370.0,196.0,5.28,57.38
375.0,170.6,4.74,58.23
380.0,137.9,3.6,58.92
385.0,112.9,2.35,59.49
390.0,92.5,1.98,59.95
395.0,76.0,1.4,60.33
400.0,66.7,1.88,60.66
405.0,59.1,1.6,60.96
410.0,47.9,0.59,61.2
415.0,35.1,0.15,61.37
420.0,23.7,-0.19,61.49
425.0,16.1,-0.18,61.57
430.0,11.7,-0.21,61.63
435.0,8.3,-0.04,61.67
440.0,6.2,-0.13,61.7
445.0,5.7,0.04,61.73
450.0,6.5,0.12,61.77
455.0,6.4,-0.18,61.8
460.0,6.4,-0.23,61.83
465.0,4.7,0.06,61.85
470.0,4.3,-0.11,61.87
475.0,4.9,0.08,61.9
480.0,4.9,0.29,61.92
485.0,4.1,0.42,61.94
490.0,4.4,0.85,61.97
495.0,4.3,-0.65,61.99
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
