Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-4.12,
5.0,,2.34,
10.0,,-1.19,
15.0,,-0.17,
20.0,,0.0,
25.0,,0.82,
30.0,,0.33,
35.0,,-0.59,
40.0,,0.18,
45.0,,0.46,
50.0,,-0.42,
55.0,,-0.6,
60.0,,-1.1,
65.0,,0.05,
70.0,,0.88,
75.0,,-0.16,
80.0,,-0.67,
85.0,,-0.71,
90.0,,0.57,
95.0,,1.24,
100.0,,0.42,
105.0,,-0.71,
110.0,,-0.64,
115.0,,0.44,
120.0,,0.31,
125.0,,0.37,
130.0,,-0.12,
135.0,,0.15,
140.0,,0.29,
145.0,,-0.22,
150.0,,1.03,
155.0,,0.15,
160.0,,1.12,
165.0,,0.68,
170.0,,0.91,
175.0,,0.91,
180.0,,-0.06,
185.0,,-0.92,
190.0,,-2.94,
195.0,,-3.65,
200.0,,-3.11,
205.0,,-0.54,
210.0,,0.34,
215.0,,3.06,
220.0,,3.73,
225.0,,1.93,
230.0,,1.58,
235.0,,-1.58,
240.0,,-0.42,
245.0,,4.79,
250.0,,6.1,
255.0,,6.34,
260.0,0.3,5.73,0.0
265.0,14.3,4.83,0.07
270.0,86.2,7.25,0.5
275.0,136.4,8.11,1.19
280.0,169.1,7.59,2.03
285.0,176.7,7.93,2.92
290.0,166.9,8.19,3.75
295.0,160.1,7.03,4.55
300.0,153.0,5.82,5.31
305.0,146.9,5.34,6.05
310.0,142.7,6.8,6.76
315.0,136.9,8.14,7.45
320.0,133.3,6.98,8.11
325.0,126.6,5.57,8.75
330.0,121.3,5.19,9.35
335.0,118.5,5.82,9.95
340.0,114.4,6.05,10.52
345.0,109.6,5.53,11.07
350.0,104.6,4.55,11.59
355.0,103.7,4.55,12.11
360.0,98.9,5.16,12.6
365.0,96.2,4.77,13.08
370.0,94.0,2.96,13.55
375.0,91.1,3.65,14.01
380.0,90.3,3.81,14.46
385.0,86.2,3.94,14.89
390.0,85.7,3.03,15.32
395.0,82.6,2.86,15.73
400.0,80.2,3.83,16.13
405.0,75.7,3.92,16.51
410.0,74.8,3.55,16.89
415.0,71.2,3.17,17.24
420.0,69.4,3.33,17.59
425.0,67.6,3.46,17.93
430.0,65.0,3.68,18.25
435.0,65.0,2.4,18.58
440.0,61.1,3.08,18.88
445.0,59.8,3.89,19.18
450.0,59.6,3.81,19.48
455.0,58.1,1.53,19.77
460.0,53.0,-1.21,20.03
465.0,54.0,-0.85,20.3
470.0,52.1,1.21,20.57
475.0,51.1,2.53,20.82
480.0,50.6,3.32,21.07
485.0,49.2,1.86,21.32
490.0,48.7,3.58,21.56
495.0,48.0,4.42,21.8
500.0,48.3,3.52,22.04
505.0,47.9,2.21,22.28
510.0,47.2,1.48,22.52
515.0,45.4,3.69,22.75
520.0,45.1,4.27,22.97
525.0,42.8,5.42,23.19
530.0,44.4,4.28,23.41
535.0,41.7,2.68,23.62
540.0,43.5,1.05,23.84
545.0,42.4,0.23,24.05
550.0,42.8,-0.21,24.26
555.0,42.2,2.77,24.47
560.0,41.5,4.69,24.68
565.0,42.1,3.51,24.89
570.0,40.5,2.12,25.09
575.0,41.2,1.35,25.3
580.0,40.5,2.57,25.5
585.0,38.0,2.63,25.69
590.0,39.7,2.63,25.89
595.0,38.9,1.71,26.08
600.0,36.2,0.45,26.27
605.0,37.3,-0.52,26.45
610.0,34.6,0.04,26.62
615.0,36.7,1.09,26.81
620.0,37.3,4.52,26.99
625.0,34.1,5.34,27.16
630.0,34.5,2.88,27.34
635.0,33.7,2.26,27.51
640.0,33.8,1.41,27.67
645.0,32.8,2.64,27.84
650.0,33.3,3.04,28.0
655.0,32.2,1.15,28.17
660.0,30.5,1.47,28.32
665.0,31.2,1.76,28.47
670.0,31.2,1.91,28.63
675.0,30.1,1.41,28.78
680.0,29.7,1.35,28.93
685.0,30.4,2.56,29.08
690.0,29.2,2.07,29.23
695.0,27.2,2.49,29.36
700.0,27.4,2.29,29.5
705.0,28.4,3.09,29.64
710.0,27.1,3.21,29.78
715.0,27.3,1.54,29.91
720.0,26.7,0.3,30.05
725.0,25.3,1.19,30.17
730.0,26.3,-0.42,30.3
735.0,25.7,-2.31,30.43
740.0,25.6,-2.78,30.56
745.0,26.8,-1.22,30.7
750.0,26.6,0.49,30.83
755.0,28.7,3.11,30.97
760.0,27.7,2.24,31.11
765.0,26.9,1.69,31.25
770.0,28.0,3.76,31.39
775.0,27.8,2.95,31.52
780.0,26.5,3.1,31.66
785.0,25.1,3.91,31.78
790.0,26.7,5.0,31.92
795.0,26.3,5.95,32.05
800.0,27.2,5.69,32.18
805.0,26.9,2.07,32.32
810.0,28.3,-0.39,32.46
815.0,28.5,1.13,32.6
820.0,28.7,2.88,32.75
825.0,28.6,3.05,32.89
830.0,26.8,3.3,33.02
835.0,25.5,2.22,33.15
840.0,27.6,2.84,33.29
845.0,27.0,2.08,33.42
850.0,25.3,1.84,33.55
855.0,27.1,2.38,33.68
860.0,28.0,2.89,33.82
865.0,28.1,2.69,33.97
870.0,30.1,1.69,34.12
875.0,27.9,2.14,34.26
880.0,27.0,2.49,34.39
885.0,28.2,1.87,34.53
890.0,28.8,1.26,34.68
895.0,28.5,1.32,34.82
900.0,28.9,3.07,34.96
905.0,29.8,3.52,35.11
910.0,30.8,2.62,35.27
915.0,31.5,1.44,35.42
920.0,31.8,1.67,35.58
925.0,30.7,2.61,35.74
930.0,30.3,2.74,35.89
935.0,32.2,1.38,36.05
940.0,31.4,1.08,36.21
945.0,31.3,2.11,36.36
950.0,32.6,2.53,36.53
955.0,33.2,3.49,36.69
960.0,32.6,2.2,36.85
965.0,34.4,1.65,37.03
970.0,33.3,1.47,37.19
975.0,35.7,2.02,37.37
980.0,33.9,3.34,37.54
985.0,32.6,3.23,37.7
990.0,34.6,2.26,37.88
995.0,34.0,1.75,38.05
1000.0,34.1,-1.83,38.22
1005.0,35.2,-0.81,38.39
1010.0,34.8,-1.54,38.57
1015.0,34.9,-0.65,38.74
1020.0,35.1,3.95,38.92
1025.0,35.0,2.81,39.09
