Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,0.93,
5.0,500.0,2.0,9.48,0.01
10.0,1000.0,109.5,13.45,0.56
15.0,1500.0,302.5,20.27,2.07
20.0,2000.0,423.5,24.54,4.19
25.0,2500.0,474.8,26.69,6.56
30.0,3000.0,491.9,27.31,9.02
35.0,3500.0,504.1,27.79,11.54
40.0,4000.0,514.1,28.07,14.11
45.0,4500.0,507.0,27.3,16.65
50.0,5000.0,491.7,25.97,19.11
55.0,5500.0,475.6,24.53,21.48
60.0,6000.0,460.7,23.18,23.79
65.0,6500.0,446.3,22.01,26.02
70.0,7000.0,413.9,20.88,28.09
75.0,7500.0,415.7,20.03,30.17
80.0,8000.0,392.5,19.17,32.13
85.0,8500.0,382.7,18.9,34.04
90.0,9000.0,370.6,17.95,35.9
95.0,9500.0,350.4,17.63,37.65
100.0,10000.0,337.5,17.13,39.34
105.0,10500.0,326.2,14.28,40.97
110.0,11000.0,315.2,14.46,42.54
115.0,11500.0,294.5,14.35,44.01
120.0,12000.0,280.4,14.73,45.42
125.0,12500.0,267.4,14.67,46.75
130.0,13000.0,260.1,12.07,48.05
135.0,13500.0,246.2,10.79,49.29
140.0,14000.0,231.5,10.21,50.44
145.0,14500.0,218.5,8.72,51.54
150.0,15000.0,203.4,6.58,52.55
155.0,15500.0,147.8,4.67,53.29
160.0,16000.0,88.4,2.51,53.73
165.0,16500.0,66.3,1.64,54.06
170.0,17000.0,54.1,1.3,54.33
175.0,17500.0,46.8,1.35,54.57
180.0,18000.0,42.5,1.18,54.78
185.0,18500.0,39.8,1.01,54.98
190.0,19000.0,37.7,0.44,55.17
195.0,19500.0,39.3,0.53,55.36
200.0,20000.0,37.9,0.78,55.55
205.0,20500.0,36.5,1.06,55.74
210.0,21000.0,37.0,1.1,55.92
215.0,21500.0,36.2,0.97,56.1
220.0,22000.0,34.9,1.18,56.28
225.0,22500.0,34.4,0.79,56.45
230.0,23000.0,33.6,0.73,56.62
235.0,23500.0,34.0,1.12,56.79
240.0,24000.0,33.1,1.34,56.95
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
