Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,6.14,
5.0,500.0,,15.75,
10.0,1000.0,,4.9,
15.0,1500.0,3.0,6.36,0.02
20.0,2000.0,87.4,10.23,0.45
25.0,2500.0,188.5,12.66,1.39
30.0,3000.0,211.8,14.67,2.45
35.0,3500.0,223.1,18.66,3.57
40.0,4000.0,238.7,18.42,4.76
45.0,4500.0,277.1,23.28,6.15
50.0,5000.0,312.3,20.21,7.71
55.0,5500.0,330.5,18.02,9.36
60.0,6000.0,339.0,18.83,11.06
65.0,6500.0,318.0,14.26,12.65
70.0,7000.0,300.9,14.61,14.15
75.0,7500.0,276.6,13.7,15.53
80.0,8000.0,253.8,15.89,16.8
85.0,8500.0,238.9,16.1,18.0
90.0,9000.0,222.5,14.52,19.11
95.0,9500.0,218.0,13.15,20.2
100.0,10000.0,208.8,9.76,21.24
105.0,10500.0,201.5,14.17,22.25
110.0,11000.0,194.1,13.37,23.22
115.0,11500.0,185.8,11.79,24.15
120.0,12000.0,183.3,9.77,25.07
125.0,12500.0,175.4,10.26,25.94
130.0,13000.0,166.9,9.88,26.78
135.0,13500.0,155.9,8.6,27.56
140.0,14000.0,147.4,9.45,28.3
145.0,14500.0,141.4,6.87,29.0
150.0,15000.0,137.6,8.76,29.69
155.0,15500.0,136.0,6.49,30.37
160.0,16000.0,136.1,6.4,31.05
165.0,16500.0,135.1,10.65,31.73
170.0,17000.0,136.8,10.18,32.41
175.0,17500.0,136.1,5.91,33.09
180.0,18000.0,132.3,3.53,33.75
185.0,18500.0,129.5,3.49,34.4
190.0,19000.0,126.9,6.98,35.03
195.0,19500.0,126.4,12.44,35.67
200.0,20000.0,128.6,14.97,36.31
205.0,20500.0,127.9,12.94,36.95
210.0,21000.0,133.2,8.92,37.61
215.0,21500.0,131.9,8.85,38.27
220.0,22000.0,132.3,8.15,38.94
225.0,22500.0,131.7,8.68,39.59
230.0,23000.0,135.0,6.66,40.27
235.0,23500.0,134.2,5.22,40.94
240.0,24000.0,133.8,9.93,41.61
245.0,24500.0,132.4,8.24,42.27
250.0,25000.0,128.8,6.71,42.92
255.0,25500.0,131.4,4.89,43.57
260.0,26000.0,137.3,6.06,44.26
265.0,26500.0,141.1,11.83,44.96
270.0,27000.0,148.0,12.54,45.7
275.0,27500.0,166.2,12.83,46.54
280.0,28000.0,182.8,13.68,47.45
285.0,28500.0,179.6,10.71,48.35
290.0,29000.0,176.3,8.64,49.23
295.0,29500.0,168.5,8.49,50.07
300.0,30000.0,163.9,6.43,50.89
305.0,30500.0,162.9,8.97,51.7
310.0,31000.0,158.9,12.05,52.5
315.0,31500.0,159.3,10.95,53.3
320.0,32000.0,160.2,12.22,54.1
325.0,32500.0,173.7,11.57,54.97
330.0,33000.0,187.4,9.1,55.9
335.0,33500.0,183.2,9.18,56.82
340.0,34000.0,177.3,8.78,57.7
345.0,34500.0,179.4,19.06,58.6
350.0,35000.0,187.5,33.03,59.54
355.0,35500.0,202.7,36.24,60.55
360.0,36000.0,229.4,30.71,61.7
365.0,36500.0,225.0,16.3,62.82
370.0,37000.0,188.2,2.63,63.77
375.0,37500.0,176.8,2273.02,64.65
380.0,38000.0,170.2,3414.13,65.5
385.0,38500.0,160.7,3418.85,66.3
390.0,39000.0,134.4,2284.38,66.98
395.0,39500.0,47.3,4.79,67.21
400.0,40000.0,11.1,-2.83,67.27
405.0,40500.0,3.5,-3.45,67.29
