Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-3.35,
5.0,,2.8,
10.0,0.7,5.56,0.0
15.0,37.9,12.0,0.19
20.0,209.2,18.17,1.24
25.0,350.7,23.55,2.99
30.0,419.4,23.8,5.09
35.0,470.0,24.6,7.44
40.0,511.9,24.66,10.0
45.0,519.8,24.49,12.6
50.0,511.2,25.17,15.15
55.0,498.0,22.57,17.64
60.0,453.8,19.72,19.91
65.0,414.4,18.28,21.98
70.0,355.3,15.81,23.76
75.0,304.4,14.59,25.28
80.0,280.9,13.94,26.69
85.0,251.1,12.08,27.94
90.0,233.2,11.66,29.11
95.0,214.1,11.86,30.18
100.0,198.9,10.52,31.17
105.0,184.8,10.73,32.1
110.0,174.9,8.63,32.97
115.0,163.2,6.26,33.79
120.0,152.1,7.44,34.55
125.0,145.2,7.45,35.27
130.0,137.1,7.31,35.96
135.0,131.2,6.28,36.62
140.0,127.3,5.12,37.25
145.0,122.1,5.32,37.86
150.0,119.1,5.13,38.46
155.0,115.8,5.45,39.04
160.0,111.6,5.98,39.6
165.0,108.7,6.06,40.14
170.0,107.0,6.42,40.67
175.0,104.3,5.94,41.19
180.0,105.5,5.12,41.72
185.0,102.2,5.49,42.23
190.0,102.8,3.95,42.75
195.0,100.7,3.31,43.25
200.0,100.8,3.73,43.76
205.0,100.2,4.2,44.26
210.0,100.6,5.62,44.76
215.0,99.3,4.62,45.26
220.0,100.3,4.61,45.76
225.0,101.3,5.09,46.26
230.0,103.4,5.53,46.78
235.0,101.4,5.73,47.29
240.0,102.2,3.81,47.8
245.0,101.5,3.21,48.31
250.0,103.0,3.9,48.82
255.0,102.3,3.95,49.33
260.0,103.5,4.38,49.85
265.0,106.4,4.85,50.38
270.0,110.6,5.55,50.93
275.0,111.5,6.26,51.49
280.0,110.8,4.91,52.05
285.0,111.6,4.72,52.6
290.0,113.3,5.08,53.17
295.0,114.5,5.52,53.74
300.0,114.3,5.19,54.31
305.0,114.2,5.16,54.89
310.0,115.7,5.98,55.46
315.0,118.0,6.03,56.05
320.0,119.8,6.02,56.65
325.0,122.8,4.8,57.27
330.0,121.4,5.19,57.87
335.0,121.6,5.23,58.48
340.0,119.7,4.21,59.08
345.0,118.6,3.49,59.67
350.0,119.3,3.68,60.27
355.0,118.5,4.36,60.86
360.0,118.7,4.74,61.46
365.0,119.8,4.57,62.06
370.0,117.6,5.0,62.64
375.0,116.6,4.91,63.23
380.0,118.9,5.52,63.82
385.0,117.4,5.78,64.41
390.0,118.7,5.42,65.0
395.0,117.1,6.14,65.59
400.0,119.2,5.62,66.18
405.0,119.0,5.39,66.78
410.0,120.0,4.72,67.38
415.0,119.2,4.46,67.97
420.0,121.6,4.8,68.58
425.0,123.7,4.78,69.2
430.0,123.1,5.73,69.82
435.0,123.5,4.8,70.43
440.0,123.6,5.98,71.05
445.0,124.4,5.35,71.67
450.0,123.1,4.16,72.29
455.0,123.1,5.52,72.9
460.0,125.4,5.04,73.53
465.0,123.2,6.32,74.15
470.0,123.4,4.83,74.76
475.0,127.5,3.46,75.4
480.0,125.8,4.76,76.03
485.0,126.9,5.06,76.67
490.0,128.0,5.43,77.31
495.0,127.3,5.05,77.94
500.0,127.5,4.65,78.58
505.0,129.4,5.48,79.23
510.0,128.7,5.49,79.87
515.0,129.8,5.31,80.52
520.0,129.4,5.4,81.17
525.0,129.6,5.73,81.82
530.0,129.6,5.18,82.46
535.0,129.2,5.0,83.11
540.0,129.3,6.0,83.76
545.0,129.2,6.52,84.4
550.0,129.5,5.79,85.05
555.0,128.7,4.56,85.69
560.0,130.5,4.22,86.35
565.0,130.2,4.91,87.0
570.0,133.1,6.59,87.66
575.0,133.1,6.13,88.33
580.0,131.0,5.66,88.98
585.0,133.4,5.63,89.65
590.0,134.3,5.64,90.32
595.0,136.2,5.27,91.0
600.0,134.2,5.64,91.67
605.0,131.6,4.89,92.33
610.0,132.7,5.51,92.99
615.0,132.3,6.05,93.66
620.0,134.6,5.12,94.33
625.0,133.4,5.39,95.0
630.0,133.4,4.9,95.66
635.0,134.6,4.91,96.34
640.0,134.0,5.75,97.0
645.0,133.5,5.29,97.67
650.0,136.5,5.49,98.35
655.0,135.9,6.79,99.03
660.0,135.6,6.52,99.71
665.0,136.3,6.28,100.39
670.0,134.1,5.0,101.06
675.0,134.9,4.11,101.74
680.0,137.3,4.84,102.43
685.0,135.9,5.86,103.1
690.0,137.5,5.88,103.79
695.0,137.2,5.74,104.48
700.0,137.5,5.81,105.17
705.0,136.4,5.44,105.85
710.0,138.2,6.2,106.54
715.0,139.2,6.59,107.23
720.0,137.3,6.04,107.92
725.0,138.2,6.73,108.61
730.0,136.0,5.44,109.29
735.0,138.8,5.53,109.99
740.0,141.4,5.57,110.69
745.0,139.9,5.3,111.39
750.0,139.6,5.85,112.09
755.0,141.0,5.89,112.8
760.0,139.2,6.09,113.49
765.0,138.2,6.13,114.18
770.0,139.4,6.08,114.88
775.0,140.5,4.9,115.58
780.0,141.2,4.44,116.29
785.0,140.0,4.66,116.99
790.0,140.1,5.62,117.69
795.0,141.0,6.16,118.39
800.0,140.4,6.32,119.1
805.0,139.1,6.19,119.79
810.0,139.4,6.67,120.49
815.0,139.8,5.7,121.19
820.0,139.2,6.22,121.88
825.0,139.1,6.38,122.58
830.0,140.2,5.25,123.28
835.0,138.2,5.21,123.97
840.0,141.5,3.65,124.68
845.0,137.8,5.62,125.37
850.0,137.9,7.03,126.06
855.0,138.7,6.55,126.75
860.0,140.5,5.34,127.45
865.0,140.5,5.23,128.16
870.0,140.7,4.95,128.86
875.0,140.3,5.46,129.56
880.0,142.1,5.78,130.27
885.0,141.6,5.96,130.98
890.0,140.7,6.39,131.68
895.0,141.5,6.3,132.39
900.0,143.5,6.43,133.11
905.0,142.6,4.77,133.82
910.0,143.0,5.31,134.54
915.0,140.6,5.59,135.24
920.0,141.2,6.49,135.95
925.0,141.6,7.71,136.65
930.0,139.6,6.46,137.35
935.0,142.1,6.21,138.06
940.0,141.8,6.38,138.77
945.0,142.5,5.19,139.48
950.0,142.2,4.46,140.19
955.0,143.2,3.82,140.91
960.0,142.2,4.4,141.62
965.0,142.5,5.88,142.33
970.0,142.1,6.66,143.04
975.0,140.7,6.34,143.75
980.0,139.8,5.21,144.45
