Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,2.43,
5.0,,0.64,
10.0,,3.4,
15.0,,3.73,
20.0,,4.32,
25.0,,5.4,
30.0,3.2,7.09,0.02
35.0,38.1,8.88,0.21
40.0,117.4,10.73,0.79
45.0,159.9,13.22,1.59
50.0,214.5,16.97,2.67
55.0,396.8,20.52,4.65
60.0,543.3,21.64,7.37
65.0,596.4,22.06,10.35
70.0,622.9,21.97,13.46
75.0,605.4,21.25,16.49
80.0,588.4,20.44,19.43
85.0,555.2,18.37,22.21
90.0,501.0,16.49,24.71
95.0,449.1,14.69,26.96
100.0,404.5,12.85,28.98
105.0,365.3,11.22,30.81
110.0,323.8,9.17,32.43
115.0,286.9,6.69,33.86
120.0,262.3,4.23,35.17
125.0,169.0,1.61,36.02
130.0,91.2,0.45,36.47
135.0,51.7,0.08,36.73
140.0,24.4,-0.33,36.85
145.0,10.1,-0.22,36.9
150.0,4.3,0.27,36.93
155.0,1.6,0.37,36.93
160.0,1.2,0.01,36.94
165.0,1.2,0.02,36.95
170.0,0.5,-0.63,36.95
175.0,1.2,-0.26,36.95
180.0,0.0,-0.02,36.95
185.0,0.3,-0.25,36.96
190.0,0.0,0.3,36.96
195.0,0.0,0.48,36.96
200.0,0.0,-0.95,36.96
205.0,0.0,1.45,36.96
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
