Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,,-2.73,
5.0,,-0.58,
10.0,,-0.32,
15.0,,1.36,
20.0,,2.61,
25.0,,0.77,
30.0,,0.73,
35.0,,-0.15,
40.0,,-0.51,
45.0,,1.0,
50.0,,-0.63,
55.0,,0.48,
60.0,,-0.68,
65.0,,-1.62,
70.0,,-1.73,
75.0,,-0.36,
80.0,,0.26,
85.0,,1.5,
90.0,,1.79,
95.0,,-0.12,
100.0,,0.54,
105.0,,-1.76,
110.0,,-0.91,
115.0,,-0.35,
120.0,,1.68,
125.0,,1.18,
130.0,,1.94,
135.0,,3.0,
140.0,,2.82,
145.0,,2.2,
150.0,,0.83,
155.0,,-0.79,
160.0,,0.46,
165.0,,0.63,
170.0,,0.85,
175.0,,0.6,
180.0,,1.14,
185.0,,3.64,
190.0,,1.31,
195.0,0.9,2.74,0.0
200.0,3.9,3.81,0.02
205.0,30.7,5.96,0.18
210.0,80.7,7.37,0.58
215.0,134.1,7.19,1.25
220.0,156.8,7.91,2.04
225.0,162.4,9.87,2.85
230.0,158.5,9.2,3.64
235.0,157.3,7.76,4.43
240.0,153.7,7.16,5.2
245.0,157.6,8.77,5.98
250.0,160.1,9.33,6.78
255.0,159.4,7.27,7.58
260.0,155.6,5.69,8.36
265.0,159.5,4.92,9.16
270.0,155.8,8.04,9.94
275.0,152.6,9.21,10.7
280.0,154.5,10.34,11.47
285.0,152.0,8.08,12.23
290.0,152.1,7.04,12.99
295.0,147.5,5.63,13.73
300.0,148.3,6.04,14.47
305.0,146.3,6.17,15.2
310.0,141.6,5.6,15.91
315.0,139.6,7.07,16.61
320.0,137.6,7.18,17.3
325.0,133.6,8.42,17.96
330.0,131.8,5.59,18.62
335.0,129.4,3.71,19.27
340.0,128.1,3.62,19.91
345.0,126.1,6.55,20.54
350.0,123.3,7.99,21.16
355.0,120.9,6.09,21.76
360.0,117.2,3.51,22.35
365.0,117.4,4.88,22.93
370.0,114.1,6.09,23.5
375.0,111.9,5.05,24.06
380.0,105.8,5.48,24.59
385.0,103.9,5.14,25.11
390.0,101.1,5.57,25.62
395.0,98.7,4.14,26.11
400.0,97.0,2.53,26.6
405.0,97.2,3.22,27.08
410.0,95.2,4.78,27.56
415.0,94.0,5.49,28.03
420.0,91.6,4.49,28.49
425.0,88.6,3.0,28.93
430.0,88.9,3.82,29.37
435.0,86.8,2.16,29.81
440.0,85.5,2.96,30.24
445.0,85.5,5.39,30.66
450.0,84.9,4.18,31.09
455.0,84.1,6.29,31.51
460.0,82.8,3.75,31.92
465.0,82.7,1.35,32.34
470.0,81.9,1.14,32.75
475.0,79.9,2.31,33.14
480.0,79.7,5.6,33.54
485.0,78.1,5.25,33.93
490.0,78.2,3.8,34.32
495.0,76.5,4.12,34.71
500.0,71.8,3.89,35.07
505.0,73.3,4.12,35.43
510.0,71.8,4.8,35.79
515.0,71.7,4.09,36.15
520.0,69.6,5.07,36.5
525.0,69.4,3.12,36.85
530.0,69.9,2.53,37.2
535.0,69.0,2.5,37.54
