Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,0.27525510850218315,2.0413350630826566
1.0,1.0855692971993551,0.24552460440341414
2.0,0.8194965752279637,2.357648798481364
3.0,-1.1893754971057804,-1.980806673498475
4.0,-2.168680130436142,-0.026434462437141218
5.0,-1.9747981371563064,-1.319331269561284
6.0,-0.7337721785229807,-2.413020454865424
7.0,0.04668048899220889,0.054188889953456026
8.0,-0.4976419770092042,-1.6157804673145915
9.0,-1.9064357497465647,-1.2344170096326674
10.0,-1.7844465868903845,-1.0151485010419403
11.0,-0.5175013142292194,-1.7927391214912582
12.0,1.210658486278314,2.4171173747564936
13.0,1.3228941970606372,1.727009962663383
14.0,0.10239953614739068,2.2827512627978215
15.0,-1.170990971172775,-1.8852155874777556
16.0,-1.3518661058129748,-1.8018621719533436
17.0,0.18723738734285447,2.4355178477446287
18.0,1.9673119368594685,2.2597679560269777
19.0,1.8197613545426095,1.7102054719249942
20.0,0.38165043557052397,2.6053321030462513
21.0,-0.38548492987842015,-1.5117721772953812
22.0,0.12319485600625942,1.6298844603842273
23.0,2.12352493769233,2.30908951357426
24.0,3.8067017751801657,1.850617695794338
25.0,4.129468764908499,2.2901085000355637
26.0,3.4309214120835634,2.9198078004589862
27.0,3.103285642034619,2.602868977234015
28.0,3.494747335697149,2.6620707181328593
29.0,5.491428480851994,3.473250907238364
30.0,5.530866303044159,4.0178046878589155
31.0,3.823616916870916,3.7588399357944833
32.0,2.5539647590404524,3.278247970707946
33.0,6.186365690665614,8.099991065366794
34.0,13.159933101426383,18.158257528472912
35.0,22.601058237465228,31.391946845693894
36.0,30.41128850308756,46.43568531212216
37.0,35.339265541118884,58.94301016320288
38.0,37.87753935713072,65.16399814824575
39.0,39.64431880336333,68.8472480838655
40.0,40.98337874559904,71.58226223929657
41.0,42.62186550428443,72.9439220121683
42.0,46.842318873233104,73.84881119719157
43.0,54.33909304791414,70.82781247449229
44.0,65.48424024726056,68.67682287511566
45.0,74.23146727052921,74.43852103112926
46.0,82.13760985718582,85.13090894218479
47.0,88.87941077658267,89.92967415835746
48.0,102.14002497645009,79.14671526450628
49.0,116.63805382458072,55.5600338794528
50.0,129.97901637972515,34.54503560834262
51.0,140.25111980530255,24.98748358118833
52.0,148.1390296601607,24.729933467522404
53.0,153.73793942260636,25.36282978902374
54.0,155.7243244454876,25.507598489666236
55.0,153.43659088264403,27.525452505830796
56.0,151.1178691201865,31.01660190137946
57.0,148.17489485843,31.38711506087068
58.0,149.48133497623505,30.63967582108931
59.0,148.374904851063,31.201643772181388
60.0,144.1182957799309,28.017874850815048
61.0,137.78980344377683,24.5674101781065
62.0,135.4945548125521,22.20473790632026
63.0,131.08919432666016,21.11274568734798
64.0,130.6813725180356,21.69606630953853
65.0,128.0862919523531,19.041192123965534
66.0,125.37913940545639,17.213772724816952
67.0,120.96179719885565,15.329006289382436
68.0,117.63953298793483,15.750482467142422
69.0,115.48853269763958,14.663708137278501
70.0,114.59186324770208,14.927415285133788
71.0,114.1926553955609,13.967571293762672
72.0,109.38302221230663,12.793433731600478
73.0,106.25625402926717,13.7040715331401
74.0,105.11143407437048,12.800813346538234
75.0,104.37909764628164,11.397031938730786
76.0,105.01271092431041,11.218244736929226
77.0,103.33384604358487,11.823223843106444
78.0,102.25349500568818,12.739913961667904
79.0,99.34531661125364,11.985509575924002
80.0,98.37994549193127,11.589088005795235
81.0,99.27300310433263,10.982763112525753
82.0,99.71301857995542,10.781161343883856
83.0,99.02624240553907,11.749799290255158
84.0,96.49749935726311,13.503335500217156
85.0,95.12605439547683,12.692484322826566
86.0,93.85209720959126,10.525469415163581
87.0,94.80449531995758,9.019565754335233
88.0,94.91431848861559,9.581499262918657
89.0,94.92483532610089,10.46633612062928
90.0,92.24377257547566,9.55958558008071
91.0,90.93637660712932,9.447680036929123
92.0,91.33995396376496,8.260380738359997
93.0,92.16586349639859,6.662438406590189
94.0,92.16737154021136,6.797718319613961
95.0,89.24121584646844,8.925838071902527
96.0,86.87086923641967,10.14161995402661
97.0,84.9616096420135,9.532386892826464
98.0,86.28282843784295,8.782414515438916
99.0,87.04188288803368,8.812555503662974
100.0,86.04423845247237,9.434940823104425
101.0,83.8997935586335,12.206875228941751
102.0,82.55971372510405,11.982498024573896
103.0,82.1013576821832,11.616783521581079
104.0,82.21816323126569,10.031993431509225
105.0,83.37006813224447,9.60727808804005
106.0,82.83758405482335,11.192652387386248
107.0,81.60400645448044,11.877977182644498
108.0,79.49026131336912,10.832329615795215
109.0,79.3011337876011,9.223499762714562
110.0,78.76740942970409,8.178825710526748
111.0,80.87661173811098,7.780774384149003
112.0,80.73201004804936,10.285896192202381
113.0,77.76554451600234,10.800811857168277
114.0,76.39548519548244,9.720482586623008
115.0,75.9882494889274,7.986808890117914
116.0,76.69985396326946,6.975631344234238
117.0,78.08289077100835,7.0435479783712225
118.0,76.93853036861178,8.876271448905408
119.0,75.17234093772443,8.671041609595665
120.0,73.45803692129925,7.116108379980393
121.0,73.25553046816698,6.154731894719468
122.0,75.16119341603,4.1743067738205815
123.0,75.93957682532606,4.871901211851688
124.0,74.2540383144277,6.922716874578794
125.0,72.13045048529801,7.689315298949037
126.0,71.53299869990867,5.338285241582336
127.0,71.41505367600216,3.2696801212467106
128.0,72.41699261426136,2.825386699878298
129.0,72.83013642087327,4.230576887733829
130.0,71.18621578544342,5.95061560570238
131.0,69.2693618161789,5.765241353373169
132.0,68.92248595991879,4.153989371158383
133.0,69.72880875994319,2.67894170298131
134.0,70.5464857129107,2.082822940750929
135.0,70.43771907832422,3.243701668909962
136.0,68.98460097828054,4.547185129275812
137.0,67.84839818406125,2.941347166667411
138.0,66.41288797384948,1.551493081078168
139.0,67.93546161504689,1.6017497330860482
140.0,69.92064637635045,1.4523831557503963
141.0,69.5005360367466,4.181202105834857
142.0,68.03316290938767,5.0936669434991755
143.0,66.60062267492576,5.1928274978399775
144.0,66.2486036886706,4.203074831403999
145.0,67.98772396730125,4.202723378493877
146.0,69.61785382594104,4.952755623031329
147.0,68.6462334383272,5.677070549962281
148.0,66.64679267119443,7.306883112955839
149.0,66.09830890915157,5.571787135740234
150.0,65.86966970470051,6.705925487228929
151.0,67.22611831794889,5.7675883400398655
152.0,68.83515807030076,6.353832177745051
153.0,67.81140936327014,6.326477685876471
154.0,66.09745607976969,6.289198658059151
155.0,64.03807872501733,6.151628103798278
156.0,64.20202960017109,5.730261898427494
157.0,66.19198790581733,5.798419908178339
158.0,66.76566731426753,5.8614097000198635
159.0,66.00766031949809,6.087591959716164
160.0,64.36716707416149,5.6153454088630985
161.0,63.473410685483294,3.9960976125074756
