,Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
112,112.0,40.959915,0.2080606587,0.0018065034,3.91708e-05,57.19814584377996,0.02443324309904
113,113.0,40.943193,0.2080445882,0.0018108964,3.75748e-05,58.65723672160577,0.0247155994399404
114,114.0,40.94321,0.2080802526,0.0018323482999999,3.74973e-05,57.50080427330145,0.0251006043204338
115,115.0,40.859495,0.2081124668,0.0018506346,3.85941e-05,55.92492585440122,0.0252375162705772
116,116.0,40.758125,0.2081208659,0.0018269367,3.83068e-05,55.44808493941465,0.0251005784995637
117,117.0,40.7403,0.2081005831,0.0018064374999999,3.52091e-05,56.24418295124324,0.0248677055822866
118,118.0,40.660608,0.2080532273,0.0017907378,3.26137e-05,60.30925343274587,0.0254718704394427
119,119.0,40.643215,0.2080550252999999,0.001780997,3.06931e-05,59.90521629507726,0.0252815893806465
120,120.0,40.556611,0.2081042339,0.0017976148,3.00861e-05,57.48088677956168,0.0254155474247706
121,121.0,40.538351,0.2081358532,0.0017998425,3.11925e-05,55.21092059010984,0.0251544643954435
122,122.0,40.538158,0.2081498969,0.0017711349,3.17049e-05,53.888888179682446,0.0247430481495551
123,123.0,40.458269,0.2081313095999999,0.001747097,3.06167e-05,55.22077573912857,0.0247932892266255
124,124.0,40.440521,0.2080865382,0.0017350316,3.04066e-05,58.9829528138379,0.0253730453510035
125,125.0,40.360657,0.2081107678,0.0017409347,3.11275e-05,57.07589276573103,0.0251239908676095
126,126.0,40.341982,0.2081534198,0.001762748,3.36676e-05,53.805840686471896,0.0247622219710465
127,127.0,40.257241,0.2081781683,0.0017640848,3.68749e-05,53.24223710962945,0.0251243436307289
128,128.0,40.157057,0.2081917616,0.0017404877,3.70425e-05,52.64805859614096,0.0250562679023195
129,129.0,40.139802,0.2081651213,0.0017221413999999,3.55324e-05,53.494269054188464,0.0247094962690269
130,130.0,40.039112,0.2081214337,0.0017173826,3.52962e-05,56.86968360155056,0.0251972651181151
131,131.0,39.952646,0.208141745,0.001723354,3.56498e-05,55.73070359029138,0.0251901641080088
132,132.0,39.938628,0.2081910156,0.0017404792,3.72067e-05,51.77182337143863,0.0246225902254219
133,133.0,39.916673,0.2082171229,0.001730017,4.03103e-05,51.029089285088936,0.0248776884441311
134,134.0,39.853939,0.2082113320999999,0.001704338,4.04983e-05,51.82635201448086,0.0249886490868357
135,135.0,39.840524,0.2081737741,0.0016890673,3.97946e-05,54.27943004846826,0.0251492195590461
136,136.0,39.755744,0.2081554450999999,0.0016798084,3.91493e-05,54.76385523065034,0.0248879412042423
137,137.0,39.736928,0.2081847985,0.0016930721,3.9979100000000005e-05,55.0107371787965,0.0257809740250284
