General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93644399,111.235335,0.00119188,0.04157431,1.002399,0.998343,-0.740881,-0.0016,100.6124,0,270.026,309.996,311.079,834.959,0,0
Standard used,ISO 5660-1,1,20.94453859,112.992339,0.00127258,0.04387709,1.000279,0.998454,-0.740881,0.0002,100.6117,0,270.033,310.044,311.085,834.981,0,0
Date of test,17/12/2018,2,20.95263318,114.749343,0.00135328,0.04617987,0.998158,0.998565,-0.740881,0.002,100.6111,0,270.04,310.092,311.091,835.003,0,0
Time of test,11:36,3,20.95405376,112.734192,0.00162278,0.04753732,0.998554,0.998537,-0.740881,0.0007,100.6112,0,270.052,310.087,311.122,835.048,0,0
Heat flux (kW/m²),20,4,20.95373179,117.70162,0.00163986,0.04627989,0.998495,0.998528,-0.740881,-0.0002,100.6113,0,270.057,310.106,311.144,835.071,0,0
Nominal duct flow rate (l/s),24,5,20.94953034,114.670545,0.00152615,0.04455936,0.9976,0.998334,-0.740881,-0.0002,100.6129,0,270.044,310.115,311.134,835.081,0,0
Sampling interval (s),1,6,20.94469629,110.0855,0.00141274,0.04414425,0.997174,0.998372,-0.740881,-0.0002,100.6138,0,270.054,310.069,311.078,836.262,0,0
Separation (mm),25,7,20.94608831,112.695511,0.00142697,0.04508082,0.997816,0.998492,-0.740881,0.0011,100.6109,0,270.046,310.048,311.061,835.348,0,0
Orientation,Vertical,8,20.9498745,117.005081,0.00148849,0.0465603,0.997928,0.99848,-0.740881,0.0007,100.6103,0,270.042,310.033,311.071,835.1,0,0
Edge frame?,Yes,9,20.95201666,108.973821,0.00177579,0.04752154,0.998177,0.998438,-0.740881,0.0005,100.6111,0,270.058,310.043,311.086,835.076,0,0
Grid?,No,10,20.95159553,114.552137,0.0017682,0.04589821,0.99844,0.998328,-0.740881,0.0003,100.6129,0,270.055,310.057,311.084,835.05,0,0
Non-scrubbed?,Yes,11,20.94821464,114.179767,0.00154466,0.04426567,0.99755,0.998341,-0.740881,0,100.6119,0,270.056,310.072,311.09,835.025,0,0
Substrate used? {Y/N},No,12,20.94440462,115.637129,0.00144282,0.04401959,0.997531,0.99836,-0.740881,-0.0002,100.6127,0,270.044,310.075,311.109,834.994,0,0
Substrate,none,13,20.94825751,113.927455,0.00146243,0.04545922,0.998034,0.998385,-0.740881,0.0004,100.6126,0,270.052,310.062,311.106,834.944,0,0
Additional specimen preparation details,,14,20.95398357,115.831965,0.00158397,0.04718488,0.998609,0.998367,-0.740881,0,100.6137,0,270.043,310.067,311.116,834.973,0,0
,,15,20.95607783,112.549724,0.00188014,0.04718573,0.998339,0.998248,-0.740881,0.0001,100.6139,0,270.047,310.068,311.139,834.987,0,0
Specimen,,16,20.95650152,114.147545,0.00182653,0.04536929,0.998297,0.998383,-0.740881,0.0013,100.6142,0,270.051,310.087,311.131,834.952,0,0
Sample description,Uncoated no lip 20 kWm2 No1,17,20.95315274,110.260891,0.00163581,0.0441659,0.998878,0.998258,-0.740881,0.0004,100.614,0,270.059,310.078,311.139,834.96,0,0
Material name/ID,Uncoated no lip 20 kWm2 No1,18,20.95029505,111.032546,0.00151878,0.04435539,0.998475,0.998246,-0.740881,0.0025,100.6153,0,270.073,310.111,311.196,834.962,0,0
Specimen number,,19,20.95348883,115.017696,0.00153152,0.04572345,0.997532,0.998446,-0.740881,0.0005,100.6147,0,270.058,310.162,311.255,834.926,0,0
E (MJ/kg),13.1,20,20.95693199,114.057567,0.00170392,0.04791059,0.997971,0.998383,-0.740881,-0.0001,100.6129,0,270.044,310.173,311.244,834.909,0,0
