General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94646702,108.690742,0.00134119,0.0465262,1.011826,1.007531,-0.740697,-0.0003,102.0245,0,268.55,323.576,327.936,1141.882,0,0
Standard used,ISO 5660-1,1,20.95069078,108.095732,0.001651,0.04769071,1.009718,1.008126,-0.740697,-0.0006,102.0232,0,268.577,323.585,327.965,1141.856,0,0
Date of test,26/02/2019,2,20.95491454,107.500722,0.00196081,0.04885522,1.007611,1.008721,-0.740697,-0.0008,102.0219,0,268.604,323.594,327.994,1141.83,0,0
Time of test,14:10,3,20.95503841,109.284571,0.00187811,0.04782798,1.008432,1.009255,-0.740697,-0.001,102.0214,0,268.622,323.556,327.937,1141.843,0,0
Heat flux (kW/m²),50,4,20.95197254,110.123383,0.00152583,0.0463829,1.009786,1.00979,-0.740697,-0.001,102.0229,0,268.607,323.523,327.898,1141.884,0,0
Nominal duct flow rate (l/s),24,5,20.94755462,105.28891,0.00126967,0.0458535,1.010248,1.010239,-0.740697,-0.0011,102.0222,0,268.621,323.524,327.909,1141.904,0,0
Sampling interval (s),1,6,20.9506395,106.691187,0.00121347,0.04669845,1.010204,1.010899,-0.740697,-0.0003,102.0222,0,268.615,323.521,327.897,1141.938,0,0
Separation (mm),60,7,20.95479769,109.200043,0.00142022,0.04885036,1.010298,1.011423,-0.740697,0.0031,102.0212,0,268.604,323.505,327.834,1142.021,0,0
Orientation,Horizontal,8,20.9582884,109.294837,0.00179873,0.04938613,1.012494,1.011787,-0.740697,0.001,102.0215,0,268.589,323.456,327.759,1142.123,0,0
Edge frame?,Yes,9,20.95825212,108.765079,0.00200139,0.04796155,1.011717,1.012216,-0.740697,-0.0006,102.0232,0,268.606,323.393,327.66,1142.276,0,0
Grid?,No,10,20.95425619,109.026937,0.00187539,0.04637429,1.012481,1.012781,-0.740697,-0.0007,102.0218,0,268.631,323.363,327.653,1142.37,0,0
