General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.96365918,109.428381,0.00162401,0.04666545,1.062945,0.924314,117.935363,-0.0037,101.7533,0,272.594,328.978,331.699,1060.404,0,0
Standard used,ISO 5660-1,1,20.95531415,111.875928,0.00129981,0.0456196,1.039145,0.968368,117.935363,-0.0017,101.7553,0,272.606,328.982,331.654,1060.426,0,0
Date of test,06/04/2021,2,20.94696913,114.323476,0.00097561,0.04457376,1.015344,1.012421,117.935363,0.0003,101.7572,0,272.619,328.986,331.609,1060.448,0,0
Time of test,11:40,3,20.94817702,114.381458,0.00095225,0.04565493,1.097348,1.051513,117.935363,0.0003,101.7563,0,272.624,328.928,331.567,1059.126,0,0
Heat flux (kW/m²),50,4,20.95189539,115.454089,0.00115106,0.04831756,0.947234,0.94235,117.935363,-0.0007,101.7554,0,272.628,328.921,331.549,1056.468,0,0
Nominal duct flow rate (l/s),24,5,20.95377365,115.314908,0.00150382,0.04809906,1.047388,0.972256,117.935363,-0.0016,101.7558,0,272.618,328.925,331.6,1059.57,0,0
Sampling interval (s),1,6,20.95153878,114.249913,0.0015571,0.04643371,0.925352,0.961105,117.935363,0.0007,101.7568,0,272.618,328.965,331.615,1060.454,0,0
Separation (mm),25,7,20.9475746,113.661599,0.00141797,0.04512767,0.945888,0.962447,117.935363,0.0023,101.7564,0,272.611,328.961,331.601,1060.457,0,0
Orientation,Vertical,8,20.94413768,114.332077,0.00138703,0.04502272,1.021994,0.997246,117.935363,0.0014,101.7581,0,272.625,328.966,331.625,1060.466,0,0
Edge frame?,Yes,9,20.94832856,114.234837,0.00142336,0.046796,0.960766,0.95204,117.935363,-0.0018,101.7565,0,272.621,328.975,331.64,1060.481,0,0
Grid?,No,10,20.95079594,112.292082,0.00161254,0.04883492,1.008215,0.944199,117.935363,-0.0008,101.7554,0,272.611,328.982,331.627,1060.484,0,0
Non-scrubbed?,Yes,11,20.95186767,112.057696,0.0017297,0.04811887,1.036679,0.991316,117.935363,0.0028,101.7551,0,272.603,328.945,331.564,1060.499,0,0
Substrate used? {Y/N},No,12,20.95060691,112.748181,0.00152419,0.04621406,1.069573,0.9971,117.935363,0.0006,101.756,0,272.604,328.928,331.555,1060.516,0,0
Substrate,none,13,20.94644255,115.034368,0.00124713,0.04504396,1.104353,1.072419,117.935363,0.0003,101.756,0,272.608,328.895,331.525,1060.506,0,0
Additional specimen preparation details,,14,20.94427074,113.640238,0.00108907,0.04516309,1.027783,1.037038,117.935363,-0.0018,101.7557,0,272.587,328.906,331.569,1060.485,0,0
,,15,20.94766788,113.848437,0.00114626,0.04688759,1.003818,1.009028,117.935363,-0.0011,101.7562,0,272.604,328.951,331.568,1060.491,0,0
Specimen,,16,20.9509093,110.507019,0.00128413,0.04868886,0.840961,0.872692,117.935363,0.0011,101.756,0,272.622,328.956,331.558,1060.499,0,0
Sample description,WPC2-Vertical-B,17,20.95314499,111.911242,0.00152604,0.04773544,0.708806,0.787645,117.935363,-0.0009,101.7568,0,272.62,328.95,331.525,1060.518,0,0
Material name/ID,WPC2-vertical-B,18,20.95221512,113.021465,0.00147813,0.04597171,0.831727,0.879765,117.935363,0.0007,101.7564,0,272.6,328.915,331.503,1060.527,0,0
