General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.96471045,132.405666,0.00051661,0.04720774,1.000045,1.000032,30.69785,-0.0032,69.9622,0,267.889,324.338,327.358,1061.206,0,0
Standard used,ISO 5660-1,1,20.95698806,134.444186,0.00023049,0.04622352,1.000061,1.000068,30.69785,-0.0014,70.0012,0,267.875,324.259,327.301,1061.2,0,0
Date of test,21/06/2024,2,20.94926568,136.482706,-5.562E-05,0.0452393,1.000078,1.000105,30.69785,0.0004,70.0402,0,267.861,324.18,327.244,1061.194,0,0
Time of test,12:03,3,20.94935674,136.440435,-0.00012241,0.04614874,1.000064,1.000083,30.69785,-0.002,70.0582,0,267.871,324.143,327.206,1061.168,0,0
Heat flux (kW/m²),50,4,20.95310069,133.927201,-8.117E-05,0.04740029,1.000079,1.000079,30.69785,-0.0024,70.0243,0,267.87,324.16,327.256,1061.141,0,0
Nominal duct flow rate (l/s),24,5,20.95532124,135.517453,0.00019882,0.04839302,1.000091,1.000111,30.69785,-0.004,70.0464,0,267.892,324.26,327.336,1061.16,0,0
Sampling interval (s),1,6,20.95372943,142.307113,0.00025903,0.04717849,1.000105,1.000136,30.69785,-0.0021,70.0253,0,267.878,324.247,327.27,1061.112,0,0
Separation (mm),25,7,20.95039209,134.812501,4.564E-05,0.04552404,1.000127,1.000132,30.69785,-0.0022,70.0216,0,267.869,324.171,327.229,1061.107,0,0
Orientation,Horizontal,8,20.94480503,136.155643,-9.156E-05,0.04502963,1.000108,1.000112,30.69785,-0.0016,70.0034,0,267.868,324.151,327.241,1061.112,0,0
Edge frame?,Yes,9,20.94600774,139.464268,-0.00011619,0.04571924,1.000092,1.000098,30.69785,-0.0013,70.0201,0,267.847,324.175,327.294,1061.111,0,0
Grid?,No,10,20.94974068,136.230328,-1.559E-05,0.04760108,1.000108,1.00013,30.69785,-0.0006,70.0213,0,267.86,324.189,327.289,1061.073,0,0
Non-scrubbed?,Yes,11,20.95169832,134.502191,0.00023615,0.04798422,1.000097,1.000118,30.69785,0.0011,70.0424,0,267.86,324.203,327.304,1061.057,0,0
Substrate used? {Y/N},No,12,20.95110172,133.673806,0.00024138,0.04680746,1.000082,1.000075,30.69785,-0.0002,70.0204,0,267.881,324.251,327.372,1061.033,0,0
Substrate,none,13,20.94746409,136.619019,1.733E-05,0.04538233,1.000059,1.000055,30.69785,0.001,70.0253,0,267.867,324.326,327.496,1061.012,0,0
Additional specimen preparation details,Sample stored in drierite sealed container. Al foil pan. kaowool blankets,14,20.94412384,135.198124,-0.00012336,0.04534064,1.00005,1.000056,30.69785,0.0008,70.0371,0,267.861,324.413,327.56,1061.01,0,0
,,15,20.94649076,136.888514,-0.00012599,0.04596658,1.000095,1.000098,30.69785,-0.0011,70.0135,0,267.859,324.4,327.506,1061.018,0,0
Specimen,,16,20.9501895,139.394684,5.679E-05,0.04801541,1.000123,1.000134,30.69785,-0.0012,70.0182,0,267.866,324.352,327.503,1061.038,0,0
Sample description,Composite3_Horiz_50kWm-2_R3,17,20.95178648,135.56839,0.00025677,0.04720604,1.000142,1.00014,30.69785,0.0001,70.0138,0,267.871,324.371,327.534,1061.01,0,0
Material name/ID,Composite3,18,20.95069072,132.964901,0.00022396,0.04641356,1.000151,1.000149,30.69785,0,69.9902,0,267.869,324.399,327.517,1061.036,0,0
Specimen number,2,19,20.94663142,136.170359,-1.106E-05,0.04526298,1.00016,1.000156,30.69785,0.0007,69.9908,0,267.847,324.34,327.433,1061.031,0,0
E (MJ/kg),13.1,20,20.94425096,138.046957,-0.00012917,0.04545177,1.000138,1.000146,30.69785,-0.0009,69.9994,0,267.862,324.209,327.294,1061.021,0,0
Initial mass (g),31.08,21,20.94739228,132.791706,-8.828E-05,0.04658126,1.000163,1.000165,30.69785,0.0006,69.9944,0,267.873,324.124,327.285,1061.043,0,0
Thickness (mm),5,22,20.95072167,132.159411,0.00013346,0.04811359,1.000158,1.000159,30.69785,0.0013,69.9994,0,267.864,324.194,327.331,1061.464,0,0
Surface area (cm²),100.3,23,20.95181559,133.486367,0.00027336,0.04742733,1.000138,1.00015,30.69785,0.0012,69.9785,0,267.853,324.172,327.304,1061.195,0,0
Sponsor,,24,20.95015392,134.227307,0.00019708,0.04570381,1.000138,1.000154,30.69785,0.0008,69.9502,0,267.854,324.205,327.317,1061.043,0,0
Manufacturer,,25,20.94588117,134.784416,-3.57E-05,0.04494221,1.000142,1.000154,30.69785,0.0001,69.9539,0,267.852,324.219,327.36,1059.883,0,0
Test start time (s),140,26,20.94461247,131.811451,-0.00013087,0.04569759,1.000146,1.000151,30.69785,-0.0008,69.9701,0,267.859,324.271,327.425,1060.009,0,0
Time to ignition (s),40,27,20.94802558,140.837586,-8.702E-05,0.04724677,1.00014,1.000142,30.69785,-0.0007,69.9579,0,267.848,324.231,327.317,1060.807,0,0
Time to flameout (s),1187,28,20.95228916,137.020773,0.00011453,0.04895875,1.000134,1.000136,30.69785,0.0004,69.9474,0,267.836,324.124,327.224,1061.013,0,0
End of test criterion,ASTM E 1354,29,20.95372332,138.055963,0.00025519,0.04764876,1.000101,1.000111,30.69785,-0.0001,69.951,0,267.853,324.114,327.271,1061.013,0,0
User EOT time (s),,30,20.95159522,135.309692,0.00015726,0.04607701,1.000088,1.0001,30.69785,-0.0006,69.946,0,267.85,324.221,327.378,1061.028,0,0
MLR EOT mass (g/m²),150,31,20.94731543,138.379055,-5.912E-05,0.04518714,1.000105,1.000099,30.69785,0.0009,69.9496,0,267.84,324.269,327.37,1063.564,0,0
MLR EOT time period (s),60,32,20.94731484,140.059744,-0.0001283,0.0459696,1.000108,1.000128,30.69785,-0.0012,69.9542,0,267.846,324.217,327.306,1061.738,0,0
Truncate graphs at EOT?,No,33,20.95084222,137.124051,-3.332E-05,0.04782317,1.000126,1.000126,30.69785,-0.0018,69.9467,0,267.85,324.182,327.271,1061.031,0,0
Smooth data?,No,34,20.95342048,134.536029,0.00021383,0.04810259,1.000092,1.000093,30.69785,-0.0013,69.9506,0,267.854,324.191,327.337,1061.058,0,0
Correct O2 for pressure?,No,35,20.95361207,137.380447,0.00027278,0.04668453,1.000067,1.000066,30.69785,-0.0006,69.9482,0,267.852,324.259,327.434,1061.035,0,0
,,36,20.95090049,137.43392,3.7E-05,0.04473845,1.000078,1.000093,30.69785,-0.0014,69.9502,0,267.843,324.349,327.509,1061.057,0,0
Specifications: apparatus,,37,20.94645719,136.902501,-0.00010107,0.04429174,1.000064,1.000068,30.69785,-0.0016,69.9416,0,267.854,324.401,327.515,1061.048,0,0
C-factor (SI units),0.041341,38,20.94587705,137.236578,-0.00013092,0.04518932,1.000051,1.000065,30.69785,-0.0007,69.939,0,267.852,324.38,327.56,1061.041,0,0
OD correction factor,0.97963,39,20.94939632,136.406674,1.213E-05,0.04776539,1.000085,1.000074,30.69785,-0.0009,69.94,0,267.849,324.438,327.603,1061.057,0,0
Duct diameter (m),0.114,40,20.951709,138.39858,0.00023266,0.04780235,1.000076,1.000072,30.69785,0.0003,69.9435,0,267.858,324.457,327.594,1063.32,0,0
O2 delay time (s),12,41,20.95217014,135.849542,0.00021086,0.04592378,1.00006,1.000056,30.69785,0.0024,69.9401,0,267.861,324.471,327.614,1061.7,0,0
CO2 delay time (s),12,42,20.94971828,139.006365,1.555E-05,0.04455855,1.000044,1.000059,30.69785,0.0005,69.9411,0,267.853,324.444,327.581,1061.115,0,0
CO delay time (s),12,43,20.94615416,134.116174,-0.00011629,0.04445858,1.000096,1.000091,30.69785,0.001,69.9395,0,267.867,324.428,327.602,1061.116,0,0
,,44,20.94832951,134.863801,-0.0001205,0.04559636,1.000076,1.000072,30.69785,-0.0009,69.939,0,267.866,324.471,327.646,1061.106,0,0
Laboratory,,45,20.95189683,133.195593,1.72E-05,0.04782952,1.000035,1.000036,30.69785,-0.0021,69.9411,0,267.833,324.506,327.663,1061.123,0,0
Laboratory name,FTT Dual Cone - NIST,46,20.95372838,136.449047,0.00024324,0.04752897,1.000029,1.000034,30.69785,-0.0006,69.9395,0,267.859,324.495,327.668,1061.116,0,0
