General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93634625,115.028901,-0.00053527,0.04288229,1.007859,1.007829,213.405695,0.0001,103.5129,0,268.668,326.444,330.207,1076.189,0,0
Standard used,ISO 5660-1,1,20.94371043,118.312618,-0.00012677,0.04629781,1.007942,1.007988,213.405695,0.0001,103.5122,0,268.665,326.491,330.24,1076.151,0,0
Date of test,13/02/2018,2,20.95107461,121.596335,0.00028174,0.04971334,1.008025,1.008148,213.405695,0.0002,103.5116,0,268.662,326.538,330.272,1076.113,0,0
Time of test,13:30,3,20.95352568,124.638583,0.00050927,0.04931157,1.00798,1.008236,213.405695,0.0001,103.513,0,268.676,326.569,330.23,1076.099,0,0
Heat flux (kW/m²),50,4,20.95226105,121.793601,0.00049544,0.04751515,1.008408,1.008467,213.405695,0.0001,103.5149,0,268.671,326.597,330.357,1076.088,0,0
Nominal duct flow rate (l/s),24,5,20.94810621,128.234916,0.00037367,0.04636752,1.008539,1.008757,213.405695,0.0001,103.5149,0,268.668,326.677,330.507,1076.087,0,0
Sampling interval (s),5,6,20.945891,125.752012,0.00029148,0.04644854,1.008272,1.008968,213.405695,0.0001,103.5137,0,268.702,326.71,330.475,1076.066,0,0
Separation (mm),25,7,20.95071335,129.047529,0.00037419,0.04811317,1.008463,1.009217,213.405695,-0.0001,103.5139,0,268.704,326.635,330.41,1076.054,0,0
Orientation,Horizontal,8,20.9559264,125.987639,0.00067974,0.05061992,1.009237,1.00941,213.405695,0.0001,103.5146,0,268.683,326.615,330.377,1076.028,0,0
Edge frame?,No,9,20.95883487,120.723855,0.00083978,0.04974532,1.008908,1.009604,213.405695,0,103.516,0,268.694,326.561,330.242,1076.023,0,0
Grid?,No,10,20.95775648,120.632561,0.00062105,0.04759352,1.009036,1.009812,213.405695,0.0003,103.5136,0,268.701,326.551,330.284,1076.002,0,0
Non-scrubbed?,Yes,11,20.95320147,122.336911,0.00043368,0.04641962,1.009266,1.010004,213.405695,0.0001,103.5148,0,268.699,326.54,330.171,1075.94,0,0
Substrate used? {Y/N},No,12,20.95222001,121.28304,0.00029972,0.04677658,1.009396,1.0102,213.405695,0,103.5126,0,268.701,326.488,330.172,1075.932,0,0
Substrate,none,13,20.95420426,124.355577,0.00034901,0.04863704,1.009708,1.01037,213.405695,0.0001,103.5107,0,268.694,326.534,330.213,1075.932,0,0
Additional specimen preparation details,,14,20.95530374,122.094373,0.00056754,0.05013913,1.009687,1.010447,213.405695,0.0001,103.514,0,268.694,326.552,330.227,1075.943,0,0
,,15,20.95537631,121.714572,0.0007502,0.04910058,1.009997,1.010634,213.405695,0.0001,103.512,0,268.721,326.53,330.255,1075.982,0,0
Specimen,,16,20.95312702,116.948463,0.00063403,0.0469842,1.010265,1.010838,213.405695,0.0001,103.5116,0,268.708,326.568,330.391,1076.014,0,0
Sample description,PMMA,17,20.94849752,116.039773,0.00053074,0.0463116,1.010466,1.01108,213.405695,-0.0001,103.5102,0,268.717,326.64,330.512,1076.038,0,0
Material name/ID,PMMA,18,20.94882201,120.827686,0.00057996,0.04702466,1.010993,1.011324,213.405695,-0.0001,103.5136,0,268.73,326.689,330.593,1076.098,0,0
