General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.93695839,118.451407,0.00069446,0.03706749,1.003371,1.000394,44.857156,0.0012,100.0372,0,295.905,327.249,330.879,1140.329,0,0
Standard used,ISO 5660-1,1,20.94403036,112.778084,0.00096988,0.04051591,1.001574,1.000532,44.857156,0.0008,100.0378,0,295.921,327.339,330.961,1140.293,0,0
Date of test,12/10/2018,2,20.95110234,107.104762,0.00124531,0.04396434,0.999778,1.000669,44.857156,0.0004,100.0385,0,295.937,327.428,331.043,1140.257,0,0
Time of test,14:10,3,20.95341602,104.324302,0.00137098,0.04347207,1.001396,1.000683,44.857156,0.0001,100.0362,0,295.93,327.491,331.09,1140.266,0,0
Heat flux (kW/m²),50,4,20.95244784,103.929439,0.00111653,0.04176866,1.000769,1.00076,44.857156,0.0002,100.037,0,295.938,327.532,331.089,1140.259,0,0
Nominal duct flow rate (l/s),24,5,20.94847847,106.944387,0.00085924,0.04056041,1.001188,1.000799,44.857156,-0.0001,100.0373,0,295.943,327.484,331.074,1140.198,0,0
Sampling interval (s),1,6,20.94593177,107.35005,0.00067598,0.04050131,1.000568,1.000793,44.857156,0.001,100.0357,0,295.946,327.475,331.077,1140.187,0,0
Separation (mm),60,7,20.94804734,108.358133,0.00064982,0.04269276,1.001822,1.000734,44.857156,0.0012,100.0361,0,295.926,327.439,331.041,1140.159,0,0
Orientation,Horizontal,8,20.95053307,107.537224,0.00082637,0.04434164,1.000738,1.000767,44.857156,0,100.0352,0,295.936,327.372,330.948,1140.126,0,0
Edge frame?,Yes,9,20.95148594,108.267775,0.00095727,0.04295086,1.000956,1.000755,44.857156,-0.0003,100.0371,0,295.922,327.327,330.905,1140.126,0,0
Grid?,No,10,20.9499453,108.276605,0.00092467,0.04230111,1.000835,1.000835,44.857156,-0.0004,100.0371,0,295.922,327.301,330.859,1140.115,0,0
Non-scrubbed?,Yes,11,20.94790433,108.00958,0.00085868,0.04197665,1.000533,1.000941,44.857156,-0.0004,100.0365,0,295.927,327.278,330.809,1140.101,0,0
Substrate used? {Y/N},No,12,20.94603072,107.76445,0.0007981,0.04167881,1.000256,1.001038,44.857156,-0.0005,100.036,0,295.931,327.257,330.763,1140.088,0,0
Substrate,none,13,20.94957087,106.637542,0.00090676,0.04274197,1.001596,1.000985,44.857156,-0.0006,100.0347,0,295.936,327.242,330.771,1140.078,0,0
Additional specimen preparation details,,14,20.95258925,105.677597,0.00113385,0.04428647,1.000855,1.000948,44.857156,-0.0002,100.0366,0,295.937,327.311,330.822,1140.087,0,0
,,15,20.9533659,106.132345,0.00129392,0.04275481,1.000589,1.000942,44.857156,-0.0007,100.0355,0,295.935,327.407,330.92,1140.071,0,0
Specimen,,16,20.95186474,105.27125,0.00111353,0.04141383,1.001183,1.001047,44.857156,0,100.0352,0,295.934,327.484,331.012,1140.087,0,0
Sample description,NP3_14,17,20.9486931,106.912446,0.00083159,0.04060786,1.002974,1.001079,44.857156,-0.0007,100.0351,0,295.932,327.561,331.057,1140.094,0,0
Material name/ID,,18,20.94861441,105.619755,0.00072812,0.04124674,1.001241,1.00109,44.857156,0.0002,100.0342,0,295.933,327.568,331.084,1140.071,0,0
Specimen number,,19,20.95221848,107.195131,0.00075493,0.0433648,0.999595,1.001093,44.857156,0.0006,100.035,0,295.934,327.567,331.09,1140.057,0,0
E (MJ/kg),13.1,20,20.95490695,107.795113,0.00091914,0.04445827,1.000547,1.001104,44.857156,0,100.0353,0,295.929,327.617,331.1,1140.042,0,0
Initial mass (g),47.025,21,20.9552493,104.355627,0.00090117,0.04246175,1.000162,1.001085,44.857156,-0.0003,100.0345,0,295.928,327.609,331.13,1142.691,0,0
Thickness (mm),12.5,22,20.95267223,105.323796,0.00070773,0.0412104,1.000695,1.001047,44.857156,0.0011,100.0338,0,295.937,327.665,331.217,1140.73,0,0
Surface area (cm²),88.4,23,20.94823805,107.558734,0.00043056,0.04050928,1.002016,1.001016,44.857156,0.0003,100.035,0,295.956,327.725,331.262,1139.926,0,0
Sponsor,,24,20.94918581,105.741657,0.00034056,0.04127216,1.001109,1.001097,44.857156,-0.0002,100.034,0,295.927,327.736,331.285,1139.902,0,0
Manufacturer,,25,20.95284713,106.819931,0.00044949,0.04339529,1.001158,1.001142,44.857156,0.0002,100.0321,0,295.928,327.721,331.258,1139.85,0,0
Test start time (s),338,26,20.95367843,104.652845,0.000672,0.04427731,1.000281,1.001062,44.857156,0.0003,100.033,0,295.954,327.682,331.205,1139.837,0,0
