General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95716716,101.576426,0.00190163,0.04814608,1.000737,0.998544,50.358644,0.0047,100.1045,0,297.271,330.724,334.192,1148.459,0,0
Standard used,ISO 5660-1,1,20.95581732,104.346837,0.00181465,0.04505587,0.999036,0.99849,50.358644,0.0015,100.1065,0,297.281,330.792,334.22,1143.532,0,0
Date of test,12/10/2018,2,20.95446748,107.117249,0.00172766,0.04196566,0.997335,0.998435,50.358644,-0.0018,100.1085,0,297.291,330.859,334.248,1138.605,0,0
Time of test,15:13,3,20.95005344,110.620538,0.00163419,0.04075877,0.997161,0.998205,50.358644,-0.0011,100.1065,0,297.285,330.864,334.226,1137.575,0,0
Heat flux (kW/m²),50,4,20.94853132,107.384655,0.00164827,0.04106069,0.997884,0.997975,50.358644,-0.0015,100.1062,0,297.278,330.806,334.168,1137.553,0,0
Nominal duct flow rate (l/s),24,5,20.95210549,108.026015,0.00172888,0.04299401,0.996978,0.997778,50.358644,0.0007,100.1073,0,297.303,330.779,334.161,1137.552,0,0
Sampling interval (s),1,6,20.95514172,110.578573,0.00187457,0.04458553,0.996164,0.997598,50.358644,0.0002,100.1086,0,297.286,330.712,334.084,1137.577,0,0
Separation (mm),60,7,20.95583184,109.663967,0.00205756,0.04326941,0.997451,0.997409,50.358644,0.0002,100.1083,0,297.288,330.594,333.975,1137.643,0,0
Orientation,Horizontal,8,20.95383927,107.80807,0.00184027,0.04132507,0.996946,0.997295,50.358644,0.0003,100.1079,0,297.279,330.508,333.892,1137.72,0,0
Edge frame?,Yes,9,20.94931873,106.224243,0.00166173,0.04066868,0.995708,0.997146,50.358644,-0.0008,100.1123,0,297.284,330.494,333.906,1137.761,0,0
Grid?,No,10,20.94757473,106.613835,0.0015403,0.04153816,0.9968,0.997047,50.358644,-0.0001,100.1108,0,297.276,330.531,333.918,1137.801,0,0
Non-scrubbed?,Yes,11,20.95082574,104.255846,0.0015734,0.04341682,0.996991,0.996856,50.358644,-0.0007,100.1089,0,297.287,330.569,333.969,1137.852,0,0
