General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.71197375,-0.057692,-0.00463683,0.06337238,1.000229,1,-8.477879,-0.004,101.8799,0,300.411,301.241,301.024,300.343,0,0
Standard used,ISO 5660-1,1,20.71028581,-0.055108,-0.00461417,0.06519959,1.000189,1,-8.477879,-0.0029,101.8812,0,300.421,301.251,301.034,300.339,0,0
Date of test,02/11/2017,2,20.70859786,-0.052524,-0.00459151,0.06702681,1.000149,1,-8.477879,-0.0018,101.8825,0,300.431,301.261,301.044,300.335,0,0
Time of test,10:49,3,20.71167793,-0.054111,-0.00443569,0.06909951,1.000091,1,-8.477879,0,101.8832,0,300.435,301.237,301.038,300.332,0,0
Heat flux (kW/m²),50,4,20.71392695,-0.056743,-0.00417412,0.06950884,1.000104,1,-8.477879,0.0003,101.8847,0,300.449,301.248,301.046,300.341,0,0
Nominal duct flow rate (l/s),24,5,20.71380124,-0.055143,-0.00416556,0.06805407,1.000097,1,-8.477879,-0.0015,101.8816,0,300.439,301.261,301.03,300.352,0,0
Sampling interval (s),2,6,20.71057415,-0.055695,-0.00429457,0.0660884,1.000085,1,-8.477879,0,101.8808,0,300.438,301.27,301.042,300.338,0,0
Separation (mm),25,7,20.70629461,-0.054883,-0.00442497,0.06566176,1.000082,1,-8.477879,-0.0012,101.8834,0,300.434,301.275,301.059,300.329,0,0
Orientation,Horizontal,8,20.70852504,-0.051439,-0.00443853,0.06709969,1.000066,1,-8.477879,-0.0002,101.8846,0,300.441,301.27,301.057,300.343,0,0
Edge frame?,Yes,9,20.71234826,-0.049627,-0.00432682,0.06932931,1.000072,1,-8.477879,-0.0019,101.8839,0,300.437,301.267,301.045,300.342,0,0
Grid?,No,10,20.71537697,-0.03123,-0.00414676,0.0684885,1.000061,1,-8.477879,-0.0005,101.8837,0,300.442,301.271,301.037,300.339,0,0
Non-scrubbed?,Yes,11,20.71522637,-0.044174,-0.00426084,0.06693825,1.000104,1,-8.477879,0,101.8834,0,300.445,301.267,301.042,300.345,0,0
Substrate used? {Y/N},No,12,20.7114715,-0.04807,-0.00442944,0.06583549,1.000097,1,-8.477879,-0.0013,101.8815,0,300.433,301.256,301.053,300.326,0,0
Substrate,none,13,20.70812986,-0.051281,-0.00452379,0.06609029,1.000094,1,-8.477879,-0.0012,101.8813,0,300.451,301.272,301.05,300.353,0,0
Additional specimen preparation details,N/A,14,20.71088297,-0.057387,-0.00442882,0.06691916,1.000054,1,-8.477879,-0.0003,101.8822,0,300.448,301.263,301.033,300.334,0,0
,,15,20.71464492,-0.04158,-0.00426817,0.06933298,1.000053,1,-8.477879,-0.0019,101.8827,0,300.457,301.265,301.045,300.33,0,0
Specimen,,16,20.71619852,-0.044021,-0.00412282,0.06873697,1.000043,1,-8.477879,-0.0032,101.8849,0,300.448,301.268,301.06,300.329,0,0
Sample description,Radiator Data -001,17,20.71490428,-0.048638,-0.00422585,0.06685214,1.000033,1,-8.477879,-0.0003,101.883,0,300.459,301.275,301.064,300.349,0,0
Material name/ID,blank/001,18,20.7104291,-0.04938,-0.00437126,0.06568801,1.000028,1,-8.477879,-0.0001,101.8848,0,300.457,301.27,301.065,300.346,0,0
Specimen number,,19,20.70836996,-0.050443,-0.00445158,0.06599732,1.000027,1,-8.477879,0.0004,101.8827,0,300.442,301.269,301.054,300.342,0,0
E (MJ/kg),13.1,20,20.7119678,-0.062447,-0.00441987,0.06712536,0.999985,1,-8.477879,0.001,101.8815,0,300.434,301.275,301.047,300.33,0,0
Initial mass (g),100,21,20.71525321,-0.063005,-0.00417178,0.0692414,1.000031,1,-8.477879,0.0006,101.8833,0,300.446,301.26,301.051,300.32,0,0
Thickness (mm),12,22,20.71621572,-0.061442,-0.00401852,0.06822346,1.000007,1,-8.477879,0.0004,101.8821,0,300.462,301.285,301.058,300.337,0,0
Surface area (cm²),88.4,23,20.71422267,-0.052596,-0.00417895,0.06642225,1.000041,1,-8.477879,0.0002,101.8825,0,300.458,301.263,301.057,300.339,0,0
Sponsor,,24,20.70979017,-0.04746,-0.00426785,0.06563808,1.000088,1,-8.477879,0.0006,101.8825,0,300.45,301.259,301.061,300.343,0,0
Manufacturer,,25,20.70870804,-0.055385,-0.00423265,0.06634598,1.000091,1,-8.477879,0.0003,101.8832,0,300.457,301.278,301.054,303.156,0,0
