General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95308852,127.016644,-0.00015405,0.0500411,6.046276,-7.787829,-2.483184,0,70.053,0,267.264,296.084,293.117,297.844,0,0
Standard used,ASTM E 1354,1,20.95417162,132.672416,2.701E-05,0.04783174,3.934594,-3.56811,-2.483184,0.0001,70.061,0,267.284,296.065,293.117,297.847,0,0
Date of test,31/01/2024,2,20.95525472,138.328188,0.00020807,0.04562239,1.822911,0.651609,-2.483184,0.0003,70.0689,0,267.304,296.046,293.117,297.849,0,0
Time of test,00:27,3,20.9523521,139.653791,1.596E-05,0.0430542,1.158915,1.026637,-2.483184,0.0001,70.0659,0,267.29,296.026,293.087,297.826,0,0
Heat flux (kW/m²),1,4,20.94820469,138.176782,-0.00013742,0.04310028,0.693929,-0.249313,-2.483184,0.0001,70.0728,0,267.318,296.001,293.068,297.818,0,0
Nominal duct flow rate (l/s),24,5,20.95040769,135.447103,-0.00015271,0.04458771,0.261576,2.240459,-2.483184,0,70.0671,0,267.336,295.976,293.062,297.823,0,0
Sampling interval (s),1,6,20.95401684,136.223083,-9.28E-05,0.04613591,0.778317,-1.255132,-2.483184,0.0001,70.0951,0,267.332,295.953,293.053,297.827,0,0
Separation (mm),25,7,20.9558773,136.707351,0.00017904,0.04670854,0.348632,0.101696,-2.483184,0.0001,70.0955,0,267.342,295.951,293.035,297.811,0,0
Orientation,Horizontal,8,20.9536803,135.452757,0.00017345,0.04490701,0.078079,0.558144,-2.483184,-0.0001,70.0977,0,267.325,295.922,293.013,297.806,0,0
Edge frame?,No,9,20.94969823,138.912621,-3.959E-05,0.0435035,-0.496816,-1.717878,-2.483184,0,70.1106,0,267.318,295.909,292.996,297.818,0,0
Grid?,No,10,20.94625911,139.315314,-0.00016334,0.04349653,-1.010088,0.822594,-2.483184,0,70.0966,0,267.311,295.907,292.99,297.814,0,0
Non-scrubbed?,Yes,11,20.94908021,134.481768,-0.00016079,0.04465475,0.34349,-0.820265,-2.483184,0.0003,70.1108,0,267.313,295.877,292.992,298.185,0,0
Substrate used? {Y/N},No,12,20.95257168,138.316722,3.626E-05,0.04705121,-0.105755,-0.962518,-2.483184,0.0002,70.1067,0,267.328,295.847,292.96,297.883,0,0
Substrate,none,13,20.95401945,141.670915,0.00018513,0.0470997,0.107358,-1.807069,-2.483184,0.0002,70.1262,0,267.342,295.82,292.937,297.805,0,0
Additional specimen preparation details,,14,20.95286777,137.624868,7.354E-05,0.04430871,-0.52724,-2.015995,-2.483184,0.0002,70.1083,0,267.33,295.8,292.95,297.778,0,0
,,15,20.94884976,137.812957,-3.243E-05,0.04336261,-0.566353,-2.398531,-2.483184,0.0002,70.128,0,267.33,295.783,292.921,297.794,0,0
Specimen,,16,20.94643711,141.146897,-0.00015998,0.04352241,-0.089058,-2.738937,-2.483184,0.0003,70.1221,0,267.342,295.758,292.887,297.774,0,0
Sample description,Oxygen Delay Test,17,20.94979707,137.822899,-0.0001323,0.04534362,-0.155818,-4.262755,-2.483184,0.0002,70.1254,0,267.344,295.708,292.868,297.753,0,0
Material name/ID,Methane on/off Test,18,20.95303473,139.197699,-4.263E-05,0.04717701,-0.230159,-2.782029,-2.483184,0.0002,70.1288,0,267.339,295.699,292.848,297.739,0,0
Specimen number,3002,19,20.95408764,139.485364,0.00012812,0.04621175,0.228829,-5.103041,-2.483184,0.0002,70.1225,0,267.34,295.677,292.845,297.742,0,0
E (MJ/kg),13.1,20,20.9509613,137.071577,-1.389E-05,0.04404571,-0.556709,-4.950955,-2.483184,0,70.1212,0,267.339,295.651,292.821,300.493,0,0
