General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.96140997,126.024007,0.00052103,0.04630466,2.844701,0.284628,222.959863,-0.0053,70.0437,0,268.011,320.436,323.74,1059.804,0,0
Standard used,ASTM E 1354,1,20.95423743,127.610581,0.00021211,0.0448111,1.765909,-0.221698,222.959863,-0.0029,70.0716,0,268.014,320.632,323.947,1059.813,0,0
Date of test,23/05/2024,2,20.94706489,129.197155,-9.681E-05,0.04331754,0.687117,-0.728024,222.959863,-0.0004,70.0994,0,268.017,320.828,324.154,1059.822,0,0
Time of test,23:51,3,20.94595401,128.490228,-0.00020238,0.04362832,-0.116524,-0.496631,222.959863,-0.0007,70.105,0,268.016,321.007,324.29,1062.573,0,0
Heat flux (kW/m²),50,4,20.94959279,122.751449,-0.00013113,0.04566664,-0.30809,-0.215122,222.959863,-0.0005,70.105,0,268.012,321.06,324.359,1060.531,0,0
Nominal duct flow rate (l/s),24,5,20.95242344,126.720962,6.375E-05,0.04769512,-0.075099,-0.295835,222.959863,0.0007,70.0975,0,268.028,321.114,324.42,1059.889,0,0
Sampling interval (s),1,6,20.95238178,123.820788,0.00018307,0.0462834,0.119237,-0.597713,222.959863,0.0013,70.0956,0,268.021,321.107,324.387,1059.926,0,0
Separation (mm),25,7,20.94901231,123.655167,5.472E-05,0.04472648,0.071415,-0.885098,222.959863,0.0009,70.0826,0,268.004,321.054,324.428,1059.966,0,0
Orientation,Horizontal,8,20.94407671,125.148792,-0.00013895,0.04393566,-0.057767,-1.396973,222.959863,0.0005,70.0827,0,267.995,321.104,324.521,1060.012,0,0
Edge frame?,No,9,20.94604539,128.485762,-0.00020588,0.04427806,-0.241859,-1.473082,222.959863,-0.0019,70.061,0,267.992,321.241,324.666,1060.05,0,0
Grid?,No,10,20.9501444,128.142944,-0.00011425,0.04663914,-0.509605,-1.852478,222.959863,-0.0024,70.0726,0,267.991,321.343,324.75,1060.05,0,0
Non-scrubbed?,Yes,11,20.95264173,129.847306,9.43E-05,0.04784264,-0.542817,-1.384388,222.959863,-0.0007,70.0619,0,268.002,321.368,324.847,1060.078,0,0
Substrate used? {Y/N},No,12,20.95247427,127.260024,0.00017443,0.04611444,-1.300872,-1.299082,222.959863,-0.0014,70.0592,0,267.986,321.436,324.924,1060.088,0,0
Substrate,none,13,20.94810593,129.419116,3.058E-05,0.0445273,-1.677911,-0.890391,222.959863,-0.0001,70.0454,0,268.005,321.412,324.832,1060.123,0,0
Additional specimen preparation details,Al foil pan,14,20.94349712,128.49863,-0.00015728,0.04392061,-1.485238,-1.035961,222.959863,0.0016,70.0506,0,268.009,321.229,324.713,1060.141,0,0
,,15,20.9451427,127.16913,-0.00019472,0.04494045,-1.700496,-1.302481,222.959863,0.0004,70.056,0,268,321.089,324.705,1060.146,0,0
Specimen,,16,20.94892131,125.08858,-8.305E-05,0.0471048,-1.25105,-1.366979,222.959863,0.0002,70.0475,0,267.984,321.151,324.75,1060.147,0,0
Sample description,FTT PMMA 2020 batch,17,20.95084349,126.926926,0.00013141,0.04764264,-1.074992,-1.696304,222.959863,0.0013,70.0291,0,267.975,321.175,324.809,1060.157,0,0
Material name/ID,FTT PMMA 2020 batch,18,20.95185561,122.34707,9.266E-05,0.04529798,-1.954959,-2.156346,222.959863,-0.0013,70.0687,0,267.996,321.293,324.94,1060.157,0,0
Specimen number,1,19,20.94883396,127.717104,-7.057E-05,0.04420917,-1.421793,-1.585538,222.959863,-0.003,70.0299,0,267.991,321.34,325.008,1060.151,0,0
E (MJ/kg),13.1,20,20.94526798,130.081269,-0.00018699,0.04408454,-1.671673,-1.909586,222.959863,-0.0022,70.0417,0,267.979,321.334,325.007,1060.196,0,0
Initial mass (g),223.5,21,20.94782516,127.955714,-0.00019823,0.04489478,-1.937357,-1.115116,222.959863,-0.0011,70.017,0,267.98,321.419,325.118,1060.435,0,0
Thickness (mm),18.43,22,20.94980409,125.916471,-2.96E-06,0.04754141,-2.055063,-1.379147,222.959863,-0.0007,70.0389,0,267.981,321.435,325.104,1058.197,0,0
Surface area (cm²),100,23,20.95098963,122.274556,0.00017625,0.04698644,-1.365747,-0.947969,222.959863,0.0009,70.0126,0,267.975,321.428,325.117,1059.731,0,0
Sponsor,,24,20.9510252,126.008598,0.00011685,0.04458045,-1.47828,-1.334951,222.959863,0.0007,70.0145,0,267.96,321.435,325.127,1060.22,0,0
Manufacturer,,25,20.94786947,127.401275,-8.152E-05,0.04323953,-2.063271,-1.594299,222.959863,-0.0014,70.0146,0,267.973,321.411,325.078,1060.207,0,0
Test start time (s),211,26,20.94545781,127.254251,-0.00019528,0.04355923,-1.919419,-2.01199,222.959863,-0.0025,70.0362,0,267.972,321.327,325.072,1060.232,0,0
Time to ignition (s),27,27,20.94851495,126.057374,-0.00017434,0.04486883,-2.243413,-1.862198,222.959863,-0.003,70.0181,0,267.976,321.36,325.136,1060.273,0,0
Time to flameout (s),796,28,20.95190955,128.415461,1.899E-05,0.04693651,-2.120455,-2.19757,222.959863,-0.003,70.0171,0,267.947,321.422,325.171,1060.268,0,0
End of test criterion,ASTM E 1354,29,20.95301253,125.279577,0.00019595,0.04645019,-2.54035,-1.639406,222.959863,-0.0003,70.0105,0,267.951,321.413,325.189,1060.293,0,0
User EOT time (s),,30,20.95138441,125.800747,4.526E-05,0.04474889,-2.655554,-1.647286,222.959863,0.0024,70.02,0,267.946,321.406,325.166,1060.326,0,0
MLR EOT mass (g/m²),150,31,20.94710593,127.471965,-0.00012691,0.04388186,-2.825749,-1.280501,222.959863,-0.0002,70.0215,0,267.946,321.385,325.259,1060.304,0,0
MLR EOT time period (s),60,32,20.94561657,124.238231,-0.00020189,0.04417592,-2.647192,-1.014517,222.959863,0,70.0068,0,267.947,321.565,325.385,1060.319,0,0
Truncate graphs at EOT?,No,33,20.94927497,124.591206,-0.00013193,0.04531359,-2.052555,-1.173943,222.959863,0.0002,69.9989,0,267.949,321.678,325.457,1060.305,0,0
Smooth data?,No,34,20.95225111,127.273739,3.208E-05,0.0469919,-1.72683,-1.461492,222.959863,0.0007,69.9989,0,267.936,321.699,325.468,1060.292,0,0
Correct O2 for pressure?,No,35,20.95299819,129.064552,0.00018874,0.04569684,-1.712413,-1.924548,222.959863,0.0002,70.0013,0,267.931,321.758,325.534,1060.298,0,0
,,36,20.95094136,125.987612,5.211E-05,0.04451406,-2.455692,-2.094561,222.959863,-0.0008,70.0019,0,267.922,321.809,325.553,1060.285,0,0
Specifications: apparatus,,37,20.9462538,126.29786,-0.00013527,0.04389279,-2.584269,-2.274018,222.959863,-0.0007,70.0125,0,267.906,321.777,325.493,1060.24,0,0
C-factor (SI units),0.041765,38,20.94617045,126.271405,-0.0002056,0.04419659,-2.490677,-1.483088,222.959863,0.0002,69.9938,0,267.922,321.665,325.427,1060.23,0,0
OD correction factor,0.97963,39,20.95139775,127.224593,-0.00011077,0.04661657,-2.365346,-1.638136,222.959863,-0.0024,70.0037,0,267.91,321.485,325.272,1060.243,0,0
Duct diameter (m),0.114,40,20.95450723,131.306197,9.423E-05,0.04779543,-3.238447,-1.408736,222.959863,-0.0005,70.0078,0,267.912,321.413,325.285,1060.215,0,0
