Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,-0.0406895657687747,0,0,-0.00246945833331343,-0.279350490193827,0,0,0,0.746823354082875,0.000210528842146588,0.642296975621352,0.641451155228173,1.35043969003778E-07,1.52764670818754E-05,0,0,2.69577891658699E-06,1.17508322069375E-05,-2.42129256724042E-05,0,0,100
peak HRR (kW/m²),0.104760131218193,2,0.0358425034914952,0.319980876951288,0.304928381346098,0.000990208333334408,0.112014517345521,0.000166536724389072,-0.0206744217540274,3.58425034914952E-05,0.817831756535644,0.000429835092449805,0.703357686299501,0.702461547655834,3.01942624279079E-07,3.41564054614342E-05,4.36986593282857E-07,4.94328725433096E-05,1.64906052296275E-07,-2.04719847077081E-05,1.08770450609122E-05,1.08770450609122E-05,0.0179212517457476,100.000572
peak EHC (MJ/kg),1.70677398136197,4,0.00134340268778251,0.0273239683864304,0.826403169738314,0.00043462500000165,0.0491657239820871,-0.00203072910921881,0.000424865543099572,7.30284096707729E-05,0.836364854976611,0.000500014250540763,0.7192871857069,0.718330482102124,3.59175477648878E-07,4.06307101412758E-05,1.09810469521081E-06,0.00012421998814602,-8.82605639097575E-07,1.84657186670352E-07,-5.21051971255193E-06,2.17540901218244E-05,0.0182571024176932,99.998716
peak MLR (g/s),0.00400287500000118,6,-0.0657583096508834,0,0,-0.00106212499999951,-0.120149886877772,0,0,7.43718123585554E-05,0.72227162856829,-0.000350870175626436,0.621140641179523,0.620371707876424,-2.17669930096273E-07,-2.46232952597594E-05,1.45728017285969E-06,0.000164850698287295,1.94155377816344E-06,5.50320504847497E-06,-3.88821865176232E-05,2.17540901218244E-05,0.0123953020597592,99.999606
peak SEA (m²/kg),0,8,0.0504024814995919,0,0,-0.00201170833333819,-0.227568815988483,0,0,0.000124774293858147,0.862663173144345,0.000166668250019285,0.741887063229329,0.740983323753617,1.23498393863489E-07,1.39704065456435E-05,1.58077856672318E-06,0.000178821104832939,4.78705445748184E-07,-2.30481775050608E-05,1.8198786105466E-05,3.99528762272904E-05,0.0155967867322684,100.002703
peak COY (kg/kg),0.0303751635736756,10,-0.014840432287415,0,0,-0.00154395833333076,-0.174655920060041,0,0,0.000175176775357739,0.803899755163791,-0.000368413316007137,0.691366679316528,0.690485806654786,-2.54384165685553E-07,-2.87764893309449E-05,1.70427696058667E-06,0.000192791511378582,4.57214127678959E-07,1.09251850250178E-05,-1.15974896291244E-05,5.81516623327565E-05,0.0175176775357739,100.006977
peak CO2Y (kg/kg),0.0666142649929326,12,-0.0659305191577474,0,0,-0.00233049999999579,-0.263631221718981,0,0,0.000175176775357739,0.771987269301577,-0.000324555399271046,0.663923615584327,0.663060224609835,-2.15199775938994E-07,-2.43438660564473E-05,1.70427696058667E-06,0.000192791511378582,2.48603876054461E-06,1.79100630674415E-06,-3.96607539241297E-05,5.81516623327565E-05,0.0145980646131449,100.009403
,,14,0.0599972447362222,0,0,-0.00289666666666832,-0.327677224736236,0,0,0.000235174020093961,0.792209736235998,-0.000245610596555168,0.681297374194811,0.680427067806409,-1.67120098036216E-07,-1.89049884656353E-05,1.70427696058667E-06,0.000192791511378582,1.59203380190981E-07,-1.98338638535179E-05,2.42367629458752E-05,8.23884252786317E-05,0.0167981442924258,100.016151
Time To Peaks,,16,-0.0309400863318413,0,0,-0.00175558333333766,-0.19859539969883,0,0,0.000295171264830183,0.872754621424295,4.38597587734521E-05,0.750590381668039,0.749636532440975,3.28788774806282E-08,3.71933003174527E-06,1.7371558380673E-06,0.000196510841410328,2.07977834289276E-06,2.31716522843536E-05,-1.82779344101365E-05,0.000106625188224507,0.0184482040518865,100.020163
t peak HRR (s),84,18,-0.07287738755005,0,0,-0.00151100000000426,-0.170927601810437,0,0,0.000295171264830183,0.833319383931328,-0.000307012171177976,0.716660953410411,0.71575728202977,-2.19746197192407E-07,-2.48581671032134E-05,1.77003471554793E-06,0.000200230171442073,5.78938301451177E-06,4.05488297445781E-06,-4.21886742999859E-05,0.000106625188224507,0.0163984036016769,100.023537
