General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95638504,105.743097,0.0016618,0.0542772,1.000502,1.00176,5.907714,-0.0017,101.668,0,269.894,322.024,325.621,1053.386,0,0
Standard used,ISO 5660-1,1,20.95544797,108.298523,0.00161463,0.05069173,1.00125,1.001845,5.907714,-0.001,101.6677,0,269.891,322.03,325.618,1053.415,0,0
Date of test,03/04/2019,2,20.9545109,110.853949,0.00156746,0.04710626,1.001997,1.001929,5.907714,-0.0002,101.6674,0,269.888,322.036,325.615,1053.444,0,0
Time of test,10:53,3,20.94944836,111.202999,0.00141737,0.04586189,1.002683,1.00198,5.907714,-0.0015,101.6684,0,269.879,322.048,325.634,1053.462,0,0
Heat flux (kW/m²),50,4,20.94642282,108.078302,0.00132269,0.04596519,1.002234,1.002011,5.907714,-0.0014,101.6705,0,269.872,322.074,325.628,1053.515,0,0
Nominal duct flow rate (l/s),24,5,20.94972082,108.324676,0.00135014,0.04763831,1.001508,1.002074,5.907714,-0.0005,101.6685,0,269.86,322.053,325.544,1053.524,0,0
Sampling interval (s),1,6,20.9530258,111.344024,0.0015694,0.04973048,1.002592,1.002099,5.907714,-0.0005,101.6685,0,269.86,321.972,325.437,1056.267,0,0
Separation (mm),25,7,20.95419527,109.86385,0.00167258,0.04934594,1.002852,1.002078,5.907714,-0.0014,101.6692,0,269.85,321.944,325.401,1051.771,0,0
Orientation,Horizontal,8,20.95279605,110.949434,0.00155829,0.04716904,1.002653,1.002212,5.907714,-0.0014,101.6671,0,269.875,321.919,325.405,1051.259,0,0
Edge frame?,No,9,20.94844911,109.578831,0.00133672,0.04587233,1.002014,1.002139,5.907714,0.0008,101.6677,0,269.846,321.919,325.347,1053.1,0,0
Grid?,No,10,20.94694146,108.851203,0.00124199,0.04619311,1.00241,1.002174,5.907714,0.0003,101.6664,0,269.846,321.894,325.371,1053.496,0,0
Non-scrubbed?,Yes,11,20.95033596,109.090812,0.0012845,0.04774374,1.001957,1.002245,5.907714,0.0014,101.6687,0,269.867,321.919,325.41,1053.523,0,0
Substrate used? {Y/N},No,12,20.95337735,107.866634,0.00151153,0.04967273,1.002006,1.002235,5.907714,0.0033,101.6682,0,269.849,321.985,325.483,1053.55,0,0
Substrate,none,13,20.95416142,108.55988,0.0016363,0.04825453,1.002807,1.002207,5.907714,0.0003,101.6666,0,269.828,322.035,325.525,1053.555,0,0
Additional specimen preparation details,,14,20.95065591,114.857225,0.00145151,0.04577695,1.001933,1.002178,5.907714,-0.0005,101.6677,0,269.848,322.018,325.449,1053.56,0,0
,,15,20.94569118,110.039603,0.0013056,0.04562613,1.001723,1.002115,5.907714,-0.0004,101.6688,0,269.83,321.999,325.378,1053.522,0,0
Specimen,,16,20.94534205,111.640006,0.00125057,0.04664634,1.00112,1.00209,5.907714,0.0014,101.666,0,269.835,321.945,325.307,1053.5,0,0
Sample description,Unshaven PS No1,17,20.94906137,112.745617,0.00126861,0.04839579,1.001866,1.002029,5.907714,-0.0003,101.668,0,269.816,321.881,325.182,1053.484,0,0
Material name/ID,Unshaven PS No1,18,20.9517957,109.163156,0.00146693,0.04964906,1.001569,1.002028,5.907714,0.0012,101.6659,0,269.822,321.804,325.144,1053.45,0,0
Specimen number,,19,20.9520725,110.041325,0.00155233,0.04799537,1.002339,1.001926,5.907714,0.0009,101.6662,0,269.811,321.837,325.214,1053.454,0,0
