Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,3.435510831989,56.6448612101971,-1121145.4596998,0.000606499999927716,0.0606499999927716,-0.0594856611362971,2.56233991320925,0,27.73666543423,-27.1522310333372,24.8484457230536,25.0430515412168,-0.679974721226891,-67.997472122689,0,0,-3.60780534748643E-05,0.00155405915717619,0.00230844033789273,0,0,229.28
peak HRR (kW/m²),834.476298799945,1,0.694113462293991,0,0,-0.000322666666635977,-0.0322666666635977,0,0,0.0020648121471415,26.5515212383674,-33.3402898416821,23.7947546497343,23.9763842423064,-0.799379599994033,-79.9379599994033,0,0,3.0248320401285E-06,0.00196175567044524,0.0007190235352419,0.00151373193656731,2.0648121471415,229.28
peak EHC (MJ/kg),0,2,-0.769101520887547,0,0,-5.683333333432E-05,-0.005683333333432,0,0,0.00241186887828849,26.5716283292552,0,23.8169872259236,24.0029675095978,0,0,0,0,5.46012760479085E-05,0.00136768761266076,-0.00024082335295865,0.00187324370418826,1.20593443914425,229.280247
peak MLR (g/s),0.000643999999989357,3,-0.840051068105891,-27.4526492845469,0,0.000305999999999547,0.0305999999999547,0.117971417491923,1.77492830150276,0.00241186887828849,26.7467302572425,0,23.9808280758129,24.1659134791391,0,0,0,0,3.6099253752475E-05,0.000543128060259042,-0.000416938687830959,0.00187324370418826,0.80395629276283,229.280054
peak SEA (m²/kg),0,4,1.21720218435272,47.7958972893237,0,0.000254666666677394,0.0254666666677394,-0.0892756621753853,-0.907878671716733,0.00302046997046485,27.5090586921354,0,24.6600395835177,24.8545283592478,0,0,0,0,-2.27355353016225E-05,-0.000231206435073601,0.000692691434071057,0.00221958942122379,0.755117492616212,229.27975
peak COY (kg/kg),1984.42928968757,5,1.54635530763544,0,0,-0.000475583333333418,-0.0475583333333418,0,0,0.00440224871645893,27.0314092403212,0,24.2336189924922,24.4280218634983,0,0,0,0,-4.54867074325084E-05,-0.000264808049916347,0.000878818201661198,0.00300534423908992,0.880449743291785,229.279696
peak CO2Y (kg/kg),423341.600077793,6,-0.385646773414785,0,0,-7.18333333367127E-05,-0.00718333333367127,0,0,0.00517542637027664,26.9454595363609,0,24.1612190937037,24.349739605564,0,0,0,0,-3.66489062367826E-05,0.000104853526152034,-0.000236167709927415,0.00344475333992052,0.862571061712774,229.280439
,,7,-2.32307584416811,-119.438346745802,0,0.000194499999996841,0.0194499999996841,0.0991207864272272,4.89528396815343,0.00517542637027664,27.5803412417127,0,24.7160524718621,24.9129974846709,0,0,0,0,1.92789929597825E-05,0.000952132731790377,-0.00126296797595706,0.00344475333992052,0.739346624325235,229.279859
Time To Peaks,,8,-2.72356193081483,0,0,-0.000145999999984288,-0.0145999999984288,0,0,0.00517542637027664,27.2746887905009,0,24.4329529864978,24.6274065023725,0,0,0,0,5.96332548149368E-05,0.000667555497499512,-0.00153384579961128,0.00344475333992052,0.64692829628458,229.280192
t peak HRR (s),823,9,-1.59418006981917,0,0,-2.0416666667226E-05,-0.0020416666667226,0,0,0.00517542637027664,27.6724706981302,0,24.7681352532432,24.9687155048867,0,0,0,0,1.13844482539884E-05,-0.000195888158679619,-0.000997929171934262,0.00344475333992052,0.575047374475183,229.280054
