General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95236073,127.871575,3.124E-05,0.04712642,2.718969,0.974391,31.279042,0.0002,70.021,0,265.082,313.823,316.055,965.575,0,0
Standard used,ASTM E 1354,1,20.95032123,135.091755,-2.948E-05,0.04423931,1.901715,0.81056,31.279042,0.0002,69.97,0,265.102,313.848,316.084,965.594,0,0
Date of test,12/06/2024,2,20.94828173,142.311935,-9.02E-05,0.0413522,1.084462,0.646728,31.279042,0.0002,69.9191,0,265.122,313.873,316.113,965.613,0,0
Time of test,14:55,3,20.95166231,136.532353,6.804E-05,0.04107989,0.6988,1.375866,31.279042,0.0001,69.931,0,265.134,313.932,316.181,965.637,0,0
Heat flux (kW/m²),35,4,20.95218475,139.524514,2.199E-05,0.04362844,1.126482,2.577628,31.279042,0,70.0713,0,265.128,313.994,316.252,965.64,0,0
Nominal duct flow rate (l/s),24,5,20.94787393,138.010622,-0.00012862,0.04149133,1.122258,1.574657,31.279042,0.0001,70.1353,0,265.112,314.092,316.323,962.156,0,0
Sampling interval (s),1,6,20.9538263,139.015011,0.00018826,0.04287566,0.653749,-0.961465,31.279042,0.0002,70.004,0,265.134,314.15,316.365,964.803,0,0
Separation (mm),25,7,20.95041444,142.740956,-4.89E-05,0.04312977,0.337578,0.385193,31.279042,0.0001,69.9216,0,265.123,314.147,316.354,968.214,0,0
Orientation,Horizontal,8,20.94887014,140.205154,-0.00012963,0.04090212,0.353908,2.318749,31.279042,0,69.9866,0,265.113,314.144,316.37,966.324,0,0
Edge frame?,Yes,9,20.95381629,135.15326,0.00011848,0.04131875,0.634047,2.526612,31.279042,-0.0002,70.0538,0,265.102,314.178,316.398,965.695,0,0
Grid?,No,10,20.95224281,130.799072,0.0001582,0.0440123,0.889838,2.036242,31.279042,0.0002,70.1229,0,265.113,314.209,316.394,965.75,0,0
Non-scrubbed?,Yes,11,20.94798794,142.966978,-9.044E-05,0.04144246,0.561058,-0.254726,31.279042,0,70.0852,0,265.108,314.232,316.439,965.819,0,0
Substrate used? {Y/N},No,12,20.95379922,142.822465,0.00017312,0.04257034,0.233645,-0.933656,31.279042,0.0002,69.9785,0,265.108,314.239,316.408,965.846,0,0
Substrate,none,13,20.95466126,142.682112,0.00018117,0.04489154,0.22505,0.130607,31.279042,0.0004,69.9175,0,265.109,314.146,316.305,965.854,0,0
Additional specimen preparation details,Al foil pan. kaewool blankets. retainer frame,14,20.94949666,140.597096,-7.515E-05,0.04201427,0.407205,2.298348,31.279042,0.0001,70.0346,0,265.131,314.122,316.313,965.865,0,0
,,15,20.95405665,137.018928,0.00018971,0.04290005,0.88019,0.784797,31.279042,0.0002,70.1187,0,265.117,314.129,316.334,965.93,0,0
Specimen,,16,20.95361243,131.935226,7.123E-05,0.04486528,0.926064,-1.048321,31.279042,-0.0001,70.0403,0,265.115,314.185,316.372,967.289,0,0
Sample description,Composite3_Horiz_35kWm-2_R2,17,20.94748799,136.54043,-0.00010995,0.04196171,0.180635,-0.983098,31.279042,0.0002,69.9356,0,265.11,314.201,316.381,966.313,0,0
Material name/ID,Composite3,18,20.95190009,139.971765,-1.216E-05,0.04137826,0.041195,-1.18979,31.279042,0.0001,69.9012,0,265.103,314.256,316.387,965.984,0,0
Specimen number,4,19,20.95305867,141.67809,0.00018117,0.04426161,0.234846,1.348215,31.279042,0.0001,69.9521,0,265.097,314.231,316.38,965.963,0,0
E (MJ/kg),13.1,20,20.94793101,139.744137,-6.755E-05,0.04315428,0.498302,3.166677,31.279042,0,70.0087,0,265.112,314.226,316.35,965.986,0,0
Initial mass (g),31.27,21,20.94808584,134.131665,-9.899E-05,0.04139422,0.682146,1.122452,31.279042,0.0001,70.1158,0,265.108,314.272,316.434,965.953,0,0
Thickness (mm),3.8,22,20.95235728,133.917261,0.00019021,0.04391274,0.991553,-1.175246,31.279042,0.0002,70.0494,0,265.106,314.315,316.468,965.961,0,0
Surface area (cm²),100.3,23,20.9476226,139.287802,6.27E-06,0.04456323,0.340209,-1.549152,31.279042,0,69.9728,0,265.12,314.397,316.571,965.963,0,0
Sponsor,,24,20.94603908,140.419622,-0.00012384,0.04185661,-0.177016,-1.571377,31.279042,0,69.9115,0,265.092,314.486,316.613,965.956,0,0
Manufacturer,,25,20.95192301,138.092499,0.00015529,0.04243934,0.417652,0.740375,31.279042,0.0002,69.9218,0,265.091,314.471,316.605,965.95,0,0
Test start time (s),137,26,20.9524065,142.530597,0.00014241,0.04491536,0.362551,1.858568,31.279042,0,70.0405,0,265.095,314.405,316.524,965.873,0,0
Time to ignition (s),89,27,20.94758956,140.6695,-8.428E-05,0.04196159,0.530596,-0.619212,31.279042,0.0001,70.0826,0,265.096,314.287,316.447,965.817,0,0
Time to flameout (s),956,28,20.95214495,139.409764,0.00020337,0.04324751,0.430878,-0.377138,31.279042,0,70.0125,0,265.101,314.265,316.433,965.788,0,0
End of test criterion,ASTM E 1354,29,20.95022159,140.724726,0.00010414,0.04508198,-0.210586,-0.618193,31.279042,0.0001,69.9203,0,265.113,314.279,316.464,965.755,0,0
User EOT time (s),,30,20.94412054,135.764012,-0.00011708,0.04226096,-0.195821,0.352804,31.279042,0,69.9375,0,265.086,314.271,316.453,965.734,0,0
MLR EOT mass (g/m²),150,31,20.94817238,137.086171,-0.0001001,0.04116306,-0.17298,2.213243,31.279042,-0.0001,69.9763,0,265.104,314.308,316.522,965.714,0,0
MLR EOT time period (s),60,32,20.95106617,136.95987,0.00021147,0.04326672,0.430783,2.141132,31.279042,0.0002,70.0712,0,265.109,314.351,316.572,965.719,0,0
Truncate graphs at EOT?,No,33,20.94759872,137.601781,-1.713E-05,0.04389239,0.911109,0.351438,31.279042,0,70.1263,0,265.103,314.379,316.578,965.733,0,0
Smooth data?,No,34,20.94506958,140.781935,-0.00012153,0.04167485,0.296346,-0.469199,31.279042,0.0001,70.0531,0,265.119,314.416,316.626,965.792,0,0
Correct O2 for pressure?,No,35,20.95015119,141.054969,0.00017306,0.04268736,-0.180272,-1.484031,31.279042,0.0001,69.9492,0,265.112,314.449,316.661,965.843,0,0
,,36,20.94816986,131.842678,-4.05E-06,0.04496893,-0.128667,-0.743249,31.279042,0.0001,69.9009,0,265.12,314.46,316.643,965.908,0,0
Specifications: apparatus,,37,20.94387769,135.209621,-0.00013855,0.04224493,0.046574,1.864216,31.279042,0.0001,70.0012,0,265.125,314.467,316.687,965.956,0,0
C-factor (SI units),0.041198,38,20.9492532,137.341479,6.658E-05,0.0418606,0.355153,1.780903,31.279042,0.0002,70.0641,0,265.134,314.488,316.717,964.738,0,0
OD correction factor,0.97963,39,20.95124172,135.761954,0.00025003,0.04371017,0.671405,1.183222,31.279042,0.0001,70.1321,0,265.111,314.495,316.697,965.717,0,0
Duct diameter (m),0.114,40,20.94588364,141.240738,-6.476E-05,0.04290229,0.468142,-0.17246,31.279042,0,70.067,0,265.114,314.499,316.713,967.316,0,0
O2 delay time (s),12,41,20.9489966,145.252663,1.268E-05,0.04176551,0.039452,-0.909998,31.279042,0,69.9699,0,265.118,314.479,316.644,966.314,0,0
