General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95421043,115.312173,0.00094468,0.05159232,1.674778,1.690216,58.437875,-0.0056,99.2206,0.021,271.008,332.957,335.888,1140.239,0,0
Standard used,ISO 5660-1,1,20.95530459,113.726262,0.00110989,0.04906188,1.429512,1.403704,58.437875,-0.0051,99.2206,0.031,271.034,333.014,335.967,1140.236,0,0
Date of test,30/11/2020,2,20.95639876,112.14035,0.00127511,0.04653143,1.184246,1.117193,58.437875,-0.0046,99.2206,0.041,271.06,333.071,336.046,1140.233,0,0
Time of test,12:45,3,20.95387286,112.535432,0.00112784,0.04464962,1.088888,1.067228,58.437875,-0.0003,99.2204,0.042,271.057,333.091,335.999,1140.265,0,0
Heat flux (kW/m²),50,4,20.94963988,116.312051,0.00101833,0.04432194,1.119257,1.106122,58.437875,0.0013,99.2206,0.04,271.058,333.058,335.991,1140.297,0,0
Nominal duct flow rate (l/s),24,5,20.95115853,114.139258,0.00105978,0.04549187,1.23366,1.214258,58.437875,-0.0005,99.2193,0.04,271.059,333.094,336.073,1140.319,0,0
Sampling interval (s),1,6,20.95493315,112.679148,0.00119508,0.047665,1.298888,1.241403,58.437875,-0.002,99.2208,0.039,271.069,333.07,336.059,1140.336,0,0
Separation (mm),60,7,20.95696014,111.785701,0.00149824,0.04746016,1.286953,1.254188,58.437875,-0.0021,99.2218,0.038,271.066,333.046,336.05,1140.347,0,0
Orientation,Horizontal,8,20.95646798,111.109236,0.0014554,0.04582401,1.320149,1.308457,58.437875,-0.0009,99.2204,0.041,271.06,333.065,336.06,1140.347,0,0
Edge frame?,Yes,9,20.95310406,113.433314,0.00133925,0.04463594,1.267751,1.268572,58.437875,0,99.221,0.041,271.045,333.035,335.964,1140.369,0,0
Grid?,No,10,20.9494585,115.695926,0.00124101,0.04441411,1.268417,1.250722,58.437875,0.0011,99.2187,0.037,271.05,332.968,335.924,1141.702,0,0
Non-scrubbed?,Yes,11,20.95048239,117.802207,0.00124741,0.04564609,1.264322,1.255784,58.437875,0.0017,99.2188,0.038,271.05,332.966,335.928,1140.757,0,0
Substrate used? {Y/N},No,12,20.95345851,117.92299,0.00150709,0.0479882,1.187709,1.183691,58.437875,-0.0007,99.2192,0.04,271.059,332.944,335.907,1140.477,0,0
Substrate,none,13,20.95512295,117.611789,0.00169317,0.04738802,1.1668,1.129806,58.437875,-0.0024,99.2214,0.042,271.06,332.915,335.864,1144.555,0,0
Additional specimen preparation details,,14,20.95425427,118.076335,0.00156288,0.04597859,1.149494,1.124953,58.437875,0.0008,99.2222,0.041,271.053,332.876,335.834,1143.811,0,0
,,15,20.95013954,114.426216,0.00126679,0.04450232,1.16036,1.146513,58.437875,0.0015,99.2223,0.041,271.044,332.86,335.849,1141.117,0,0
Specimen,,16,20.94742138,111.241738,0.00110313,0.04428886,1.154087,1.143572,58.437875,-0.0008,99.222,0.04,271.048,332.881,335.894,1140.57,0,0
Sample description,Trex Fence,17,20.95047853,111.120614,0.00113337,0.04600936,1.134442,1.106328,58.437875,0.001,99.2235,0.043,271.047,332.909,335.899,1140.567,0,0
Material name/ID,Trex 2_50,18,20.95400047,113.699576,0.00135213,0.04804618,1.207066,1.161745,58.437875,0.0008,99.2207,0.043,271.053,332.91,335.908,1140.543,0,0
Specimen number,,19,20.95541509,113.798142,0.00152044,0.04672015,1.198673,1.177525,58.437875,0.0007,99.2213,0.043,271.048,332.894,335.802,1143.374,0,0
E (MJ/kg),13.1,20,20.95519169,114.22365,0.0013862,0.04499035,1.251923,1.223128,58.437875,-0.0004,99.2221,0.04,271.038,332.814,335.762,1141.223,0,0
Initial mass (g),57.7,21,20.95110652,110.484287,0.00123242,0.04429035,1.259572,1.261152,58.437875,-0.0009,99.2228,0.042,271.057,332.797,335.757,1140.552,0,0
Thickness (mm),6,22,20.95139992,108.393677,0.00110267,0.04475143,1.338278,1.315326,58.437875,0.0015,99.2211,0.039,271.06,332.78,335.758,1140.542,0,0
Surface area (cm²),88.4,23,20.95536873,109.65644,0.00112425,0.04705064,1.304786,1.31864,58.437875,0.001,99.2233,0.04,271.049,332.832,335.785,1140.551,0,0
Sponsor,,24,20.95836901,112.288346,0.00131356,0.04810414,1.329642,1.264733,58.437875,0.0016,99.2223,0.04,271.038,332.843,335.803,1140.535,0,0
Manufacturer,,25,20.95902506,114.370546,0.00135646,0.04703964,1.340434,1.298,58.437875,0.0007,99.2233,0.04,271.049,332.811,335.689,1140.541,0,0
Test start time (s),236,26,20.95688992,113.560331,0.00120637,0.04501196,1.308344,1.288144,58.437875,-0.004,99.2212,0.037,271.052,332.738,335.577,1140.546,0,0
Time to ignition (s),23,27,20.95225935,114.863977,0.00104658,0.04430039,1.273089,1.252002,58.437875,-0.0024,99.2214,0.04,271.062,332.683,335.55,1140.505,0,0
Time to flameout (s),1040,28,20.95232707,113.984452,0.00099286,0.04477284,1.226881,1.217489,58.437875,-0.0001,99.2221,0.041,271.068,332.669,335.56,1141.679,0,0
End of test criterion,ISO 5660-1:2002,29,20.95610189,116.085969,0.00106688,0.0468461,1.275777,1.279546,58.437875,-0.0014,99.2244,0.039,271.074,332.668,335.515,1140.758,0,0
User EOT time (s),,30,20.95868491,109.018518,0.00131133,0.04825444,1.350053,1.370995,58.437875,-0.0011,99.2236,0.04,271.052,332.624,335.47,1140.414,0,0
MLR EOT mass (g/m²),150,31,20.95886145,110.351162,0.00138466,0.04657286,1.434625,1.376298,58.437875,-0.0004,99.2238,0.04,271.046,332.624,335.485,1140.349,0,0
MLR EOT time period (s),60,32,20.95780548,111.035178,0.00119103,0.04497718,1.451482,1.429473,58.437875,-0.0011,99.2213,0.039,271.048,332.582,335.45,1140.278,0,0
Truncate graphs at EOT?,No,33,20.95368082,114.119505,0.00107575,0.04436103,1.422264,1.388682,58.437875,-0.0015,99.222,0.037,271.043,332.565,335.417,1140.228,0,0
Smooth data?,No,34,20.9549121,115.697306,0.00102766,0.04512863,1.417061,1.411306,58.437875,-0.0029,99.2233,0.036,271.056,332.519,335.368,1140.282,0,0
