Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,-0.807569664771565,-0.0168500086977109,0,0.479269583333377,47.9269583333377,-4.94128817659844E-05,-0.000862395361948037,0,27.5548660704358,0,24.5330506206899,24.6968118211721,0,0,0,0,-2.36820912552848E-05,-0.000413319865789472,-0.000566478347014338,0,0,208.84
peak HRR (kW/m²),926.00832377302,1,-2.21387890583074,0,0,-0.0447724166666769,-4.47724166666769,0,0,0,27.3189089113145,0,24.3268373275588,24.4903564709334,0,0,0,0,3.7886027226304E-05,-0.000185024950750832,-0.0013692994149116,0,0,208.695996
peak EHC (MJ/kg),79.8982541841148,2,-1.59775391331588,-0.576201490005487,0,0.0277290833333434,2.77290833333434,-0.000240982756585107,0.0168339329856887,0,27.2569308002292,0,24.2891660452311,24.4537033663732,0,0,0,0,-6.68223093924723E-06,0.000466789530588079,-0.000909946274449052,0,0,208.730697
peak MLR (g/s),0.926384333333335,3,0.594938992493666,0.130399730953064,0,0.0456242500000101,4.56242500000101,-0.000956655112180966,-0.00408651254362545,0.000297469496246833,26.841916823924,24.5799565690069,23.9432032606406,24.102955335773,0.592449595338013,59.2449595338013,0.296224797669007,29.6224797669006,-4.36466720019321E-05,-0.000186444069918545,0.00031986022092514,0.00015993011046257,0.0991564987489443,208.629951
peak SEA (m²/kg),0,4,-0.751572981937536,-0.176140628975662,0,0.0426689166666587,4.26689166666586,-0.000141184542756103,-0.0124677803145968,0.000594938992493666,27.6239421853806,14.7131121540689,24.6520389549987,24.8081546129092,0.365005161155215,36.5005161155215,0.774952175915621,77.4952175915621,-6.02419148948048E-06,-0.00053198667926174,-0.000543272504153392,0.00031986022092514,0.148734748123416,208.644389
peak COY (kg/kg),2.24466696555945,5,-1.13862534699015,-0.580203578160436,0,0.0196245833333227,1.96245833333227,-5.00948553600857E-05,0.0303464049819021,0.000594938992493666,27.3265035025296,0,24.3785533151701,24.5356960328852,0,0,0.957454756493228,95.7454756493228,-9.83090663584749E-07,0.000595535553434096,-0.000606686049162331,0.00031986022092514,0.118987798498733,208.553023
peak CO2Y (kg/kg),353.885668516697,6,1.4067103353284,0,0,-0.108353083333322,-10.8353083333322,0,0,0.00129829416015786,26.9911205978347,0,24.0787397331671,24.2359407958734,0,0,0.957454756493228,95.7454756493228,-3.99294885982903E-05,-0.000124611003844975,0.000828366973692909,0.000734043707771594,0.216382360026311,208.6273
,,7,-0.783461118126466,0,0,-0.0652794166666529,-6.52794166666529,0,0,0.00200164932782206,26.8616842795642,0,23.964943012548,24.1179676949979,0,0,0.957454756493228,95.7454756493228,4.29670276286171E-06,-0.000414289673109593,-0.000540831801357763,0.00114822719461805,0.28594990397458,208.728734
Time To Peaks,,8,-1.32322807000745,0,0,-0.00392500000000477,-0.392500000000477,0,0,0.00200164932782206,26.7629430733843,0,23.8846549466435,24.0468165067558,0,0,0.957454756493228,95.7454756493228,4.844362975839E-05,0.000496800403604991,-0.000715387987031993,0.00114822719461805,0.250206165977758,208.74984
t peak HRR (s),613,9,1.47536413765258,9.03099859813891,0,0.00163366666667031,0.163366666667031,-0.016428285318229,-0.155261507053395,0.00273933139664835,27.1489627989245,0,24.2417657906681,24.4075730946653,0,0,0.957454756493228,95.7454756493228,-2.68383421149399E-05,-0.000253645548690129,0.000855961969820726,0.00157620817952841,0.30437015518315,208.74999
t peak EHC (s),429,10,-0.46181114423229,0,0,-0.00098416666667589,-0.098416666667589,0,0,0.00347701346547464,27.5772317423628,0,24.6449441503624,24.8135231922775,0,0,0.957454756493228,95.7454756493228,-5.08323433067972E-06,-0.00078894339311955,-0.000404457640900427,0.00200418916443877,0.347701346547464,208.750248
t peak MLR (s),445,11,-1.79797718698138,0,0,-0.000354500000016837,-0.0354500000016837,0,0,0.00347701346547464,26.9919588426769,0,24.1436079908914,24.3078450231516,0,0,0.957454756493228,95.7454756493228,3.68217858727239E-05,0.000278530628312902,-0.00104419033172942,0.00200418916443877,0.316092133224968,208.751602
t peak SEA (s),26,12,0.643223795290081,25.2822978812196,0,0.000254416666678026,0.0254416666678026,-0.114456649211538,-2.30598903047309,0.00379862536311968,27.1340383294609,0,24.2814502119684,24.4440164544926,0,0,0.957454756493228,95.7454756493228,-2.91196791715356E-05,-0.000586682042529055,0.000294211720056196,0.00215129502446687,0.316552113593307,208.750926
t peak COY (s),747,13,-1.64896576137198,-26.2748494710034,0,0.000627583333328611,0.0627583333328611,0.00711465495217126,-1.31213901661055,0.00412023726076472,27.5476568226572,0,24.6581370503428,24.8258333170191,0,0,0.957454756493228,95.7454756493228,4.46503887036655E-06,-0.000823476577834975,-0.00113357267401346,0.00229840088449497,0.316941327751133,208.75116
t peak CO2Y (s),747,14,-2.41244782948463,-26.644614776006,0,0.000905416666656815,0.0905416666656814,0.0590130078508386,0.0846649912226169,0.00412023726076472,27.1257205651237,0,24.2849898043205,24.4481974455753,0,0,0.957454756493228,95.7454756493228,5.34313608576987E-05,7.66570941353103E-05,-0.00144497623167663,0.00229840088449497,0.294302661483195,208.749765
,,15,0.645994647582195,0,0,-0.000964583333320945,-0.0964583333320945,0,0,0.00444323458455582,26.3083996499825,0,23.5545288313604,23.7202678321282,0,0,0.957454756493228,95.7454756493228,-2.18704340852838E-05,-0.00028364965542554,0.000344919765427209,0.00247086076720857,0.296215638970388,208.749845
Test Results (between 26 and 752 s),,16,-0.155029648247997,0,0,-0.00118591666665206,-0.118591666665206,0,0,0.00476623190834692,26.4654681217685,0,23.7005511871215,23.8641324611037,0,0,0.957454756493228,95.7454756493228,-4.14835174565195E-05,-0.000910500126070867,-0.00024933569086051,0.00264332064992218,0.297889494271682,208.751271
mean HRR (kW/m²),719.6704119563,17,-1.83911356776138,-18.040842649657,0,0.00101941666665795,0.101941666665795,0.037838108798618,-0.387819937280049,0.00476623190834692,27.2870344218518,0,24.4331958854144,24.6047138378425,0,0,0.957454756493228,95.7454756493228,3.85727987441279E-05,-0.000395350107725521,-0.00117140890804281,0.00264332064992218,0.280366582843936,208.751633
mean EHC (MJ/kg),24.9646596830701,18,-0.879446705871626,-10.6309665263081,0,0.000827249999983811,0.0827249999983811,-0.00391372690153105,0.296742174995807,0.00476623190834692,27.2845103906313,0,24.4330216684178,24.6089271875248,0,0,0.957454756493228,95.7454756493228,-3.2376305792282E-06,0.000245479964260477,-0.000502075889862859,0.00264332064992218,0.264790661574829,208.749838
