Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,0.727823121762234,0,0,-6.28458499999997,-710.925904977373,0,0,0,26.4909432087584,0.00288516781072794,24.493979461095,24.7099225735754,7.12922732148594E-05,0.00806473678901125,0,0,-5.1194661477733E-05,-0.000617277380729222,0.000480076033423579,0,0,63.856
peak HRR (kW/m²),357.912947469659,1,1.89434664198921,0,0,-1.09746016666667,-124.147077677225,0,0,0.00131108488187572,26.4155872839296,0.0124719934892965,24.4248276338474,24.6372395520512,0.000307275491287419,0.0347596709601153,0.000189283882251139,0.0214122038745633,-0.000104141765593509,-0.000584931648852304,0.00109250906100402,0.000786292547213798,1.31108488187572,67.07205
peak EHC (MJ/kg),79.8617104803276,2,0.14688822156676,0,0,-0.10455933333334,-11.827978883862,0,0,0.0023317023136537,26.6150690781534,0.0113970699655939,24.6024183140498,24.8141735647198,0.000282808872255502,0.0319919538750568,0.0004843260640226,0.0547880162921493,-0.000103600069800239,-0.000156239506001665,0.000217378591153228,0.00144123637329242,1.16585115682685,67.448995
peak MLR (g/s),0.296535250000005,3,-2.04600830340359,-1.12704432467894,34.8051530961499,0.0160479166666671,1.815375188537,-0.0029356747253466,0.0529943752620685,0.00240514642443708,26.8400548678483,0.0223277570764357,24.8027910393013,25.0159563517953,0.000558550196457604,0.0631844113639824,0.000905005598379153,0.102376198911669,-4.7111463352803E-05,0.000850449318007759,-0.000787391968685843,0.00154992566886903,0.801715474812361,67.675612
peak SEA (m²/kg),3672.42362997059,4,-2.70226613190453,-0.0754759741548099,0.870541636624685,0.316498499999999,35.8029977375565,0.000121333183286138,0.00187225297392269,0.00240514642443708,26.5520627011002,0.0111337744985982,24.5334258785013,24.7467848584456,0.000275525122179257,0.0311680002465223,0.00132204325769758,0.149552404716921,3.84017705102876E-05,0.000592565257867068,-0.00114888347370211,0.00154992566886903,0.601286606109271,67.429784
peak COY (kg/kg),126.896623431421,5,-1.61043502772111,-0.0348244969451542,0.847057777292021,0.408799749999995,46.2443156108592,9.2629208568387E-05,-0.000401257683029552,0.00240514642443708,26.3637429640747,0.0140899353407205,24.3636034484632,24.5761956473836,0.00034627700759253,0.0391716071937251,0.00163294432258348,0.184722208437045,3.7866797305454E-05,-0.000164034040508058,-0.000677282431920793,0.00154992566886903,0.481029284887416,67.110937
peak CO2Y (kg/kg),1174.08436638371,6,0.914002660573084,0.163856341717216,4.05593481348953,0.0493101666666658,5.57807315233776,0.000130894777405192,-0.0124337653856448,0.00286214775472362,26.8359169052409,0.00799265933312671,24.8068694009894,25.0228132222998,0.000199998821642301,0.022624301090758,0.00190608223720089,0.215620162579286,6.45444328964614E-06,-0.000613111043460366,0.000606460735348026,0.00185315603654305,0.477024625787271,66.729577
,,7,1.58890441649409,0,0,-0.173920999999998,-19.6743212669681,0,0,0.00411360129325721,26.0673420891513,0.0177446741540437,24.1024582301477,24.3132507641775,0.000431430712435882,0.0488043792348283,0.00222179700423998,0.25133450274208,-4.36879714455717E-06,-0.000321828829977914,0.00100459561578698,0.00265868421211055,0.587657327608173,66.979553
Time To Peaks,,8,0.357809639186994,0.085639289743183,7.01785055187336,0.0369344166666773,4.17810143288205,0.000533270643377658,0.0029991478264419,0.00508695832109776,26.171048878384,0.0106164576381062,24.2033126260733,24.4149437809653,0.000259200216387362,0.0293212914465342,0.00256711246865161,0.290397338082761,1.96960401386175E-05,0.000110771775466765,0.00041702330583286,0.00336949367292047,0.63586979013722,66.970434
t peak HRR (s),41,9,-1.22145649828757,-0.467972064932016,50.4076820887616,0.0230733333333279,2.6101055806932,0.00295740765641714,0.037914224193046,0.00526586314069125,26.0665020354195,0.0478183756268298,24.1100952138847,24.3227260681319,0.00116307325139442,0.131569372329685,0.0032782492025425,0.370842669970871,6.82372526590486E-05,0.000874807532880673,-0.00029959709970634,0.0035780053258369,0.58509590452125,66.950741
t peak EHC (s),899,10,-1.58191449776966,0,0,-0.0467936666666707,-5.29340120663696,0,0,0.00526586314069125,26.5182643496727,0.0887332134330941,24.5320803593961,24.747119927692,0.00219589147439827,0.248404012940981,0.00495773156543884,0.560829362606203,0.000102466710967966,0.000505463067273726,-0.000533234671295325,0.0035780053258369,0.526586314069125,66.942294
t peak MLR (s),32,11,-0.435765871437797,0,0,-0.0766389166666575,-8.66956070889791,0,0,0.00526586314069125,26.6112132917685,0.0960916281709556,24.6187456663442,24.8366486790456,0.00238659400987951,0.269976697950171,0.00724897430757773,0.820019718051779,6.97146762224777E-05,1.37482815769683E-05,-2.50249605901088E-06,0.0035780053258369,0.478714830971932,67.031313
t peak SEA (s),54,12,2.23064066928796,0.268059866300036,46.0997286555541,0.0735614166666577,8.32142722473503,0.000544168871640153,-0.00414317293223933,0.00638118347533523,26.4266593105144,0.137472954962283,24.4513769312112,24.6678435680784,0.00339116134785108,0.383615537087226,0.010137851986443,1.14681583557048,4.00298331037462E-05,-0.000304777670390475,0.00137346562794086,0.00426473813980733,0.531765289611269,67.053486
t peak COY (s),1070,13,2.23644422789538,0.259064000732902,58.3746749253369,0.0763138333333255,8.63278657616804,0.000384012549113997,-0.000528497699299065,0.0086147259239269,26.2588868414427,0.181708639850411,24.2980778337457,24.516144178981,0.00445479521313921,0.503936110083621,0.0140608302669382,1.5905916591559,2.9305469670991E-05,-4.03316853413548E-05,0.00141136679344331,0.00565715435049942,0.662671224917454,66.92061
t peak CO2Y (s),64,14,0.0597035800706739,0,0,-0.0828954166666615,-9.37730957767664,0,0,0.00976279982790993,26.2044638679661,0.110609111711633,24.2573641139609,24.4807657269392,0.00270779575107733,0.30631173654721,0.0176421257490464,1.99571558247132,4.78027200115314E-05,0.000770348074385559,0.000368133635762972,0.00654690456510256,0.697342844850709,66.939407
,,15,-1.59390498745273,0,0,-0.0239449999999977,-2.70871040723955,0,0,0.00979265161794526,26.2529562753287,0.0983836691075514,24.320018792543,24.5507467375886,0.00241539254337421,0.273234450607942,0.0202037198962722,2.28548867604889,0.000110469870655481,0.00118309343381024,-0.000435311641587134,0.00673097138298405,0.652843441196351,67.034447
Test Results (between 12 and 1093 s),,16,-1.49466505781979,-0.131790020234327,82.2866768305435,0.100256749999993,11.3412613122164,0.00128608784531683,0.00379424643686012,0.00979265161794526,25.8500634040191,0.34074864875295,23.9771644434598,24.2107923759113,0.00824979478732999,0.933234704449094,0.0255363135616243,2.88872325357741,0.000128938987585959,0.000380398816458648,-0.00049990674277179,0.00673097138298405,0.612040726121579,66.969437
mean HRR (kW/m²),66.0893575064062,17,0.0497800195259169,0.00717405556382602,339.760999990237,0.0613398333333256,6.93889517345312,0.00151849774617019,-0.000697351436559692,0.00981754162770822,25.0095214520767,0.887184477507065,23.2463819116227,23.4910366907306,0.0208408831125652,2.35756596295986,0.0400816525115719,4.53412358728189,9.31443986671099E-05,-4.27754208933266E-05,0.000247684226307608,0.00685481349613785,0.577502448688719,66.87351
mean EHC (MJ/kg),12.9282803166905,18,2.36386030770816,0,0,-0.0105207499999859,-1.19013009049614,0,0,0.0110243617913253,24.5264921368011,1.44148200376187,22.8784468813153,23.1395569106482,0.033355254861723,3.77321887576052,0.067179721498716,7.59951600664208,6.80625526500968E-05,-0.000243209580292045,0.00145125981534067,0.00770428551696199,0.612464543962514,66.854992
mean MLR (g/s),0.0451649986509405,19,1.91155258830013,0.20654782251913,556.995307191392,0.0818121666666715,9.25476998491759,0.000797798686089576,-0.00102409202586409,0.0131620682393294,24.6658909421527,1.94845161989904,23.1073706654221,23.3872847747984,0.045568992904496,5.15486345073485,0.106641845381825,12.0635571698898,6.5269639072812E-05,-8.37831875020024E-05,0.00123161546656656,0.00904572315791561,0.692740433648916,66.854965
mean SEA (m²/kg),53.4079484011355,20,-0.380003268123139,-0.0235654604226297,346.81611943948,0.142548833333327,16.1254336349917,0.000719709609064267,0.00609008230387609,0.0141178445334795,24.0703158609333,2.15435430379967,22.651587800133,22.9480513581701,0.0494382332072896,5.5925603175667,0.154145458437718,17.4372690540405,0.000102593765110896,0.000868134127321475,0.000151332864651703,0.00973719732352474,0.705892226673973,66.694828
mean COY (kg/kg),0.0554208622089808,21,-1.51971622761044,-0.0689165978083826,238.663635582623,0.194935500000004,22.0515271493218,0.000708781403756814,0.00553998611884269,0.0141178445334795,23.085019043507,2.10212455145689,21.8250240243512,22.1319022709066,0.0465240151341174,5.26289763960604,0.202126582608422,22.8649980326269,0.00013816665733204,0.00107993996406968,-0.000424247972615103,0.00981286375585059,0.67227831111807,66.573944
mean CO2Y (kg/kg),1.20584289874876,22,-0.592928212904469,-0.0244569703122969,235.285294277438,0.214314583333329,24.2437311463042,0.000654049889396528,0.00255726391000816,0.0141178445334795,23.86004179434,2.19300223744968,22.6538118411788,22.9936244233703,0.0504250698075288,5.70419341714126,0.250601125079245,28.3485435610006,0.000140172429525227,0.000548058949346758,1.00387057364675E-06,0.00981336569113742,0.641720206067248,66.31741
Total heat release (MJ/m²),71.4481766821788,23,1.16354539916517,0.0975156675442382,574.862163938459,0.105477833333335,11.9318815987936,0.00114885861273546,0.00479512915244658,0.0146996172330621,23.6487549054191,2.64781555510083,22.5413913529371,22.9000903785506,0.0606352155175412,6.85918727573996,0.30613126774178,34.6302339074412,0.000121179117277677,0.000505779833553577,0.000932414248140289,0.0102800747504944,0.639113792741828,66.174847
Total oxygen consumed (g),48.8285028281224,24,2.55496132578356,0.17291469523786,523.981050357918,0.130618500000002,14.7758484162898,0.000955364624577869,0.0187484173911836,0.0165588705955364,23.4310745657727,3.00350854187281,22.4081413602601,22.7872229667443,0.0684416188261766,7.7422645730969,0.370669684913639,41.9309598318596,0.000124788294215426,0.00244889015701035,0.00197837165279812,0.0117354677009636,0.689952941480684,66.073827
Mass lost (g),48.850468,25,0.871377232922291,0.0301811038258059,318.848828356482,0.255225083333325,28.8716157616884,0.000641404269180036,0.0295611825245664,0.0182720398748893,24.3359213069255,3.42589050973168,23.342596389161,23.7538878013909,0.0813782187880164,9.20568085837289,0.445579603720735,50.4049325475945,0.000163702458051825,0.00754475527326411,0.00186919220991728,0.0136592496323213,0.730881594995574,65.891014
Average specific MLR (g/s·m²),6.62797126323716,26,0.0328394072554389,0.00170089396019193,460.439676837275,0.170675166666664,19.3071455505276,0.0015684790109232,0.105890708478149,0.0187241481949782,24.1250174358189,3.32753804767276,23.1896189900127,23.6167453108789,0.078585618584147,8.88977585793518,0.525561522406817,59.4526609057485,0.000267700416602481,0.0180729143179592,0.00306056341435292,0.0161241274444564,0.720159545960701,65.614168
Total smoke release (m²/m²),311.799768251928,27,2.23649933026766,0.401112895841146,1616.07211021946,0.0492895000000099,5.57573529411877,0.00893736198533046,0.732744539660996,0.0198588175637398,24.1703320881059,3.35768385891227,23.2734168666035,23.7233133385233,0.0796553862766778,9.01079030279161,0.60468202483723,68.4029439861119,0.000440518103576034,0.0361166119876279,0.00706496485238711,0.0211868915778264,0.735511761619991,65.560276
Total smoke production (m²),2.75630995134704,28,14.6414666510305,1.2859107976272,832.684515287107,0.100652833333337,11.3860671191558,0.00606580021126098,0.58800926841662,0.0282978005543889,23.7013805424755,3.59288086375817,22.8623333125525,23.3272571272447,0.083812055736444,9.48100178014072,0.686415745843791,77.6488400275781,0.000610539977697373,0.0591847988923957,0.0173231238821602,0.0333809359451001,1.01063573408532,65.476025
