Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
Peaks,,0,0.83276558330499,0,0,-0.524173833333398,-59.295682503778,0,0,0,26.9552857365472,-0.584605747146963,24.3111475453395,24.5283571903867,-0.0143394185815736,-1.62210617438615,0,0,-4.2290388389809E-05,0.000537848294653581,0.00065341631213411,0,0,206.7
peak HRR (kW/m²),751.827276430489,1,0.113880000060669,0.00200882764856281,-74.8289312409427,0.501137666666696,56.6897812971375,9.7846327124616E-05,0.00182983628483044,0.000473322791682829,26.7154001321267,-1.54261162503668,24.0951713673835,24.3091620681628,-0.0374995960012487,-4.24203574674758,0,0,4.90344800671363E-05,0.00091699988616198,0.000359374464468768,0.000506395388301439,0.473322791682829,206.533954
peak EHC (MJ/kg),79.2033614805398,2,0.326316489390886,0.0303863049533523,-189.950941710427,0.0949321666666544,10.7389328808433,0.000938571575865786,0.00426906738599381,0.000693421036408606,26.97569552178,-0.734693709499094,24.3300135362986,24.5441797361196,-0.0180324544569422,-2.03987041368125,0,0,8.91006332686753E-05,0.000405271816598343,0.000412795951315728,0.000892480596193687,0.346710518204303,206.174897
peak MLR (g/s),0.783902416666663,3,2.0890302987248,0,0,-0.166030416666681,-18.7817213423848,0,0,0.00190109443046645,26.6388414228896,-2.7507791445061,24.0243867095475,24.2327861208199,-0.0666590426744283,-7.54061568715253,0,0,5.77973560556293E-05,-0.000365375602405273,0.00122927637887266,0.00171351676128788,0.633698143488817,206.355094
peak SEA (m²/kg),4599.9997255897,4,4.57430127080264,0,0,-0.0162469166666526,-1.83788650075255,0,0,0.00523276021523018,26.8173721819203,-2.07369092895219,24.1780304011946,24.3890413724025,-0.0505753338597908,-5.72119161309851,0,0,2.53331057416261E-05,-0.000581025087361639,0.00252137026032512,0.00358884008088677,1.30819005380754,206.408306
peak COY (kg/kg),2.82512360952347,5,3.87900472194897,10.0161827784127,0,0.00342350000001327,0.38727375565761,0.00138738299780551,-0.092198694813032,0.00945941321160598,26.6920734690364,0.901355910263271,24.0612091112667,24.2745595105516,0.0218800176838731,2.47511512261008,0.0109400088419366,1.23755756130504,4.74970569300556E-06,-0.000315642231693639,0.00217900491669928,0.00593902766939897,1.8918826423212,206.408861
peak CO2Y (kg/kg),413.901749861152,6,1.47320570046815,0,0,-0.00772241666667384,-0.873576546003828,0,0,0.0121355184228145,27.0251815887486,-1.38910723045129,24.3601075858969,24.571605909673,-0.0341325954329265,-3.86115332951658,0.0218800176838731,2.47511512261008,2.57959982643125E-05,0.000846923610630942,0.00107216840755634,0.00756461433152678,2.02258640380242,206.41007
,,7,0.255508805001721,0.048073595776226,33.3790458594514,0.0469841666666468,5.31495098038991,0.00140322176919723,0.0201124757500659,0.0129998756755495,26.8449784232575,0.0642778206554076,24.183157397827,24.3985660659168,0.00156828665383411,0.177407992515171,0.0226641610107902,2.56381911886767,6.59292054742296E-05,0.000944967912719988,0.000447139262837787,0.00832426816672384,1.85712509650707,206.410288
Time To Peaks,,8,0.654162992740006,0.110549725304593,129.377460026534,0.0523095000000093,5.91736425339471,0.000985733406151374,0.00245790352233031,0.0134547115744203,26.4881287226882,0.281094821536383,23.8613162332809,24.0761114284107,0.00676767024525919,0.765573557156017,0.0268321394603368,3.03530989370326,5.15632216090844E-05,0.00012857170430136,0.000529594179945111,0.00881263488811529,1.68183894680254,206.327053
t peak HRR (s),993,9,2.45637841058881,0.483904890989712,-143.99098377448,0.044873250000002,5.07615950226267,-0.000291390891857736,-0.00931159361990427,0.0150099822760848,26.3303410313798,-0.269941120792693,23.7256622425615,23.9361213055813,-0.00646134341265849,-0.730921200526978,0.0302159745829664,3.41809667228127,-1.30756563380557E-05,-0.000417841468404388,0.00138930101569223,0.00977208248593396,1.66777580845386,206.308535
