General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.96010472,101.918501,0.00241827,0.04537443,0.998991,0.99865,-2.326172,-0.004,100.8816,0,271.806,325.385,329.704,1066.443,0,0
Standard used,ISO 5660-1,1,20.95551658,106.17962,0.00206002,0.04722586,0.99921,0.999733,-2.326172,-0.0011,100.8799,0,271.799,325.372,329.629,1066.431,0,0
Date of test,01/06/2018,2,20.95092845,110.440739,0.00170177,0.04907729,0.99943,1.000815,-2.326172,0.0017,100.8783,0,271.792,325.359,329.555,1066.419,0,0
Time of test,11:47,3,20.94525144,108.696954,0.00158561,0.0472232,1.000768,1.002092,-2.326172,0.0017,100.8782,0,271.798,325.319,329.536,1066.363,0,0
Heat flux (kW/m²),50,4,20.94788595,108.693417,0.00171316,0.04632019,1.002825,1.003293,-2.326172,0.0018,100.8782,0,271.81,325.321,329.557,1068.749,0,0
Nominal duct flow rate (l/s),24,5,20.94982888,108.20619,0.00201702,0.04785914,1.002511,1.003855,-2.326172,0.0012,100.8792,0,271.791,325.377,329.646,1067.047,0,0
Sampling interval (s),1,6,20.94735362,113.015381,0.00183251,0.04897161,1.002633,1.004043,-2.326172,0.0011,100.8805,0,271.797,325.453,329.701,1066.344,0,0
Separation (mm),25,7,20.94305968,111.362575,0.00162133,0.04685861,1.003996,1.003915,-2.326172,-0.0015,100.8809,0,271.786,325.453,329.65,1066.351,0,0
Orientation,Horizontal,8,20.94603358,109.339843,0.00163701,0.0459777,1.002693,1.003428,-2.326172,0.0011,100.8791,0,271.811,325.473,329.725,1066.375,0,0
Edge frame?,Yes,9,20.95131303,106.759948,0.00192049,0.04738927,1.001957,1.002429,-2.326172,0.0028,100.8757,0,271.825,325.527,329.787,1066.405,0,0
