General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95601716,108.96532,0.00211194,0.05340047,1.001855,1.002052,-0.740606,-0.0045,101.3392,0,270.031,329.415,333.302,1140.047,0,0
Standard used,ISO 5660-1,1,20.95550743,108.24423,0.0020724,0.04990698,1.002369,1.002209,-0.740606,-0.0023,101.3382,0,270.011,329.314,333.179,1140.242,0,0
Date of test,05/03/2019,2,20.9549977,107.52314,0.00203285,0.0464135,1.002883,1.002367,-0.740606,-0.0001,101.3372,0,269.991,329.213,333.056,1140.437,0,0
Time of test,11:55,3,20.95267059,104.929231,0.00191361,0.04524842,1.004152,1.002536,-0.740606,0.0006,101.337,0,269.982,329.149,333.006,1140.467,0,0
Heat flux (kW/m²),50,4,20.95031367,108.480763,0.00178345,0.0453796,1.003865,1.002596,-0.740606,0.0005,101.3362,0,269.978,329.144,333.02,1140.527,0,0
Nominal duct flow rate (l/s),24,5,20.9534032,107.947863,0.0017671,0.04698333,1.003692,1.002692,-0.740606,0.0008,101.3344,0,269.995,329.193,333.077,1140.563,0,0
Sampling interval (s),1,6,20.95682628,106.968613,0.00188862,0.0489003,1.004376,1.002773,-0.740606,0.0012,101.3363,0,270.002,329.231,333.139,1140.532,0,0
Separation (mm),60,7,20.95813172,103.112984,0.00192969,0.04810351,1.003,1.002844,-0.740606,0.0007,101.3362,0,270.006,329.253,333.17,1140.476,0,0
Orientation,Horizontal,8,20.95680292,101.652764,0.00165037,0.04654539,1.00356,1.002983,-0.740606,0.0007,101.3365,0,269.976,329.287,333.187,1140.362,0,0
Edge frame?,Yes,9,20.95237443,107.046426,0.00136274,0.04525598,1.003808,1.003051,-0.740606,0.0001,101.3346,0,269.99,329.265,333.101,1140.27,0,0
Grid?,No,10,20.95073378,108.772595,0.0011729,0.04539836,1.00355,1.003139,-0.740606,0.0001,101.3371,0,270.005,329.166,332.962,1140.209,0,0
Non-scrubbed?,Yes,11,20.95416766,107.180894,0.00118862,0.04713852,1.003421,1.003351,-0.740606,0.001,101.3359,0,270.007,329.105,332.9,1140.156,0,0
Substrate used? {Y/N},No,12,20.95696592,108.598239,0.00137958,0.04891448,1.005752,1.00355,-0.740606,-0.001,101.3358,0,270.002,329.058,332.835,1140.102,0,0
Substrate,none,13,20.95647666,108.116276,0.00147809,0.04755907,1.004385,1.003691,-0.740606,0,101.3378,0,269.995,329.008,332.775,1140.092,0,0
Additional specimen preparation details,,14,20.95437896,105.817616,0.00132477,0.04589498,1.003365,1.003798,-0.740606,0.0004,101.337,0,270.004,328.978,332.772,1138.301,0,0
,,15,20.94974863,105.057187,0.00122752,0.04511528,1.005007,1.003954,-0.740606,-0.0021,101.3369,0,269.981,328.981,332.752,1137.983,0,0
Specimen,,16,20.94765021,106.90436,0.00120438,0.04571812,1.005247,1.00407,-0.740606,-0.0014,101.3375,0,270.008,329.004,332.79,1138.041,0,0
Sample description,After WT 3 mon_C13,17,20.95097134,107.059851,0.00138361,0.04762952,1.004304,1.004216,-0.740606,-0.002,101.3374,0,270.006,329.06,332.879,1139.678,0,0
Material name/ID,,18,20.95366236,106.465474,0.00173848,0.04872365,1.005312,1.004306,-0.740606,-0.0003,101.3376,0,270.001,329.088,332.936,1140.158,0,0
Specimen number,,19,20.95400614,104.957775,0.00185886,0.04722094,1.004579,1.004412,-0.740606,-0.0001,101.3358,0,270.002,329.109,332.946,1140.147,0,0
E (MJ/kg),13.1,20,20.95150208,108.62508,0.00173515,0.04561052,1.003879,1.004424,-0.740606,-0.0002,101.3353,0,269.99,329.082,332.851,1140.173,0,0
Initial mass (g),47.232,21,20.9464728,110.149647,0.00161228,0.04513215,1.004962,1.004568,-0.740606,-0.0014,101.3361,0,269.989,329.003,332.741,1142.897,0,0
Thickness (mm),12.5,22,20.94594351,107.973593,0.00150318,0.0463701,1.005041,1.004574,-0.740606,0.0006,101.3368,0,270.011,328.932,332.67,1140.841,0,0
Surface area (cm²),88.4,23,20.94962053,107.426475,0.00154022,0.04891376,1.00524,1.004734,-0.740606,-0.0001,101.337,0,269.983,328.915,332.682,1140.103,0,0
Sponsor,,24,20.95193386,106.835245,0.00163035,0.04996579,1.006839,1.004791,-0.740606,-0.0028,101.337,0,269.992,328.894,332.676,1140.149,0,0
Manufacturer,,25,20.95178321,108.303752,0.00152899,0.04850898,1.006636,1.00493,-0.740606,0.0009,101.3375,0,269.995,328.897,332.675,1140.148,0,0
Test start time (s),74,26,20.94718757,108.253537,0.00127029,0.04693557,1.00528,1.004977,-0.740606,0.0009,101.3376,0,270.017,328.906,332.644,1140.176,0,0
Time to ignition (s),28,27,20.94272365,107.853137,0.00119315,0.04674563,1.004305,1.005014,-0.740606,-0.0002,101.3371,0,270.007,328.873,332.575,1140.178,0,0
Time to flameout (s),856,28,20.94409541,109.153677,0.00125114,0.04820198,1.004501,1.005068,-0.740606,-0.0006,101.3354,0,270.011,328.826,332.544,1140.144,0,0
End of test criterion,ISO 5660-1:2002,29,20.94659001,107.270015,0.00146433,0.05042074,1.004659,1.00525,-0.740606,0.0009,101.3355,0,270.019,328.821,332.553,1140.096,0,0
User EOT time (s),,30,20.9482164,104.320981,0.0017353,0.05019719,1.004997,1.005386,-0.740606,0.0008,101.3351,0,270.004,328.809,332.565,1142.802,0,0
MLR EOT mass (g/m²),150,31,20.94765163,103.987531,0.00171272,0.04818081,1.005931,1.005534,-0.740606,0.0017,101.3353,0,270.002,328.799,332.589,1140.739,0,0
MLR EOT time period (s),60,32,20.94584039,104.343128,0.00159103,0.04686594,1.006383,1.005635,-0.740606,0.0012,101.3335,0,270.001,328.842,332.629,1140.009,0,0
Truncate graphs at EOT?,No,33,20.94268757,103.725982,0.00151361,0.04632156,1.006348,1.005789,-0.740606,0.0011,101.3348,0,270.016,328.901,332.721,1140.045,0,0
Smooth data?,No,34,20.94647688,106.297232,0.00158864,0.04738863,1.006,1.00587,-0.740606,-0.0004,101.3358,0,270.014,328.952,332.805,1140.075,0,0
Correct O2 for pressure?,No,35,20.95066839,106.222267,0.0017775,0.04965164,1.005305,1.006007,-0.740606,-0.0026,101.3362,0,270.008,329.005,332.862,1140.09,0,0
,,36,20.95223998,107.123142,0.0019217,0.04916107,1.005179,1.006142,-0.740606,-0.0031,101.3316,0,270.025,329.039,332.903,1140.124,0,0
Specifications: apparatus,,37,20.95106599,105.855926,0.00178691,0.04718208,1.005714,1.006327,-0.740606,-0.0028,101.3327,0,270.03,329.02,332.913,1140.15,0,0
C-factor (SI units),0.045125,38,20.94845546,107.992859,0.00165417,0.04596301,1.005412,1.006664,-0.740606,-0.001,101.3336,0,270.017,329.026,332.914,1140.165,0,0
