General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95491785,93.847408,0.00222258,0.0499766,1.005595,1.003301,-0.740606,-0.0001,100.5572,0,269.36,313.35,315.202,889.084,0,0
Standard used,ISO 5660-1,1,20.95145307,102.940412,0.00192131,0.04726463,1.004558,1.003315,-0.740606,0,100.5566,0,269.367,313.385,315.215,889.084,0,0
Date of test,28/11/2018,2,20.94798829,112.033417,0.00162004,0.04455267,1.003521,1.003329,-0.740606,0.0001,100.5559,0,269.374,313.421,315.228,889.084,0,0
Time of test,15:07,3,20.94366416,113.385741,0.00145456,0.04393299,1.002799,1.003422,-0.740606,-0.0002,100.5563,0,269.364,313.44,315.225,891.723,0,0
Heat flux (kW/m²),25,4,20.94659188,111.642838,0.0013828,0.04473854,1.003309,1.003682,-0.740606,0.0001,100.5562,0,269.372,313.414,315.216,889.665,0,0
Nominal duct flow rate (l/s),24,5,20.95092203,111.316152,0.00148119,0.04713558,1.003831,1.003959,-0.740606,0.0003,100.5548,0,269.375,313.405,315.201,889.096,0,0
Sampling interval (s),5,6,20.95307491,112.55849,0.0015733,0.04727907,1.003326,1.004001,-0.740606,0.0008,100.5537,0,269.375,313.397,315.196,889.082,0,0
Separation (mm),25,7,20.9525994,113.602184,0.00141012,0.04579563,1.003481,1.004066,-0.740606,0.0003,100.5545,0,269.372,313.393,315.179,889.088,0,0
Orientation,Vertical,8,20.94943379,117.321257,0.00111869,0.04436205,1.003564,1.004105,-0.740606,0.0003,100.5545,0,269.374,313.379,315.175,889.045,0,0
Edge frame?,Yes,9,20.94714037,111.965357,0.00098693,0.04391665,1.004202,1.004234,-0.740606,0,100.5537,0,269.369,313.378,315.134,893.428,0,0
Grid?,No,10,20.94978544,109.610885,0.0009912,0.04552611,1.00405,1.004398,-0.740606,0.0001,100.5535,0,269.36,313.368,315.124,894.518,0,0
Non-scrubbed?,Yes,11,20.95205115,111.482149,0.00117396,0.04745574,1.00439,1.00443,-0.740606,-0.0001,100.5537,0,269.353,313.377,315.137,894.513,0,0
Substrate used? {Y/N},No,12,20.95324145,111.538338,0.00148668,0.04772974,1.004158,1.004554,-0.740606,0,100.5543,0,269.359,313.384,315.125,890.226,0,0
Substrate,none,13,20.95222843,113.556351,0.00145694,0.04530913,1.004739,1.004639,-0.740606,0,100.5547,0,269.385,313.362,315.103,889.118,0,0
Additional specimen preparation details,,14,20.94831005,112.720091,0.00137407,0.04406701,1.00548,1.004741,-0.740606,0.0002,100.5551,0,269.367,313.359,315.078,889.102,0,0
,,15,20.94557664,112.548722,0.00133448,0.04415308,1.003969,1.004664,-0.740606,0.0002,100.5559,0,269.377,313.35,315.103,889.126,0,0
