General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94650496,108.30494,0.00185408,0.04801468,0.999991,1,46.929017,-0.0008,102.1352,0,272.341,333.673,338.536,1136.378,0,0
Standard used,ISO 5660-1,1,20.95005533,108.628776,0.00204886,0.04727074,0.999995,1,46.929017,-0.0009,102.1336,0,272.381,333.692,338.555,1136.403,0,0
Date of test,26/06/2018,2,20.95360569,108.952613,0.00224363,0.0465268,0.999999,1,46.929017,-0.0009,102.132,0,272.42,333.71,338.573,1136.429,0,0
Time of test,14:56,3,20.95250854,107.406462,0.00207545,0.04465601,0.999995,1,46.929017,-0.001,102.1324,0,272.426,333.709,338.582,1136.436,0,0
Heat flux (kW/m²),50,4,20.94852876,107.323045,0.00179957,0.04354524,0.999995,1,46.929017,-0.0014,102.1339,0,272.409,333.735,338.665,1136.414,0,0
Nominal duct flow rate (l/s),24,5,20.94687089,108.37595,0.00168613,0.0438652,0.999997,1,46.929017,-0.0003,102.1361,0,272.415,333.781,338.725,1136.406,0,0
Sampling interval (s),1,6,20.95040425,107.740889,0.00177155,0.04625891,0.999997,1,46.929017,-0.0024,102.1347,0,272.434,333.825,338.766,1136.525,0,0
Separation (mm),60,7,20.95332346,109.140619,0.00202988,0.04739173,0.999998,1,46.929017,-0.0033,102.1337,0,272.428,333.804,338.76,1136.642,0,0
Orientation,Horizontal,8,20.95286165,109.426082,0.00222329,0.04592824,0.999998,1,46.929017,-0.0008,102.1365,0,272.422,333.816,338.74,1136.572,0,0
Edge frame?,Yes,9,20.95006057,111.386879,0.00204447,0.04406068,1,1,46.929017,0.0028,102.1364,0,272.419,333.779,338.702,1136.478,0,0
Grid?,No,10,20.94546574,109.563197,0.0018939,0.04344038,0.999997,1,46.929017,0.0009,102.1349,0,272.434,333.747,338.669,1136.496,0,0
Non-scrubbed?,Yes,11,20.94553534,106.379736,0.00179062,0.04395328,0.999996,1,46.929017,-0.0027,102.1343,0,272.43,333.763,338.692,1136.521,0,0
Substrate used? {Y/N},No,12,20.9507267,103.091885,0.0018432,0.04669817,0.999996,1,46.929017,-0.0028,102.134,0,272.426,333.766,338.769,1136.374,0,0
Substrate,none,13,20.95375984,107.241069,0.00197606,0.04741129,0.999996,1,46.929017,-0.0031,102.135,0,272.446,333.81,338.831,1136.287,0,0
