General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95374755,110.481469,0.00175799,0.04805443,0.997557,0.998184,-1.020705,-0.0001,103.0148,0,268.998,323.327,327.314,1136.563,0,0
Standard used,ISO 5660-1,1,20.95201109,110.371156,0.00161979,0.04668186,0.99753,0.998103,-1.020705,-0.0001,103.0152,0,268.987,323.382,327.379,1136.613,0,0
Date of test,19/02/2019,2,20.95027464,110.260843,0.00148159,0.0453093,0.997503,0.998021,-1.020705,-0.0001,103.0155,0,268.977,323.438,327.445,1136.662,0,0
Time of test,10:49,3,20.94853819,110.150529,0.00134339,0.04393673,0.997476,0.997939,-1.020705,-0.0001,103.0159,0,268.966,323.493,327.51,1136.712,0,0
Heat flux (kW/m²),50,4,20.94680173,110.040216,0.00120519,0.04256416,0.997449,0.997858,-1.020705,-0.0001,103.0162,0,268.955,323.548,327.576,1136.762,0,0
Nominal duct flow rate (l/s),24,5,20.94767741,110.581015,0.00113035,0.04301593,0.997986,0.997779,-1.020705,-0.0001,103.0145,0,268.968,323.537,327.585,1136.79,0,0
Sampling interval (s),1,6,20.95114237,109.787764,0.00107268,0.0445301,0.997175,0.997689,-1.020705,-0.0002,103.0173,0,268.948,323.556,327.604,1136.75,0,0
Separation (mm),60,7,20.95390901,105.605258,0.00118705,0.04554371,0.998763,0.997659,-1.020705,-0.0003,103.0154,0,268.96,323.574,327.636,1136.76,0,0
Orientation,Horizontal,8,20.95430017,108.924518,0.00115927,0.04415888,0.997379,0.997555,-1.020705,-0.0003,103.0146,0,268.957,323.568,327.656,1136.766,0,0
Edge frame?,Yes,9,20.95188243,105.411071,0.00082835,0.04222058,0.99837,0.997493,-1.020705,0.0001,103.0149,0,268.955,323.588,327.685,1136.71,0,0
Grid?,No,10,20.94733652,108.199413,0.00061038,0.04164297,0.996657,0.99754,-1.020705,0,103.0155,0,268.963,323.592,327.701,1136.666,0,0
Non-scrubbed?,Yes,11,20.9494837,108.252432,0.00050854,0.04256398,0.997007,0.997499,-1.020705,-0.0002,103.0161,0,268.973,323.606,327.692,1136.643,0,0
Substrate used? {Y/N},No,12,20.95375732,107.945043,0.00063641,0.04461656,0.996259,0.997472,-1.020705,0,103.0157,0,268.959,323.604,327.669,1136.645,0,0
Substrate,none,13,20.95475418,107.397187,0.00094228,0.04603417,0.997987,0.997548,-1.020705,0.0001,103.0164,0,268.942,323.608,327.733,1136.514,0,0
