General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.955187,111.844208,0.00139561,0.05182785,1.003255,1.001518,-1.587208,0.0004,101.0523,0,269.452,309.217,310.25,838.593,0,0
Standard used,ISO 5660-1,1,20.95593978,113.338335,0.00161138,0.04953834,1.002264,1.001577,-1.587208,0.0001,101.0534,0,269.452,309.214,310.253,838.656,0,0
Date of test,30/01/2019,2,20.95669257,114.832461,0.00182715,0.04724883,1.001274,1.001635,-1.587208,-0.0001,101.0544,0,269.452,309.211,310.256,838.719,0,0
Time of test,15:06,3,20.95394758,115.712995,0.00170676,0.04528151,1.002075,1.001769,-1.587208,0,101.0522,0,269.447,309.204,310.226,838.758,0,0
Heat flux (kW/m²),20,4,20.94984459,114.689246,0.00158726,0.04483672,1.001616,1.001835,-1.587208,0.0001,101.0519,0,269.462,309.198,310.228,838.79,0,0
Nominal duct flow rate (l/s),24,5,20.95175862,114.642263,0.00153214,0.04635748,1.001171,1.001877,-1.587208,0.0002,101.0511,0,269.463,309.178,310.218,838.833,0,0
Sampling interval (s),1,6,20.95389493,116.070604,0.00160564,0.04852817,1.001867,1.001885,-1.587208,0,101.0533,0,269.47,309.172,310.197,838.86,0,0
Separation (mm),25,7,20.95539359,114.834558,0.00170497,0.04870784,1.001868,1.001931,-1.587208,0,101.0534,0,269.459,309.179,310.2,838.859,0,0
Orientation,Vertical,8,20.9546645,116.186261,0.00160819,0.0465103,1.00214,1.001908,-1.587208,0.0001,101.0527,0,269.464,309.158,310.187,838.87,0,0
Edge frame?,Yes,9,20.95100551,119.21892,0.00132655,0.04498374,1.000843,1.002059,-1.587208,0.0002,101.0529,0,269.458,309.128,310.09,838.808,0,0
Grid?,No,10,20.94878719,119.403942,0.0011844,0.04499798,1.0027,1.001914,-1.587208,0,101.0521,0,269.472,309.056,310.008,838.705,0,0
Non-scrubbed?,Yes,11,20.95225492,117.533342,0.00115862,0.04620528,1.001812,1.001894,-1.587208,0,101.0535,0,269.473,309.011,309.987,838.617,0,0
Substrate used? {Y/N},No,12,20.9559393,116.505421,0.00134877,0.0489954,1.001788,1.001957,-1.587208,-0.0001,101.0544,0,269.478,308.997,309.94,838.561,0,0
Substrate,none,13,20.95742553,110.637557,0.0015626,0.0486821,1.001746,1.001936,-1.587208,-0.0001,101.0546,0,269.455,309.003,309.951,838.565,0,0
Additional specimen preparation details,,14,20.95630742,116.900233,0.00146494,0.04678135,1.002324,1.001827,-1.587208,0,101.054,0,269.465,309.007,309.969,838.614,0,0
,,15,20.94965529,114.510247,0.00130175,0.04565192,1.002375,1.001801,-1.587208,0,101.0571,0,269.461,309.023,309.938,838.626,0,0
Specimen,,16,20.94460226,116.408066,0.00124926,0.04582666,1.002324,1.001903,-1.587208,0,101.0526,0,269.469,308.996,309.925,838.599,0,0
Sample description,Smoldering Ipe No2 20 kWm2,17,20.94606026,118.34311,0.00130397,0.04738113,1.002125,1.001939,-1.587208,-0.0003,101.0537,0,269.464,308.996,309.908,838.603,0,0
Material name/ID,Smoldering Ipe No2 20 kWm2,18,20.94869632,116.804064,0.00158819,0.04944273,1.001885,1.001942,-1.587208,-0.0002,101.0556,0,269.449,308.959,309.884,838.592,0,0
Specimen number,,19,20.94886284,115.071107,0.00180364,0.04830113,1.002095,1.001862,-1.587208,-0.0001,101.0551,0,269.459,308.969,309.903,838.609,0,0
E (MJ/kg),13.1,20,20.94639118,116.290915,0.00175612,0.04592993,1.001607,1.001981,-1.587208,0.0001,101.0533,0,269.46,308.993,309.895,841.176,0,0
Initial mass (g),120.5,21,20.9415698,120.216407,0.00162463,0.04481176,1.001456,1.001966,-1.587208,-0.0001,101.0537,0,269.473,308.985,309.921,839.274,0,0
Thickness (mm),12.5,22,20.93893076,115.89702,0.00156472,0.04513737,1.001583,1.002092,-1.587208,0,101.055,0,269.465,308.99,309.927,838.749,0,0
Surface area (cm²),88.4,23,20.94202911,118.83734,0.00163017,0.04714863,1.001231,1.002034,-1.587208,0.0002,101.0565,0,269.468,308.992,309.929,838.771,0,0
Sponsor,,24,20.94499766,115.71636,0.00180681,0.0487616,1.001786,1.002012,-1.587208,0.0002,101.055,0,269.477,309.007,309.938,838.804,0,0
Manufacturer,,25,20.94559976,113.604468,0.00189578,0.0472183,1.001957,1.001865,-1.587208,-0.0001,101.0551,0,269.46,308.993,309.95,838.813,0,0
Test start time (s),118,26,20.94338912,112.439738,0.00173826,0.04573304,1.001959,1.001931,-1.587208,-0.0002,101.0539,0,269.472,308.963,309.88,838.782,0,0
Time to ignition (s),,27,20.93723349,113.838688,0.00153688,0.04483294,1.001996,1.001842,-1.587208,0.0002,101.0528,0,269.457,308.897,309.803,838.737,0,0
Time to flameout (s),,28,20.93714085,111.897735,0.00151081,0.04546276,1.001507,1.001769,-1.587208,0,101.0513,0,269.452,308.904,309.789,838.711,0,0
End of test criterion,ISO 5660-1:2002,29,20.94088783,115.657917,0.00167097,0.04753682,1.002205,1.001839,-1.587208,0.0001,101.0491,0,269.471,308.87,309.817,841.227,0,0
User EOT time (s),,30,20.94391101,118.027331,0.00204034,0.04836243,1.001821,1.001857,-1.587208,0.0001,101.0484,0,269.462,308.913,309.848,839.27,0,0
MLR EOT mass (g/m²),150,31,20.94516123,117.343696,0.00215004,0.04660702,1.001922,1.001846,-1.587208,0.0002,101.0475,0,269.448,308.932,309.861,838.665,0,0
MLR EOT time period (s),60,32,20.94260924,116.157366,0.00210747,0.04568706,1.002636,1.001832,-1.587208,0.0002,101.0476,0,269.456,308.936,309.861,838.646,0,0
Truncate graphs at EOT?,No,33,20.9396371,111.22236,0.00192116,0.04489345,1.00162,1.001829,-1.587208,0.0001,101.0485,0,269.457,308.937,309.865,838.627,0,0
Smooth data?,No,34,20.94161468,116.026119,0.00184797,0.04621799,1.001632,1.00167,-1.587208,-0.0001,101.0489,0,269.442,308.904,309.83,838.618,0,0
Correct O2 for pressure?,No,35,20.94645819,118.147465,0.00191468,0.04806131,1.001018,1.001711,-1.587208,0,101.0524,0,269.461,308.911,309.819,838.602,0,0
,,36,20.94935841,114.092771,0.00207719,0.04851103,1.001396,1.001674,-1.587208,-0.0002,101.0511,0,269.471,308.905,309.8,838.574,0,0
Specifications: apparatus,,37,20.95060132,114.945555,0.00196149,0.04645069,1.001102,1.001683,-1.587208,0.0001,101.0514,0,269.464,308.895,309.777,838.561,0,0
C-factor (SI units),0.044376,38,20.94860584,114.08768,0.00169692,0.04493478,1.001014,1.001563,-1.587208,0,101.0527,0,269.468,308.874,309.775,838.546,0,0
OD correction factor,0.97963,39,20.94567302,119.986311,0.00151804,0.04477551,1.002219,1.001647,-1.587208,0,101.0524,0,269.461,308.859,309.724,838.584,0,0
Duct diameter (m),0.114,40,20.94674009,117.049787,0.00150368,0.04608834,1.00223,1.001548,-1.587208,-0.0001,101.0528,0,269.443,308.821,309.707,838.608,0,0
O2 delay time (s),0,41,20.9491319,114.976515,0.00174155,0.04849814,1.001986,1.00145,-1.587208,-0.0002,101.0529,0,269.453,308.828,309.713,838.656,0,0
CO2 delay time (s),0,42,20.94979316,116.675006,0.00202329,0.04733938,1.001077,1.001468,-1.587208,0.0001,101.0519,0,269.45,308.824,309.738,838.723,0,0
CO delay time (s),0,43,20.94867409,118.787696,0.00206824,0.04545461,1.000879,1.001624,-1.587208,0.0001,101.0503,0,269.455,308.824,309.731,838.757,0,0
,,44,20.94323289,115.936988,0.00192287,0.04417871,1.000677,1.001547,-1.587208,0,101.0502,0,269.469,308.828,309.7,838.829,0,0
Laboratory,,45,20.9399576,113.154862,0.00181407,0.04398407,1.001086,1.001428,-1.587208,-0.0001,101.0514,0,269.478,308.816,309.701,838.934,0,0
Laboratory name,FTT Cone - NIST,46,20.94431989,114.783656,0.00182937,0.0458182,1.001728,1.001543,-1.587208,0,101.0521,0,269.457,308.794,309.693,839.004,0,0
Operator,Shields,47,20.94830423,116.177158,0.00201551,0.04837792,1.00217,1.001621,-1.587208,0,101.0528,0,269.452,308.809,309.71,839.06,0,0
Filename,C:\CC5\DATA\19010007.CSV,48,20.94961855,116.07467,0.00213603,0.04760098,1.001795,1.00154,-1.587208,-0.0001,101.0543,0,269.466,308.818,309.713,839.1,0,0
Report name,,49,20.94837998,112.83072,0.00191272,0.04513085,1.001167,1.001519,-1.587208,0.0001,101.0548,0,269.44,308.808,309.694,837.397,0,0
,,50,20.94400145,115.85252,0.00162969,0.04405607,1.0009,1.001565,-1.587208,0,101.0541,0,269.462,308.806,309.684,837.058,0,0
,,51,20.94221216,116.095135,0.00138205,0.04413883,1.000488,1.001472,-1.587208,-0.0004,101.0558,0,269.467,308.795,309.681,838.634,0,0
Pre-test conditions,,52,20.94567887,117.33316,0.00129288,0.04652319,1.000379,1.001347,-1.587208,-0.0001,101.0557,0,269.468,308.788,309.69,838.841,0,0
Ambient temperature (°C),20.3,53,20.94729834,115.750522,0.00138626,0.04794657,1.001936,1.001367,-1.587208,-0.0001,101.055,0,269.455,308.794,309.711,838.729,0,0
Barometric pressure (Pa),101058,54,20.94762352,117.221834,0.0014501,0.04675685,1.002355,1.001321,-1.587208,0,101.0538,0,269.452,308.791,309.7,838.64,0,0
Relative humidity (%),12.5,55,20.9473068,116.876516,0.0012805,0.04489629,1.00118,1.001308,-1.587208,0,101.052,0,269.476,308.798,309.704,838.593,0,0
,,56,20.94304743,108.99796,0.00114736,0.04398844,1.001187,1.001194,-1.587208,-0.0001,101.0511,0,269.463,308.805,309.691,838.571,0,0
,,57,20.94261389,116.213332,0.00116314,0.04465588,1.000771,1.00103,-1.587208,0,101.052,0,269.445,308.767,309.658,838.553,0,0
Conditioning,,58,20.94546322,114.374145,0.00133057,0.0470261,1.00073,1.001009,-1.587208,0.0001,101.056,0,269.461,308.763,309.641,838.555,0,0
Conditioned? {Y/N},No,59,20.94872694,114.687869,0.00154367,0.04867912,0.999689,1.000943,-1.587208,0.0001,101.0547,0,269.452,308.777,309.652,838.593,0,0
Conditioning temperature (°C),N/A,60,20.94942224,114.742047,0.00170338,0.04703268,1.000896,1.000767,-1.587208,0,101.0529,0,269.449,308.77,309.644,838.635,0,0
Conditioning RH (%),N/A,61,20.94698522,115.91748,0.00153638,0.04529306,1.000576,1.000696,-1.587208,0.0002,101.051,0,269.465,308.742,309.619,838.644,0,0
,,62,20.94247464,117.424174,0.00142575,0.0448429,1.000274,1.000552,-1.587208,0.0001,101.0514,0,269.461,308.687,309.559,838.716,0,0
Data collected,,63,20.9463125,114.999778,0.0014139,0.04577953,1.000491,1.000497,-1.587208,0.0003,101.0521,0,269.467,308.667,309.534,838.777,0,0
CO/CO2 data collected?,Yes,64,20.94776823,112.321083,0.00156806,0.04812272,1.001354,1.000434,-1.587208,0.0002,101.0544,0,269.463,308.696,309.553,838.839,0,0
Mass data collected?,Yes,65,20.94924924,115.444442,0.00175382,0.04854528,1.00056,1.000277,-1.587208,0,101.0539,0,269.462,308.706,309.597,838.888,0,0
Smoke data collected?,Yes,66,20.94939799,115.835264,0.00170358,0.04645052,0.999887,1.000078,-1.587208,0.0002,101.0557,0,269.446,308.73,309.627,838.892,0,0
Soot mass data collected?,No,67,20.94780065,114.745032,0.00149893,0.0453178,0.999656,0.99996,-1.587208,0.0002,101.0546,0,269.443,308.744,309.626,838.169,0,0
Soot mass ratio (1:x),N/A,68,20.94395496,114.196921,0.00142411,0.04475857,1.00022,0.999929,-1.587208,0.0001,101.055,0,269.473,308.751,309.622,835.373,0,0
Soot mass (g),N/A,69,20.94684746,113.880509,0.00142203,0.04598373,1.000334,0.999789,-1.587208,-0.0002,101.0526,0,269.473,308.756,309.654,835.128,0,0
,,70,20.95128399,115.610592,0.0016428,0.0484377,0.999621,0.999631,-1.587208,-0.0002,101.0535,0,269.463,308.775,309.687,838.132,0,0
Comments,,71,20.95370851,118.190005,0.00187625,0.04792492,0.999279,0.999523,-1.587208,0,101.0526,0,269.463,308.8,309.698,838.831,0,0
Pre-test comments,,72,20.95442274,115.418995,0.00185777,0.04612717,0.999259,0.999515,-1.587208,0.0003,101.0525,0,269.478,308.818,309.729,838.827,0,0
After-test comments,,73,20.95064001,118.694919,0.00167845,0.0448883,0.999157,0.999337,-1.587208,0.0001,101.0515,0,269.467,308.808,309.754,838.846,0,0
,,74,20.94603211,115.745823,0.00151671,0.04487741,0.998805,0.999247,-1.587208,0.0001,101.0518,0,269.447,308.848,309.779,838.838,0,0
,,75,20.94838102,114.570696,0.00152183,0.04666023,0.998775,0.99927,-1.587208,-0.0001,101.0514,0,269.467,308.858,309.791,838.855,0,0
,,76,20.95038772,114.653607,0.00163104,0.04853256,0.999259,0.999119,-1.587208,-0.0001,101.0505,0,269.473,308.845,309.783,841.394,0,0
,,77,20.9515356,118.168495,0.0018094,0.04778741,0.99937,0.999047,-1.587208,-0.0001,101.0479,0,269.478,308.86,309.796,839.463,0,0
,,78,20.95188327,112.729379,0.00170011,0.0453227,0.999698,0.998959,-1.587208,0.0002,101.0484,0,269.463,308.864,309.805,838.917,0,0
,,79,20.94818623,115.34196,0.00143248,0.04403649,0.999908,0.998963,-1.587208,0,101.0479,0,269.448,308.872,309.793,838.926,0,0
,,80,20.94581747,114.991147,0.00127839,0.04424712,0.997754,0.998842,-1.587208,0,101.0442,0,269.464,308.841,309.766,838.931,0,0
,,81,20.94916575,112.609719,0.00128873,0.04581291,0.998693,0.998666,-1.587208,0,101.0453,0,269.449,308.821,309.768,838.937,0,0
,,82,20.9537429,114.948142,0.0014537,0.04784359,0.9985,0.99863,-1.587208,0.0002,101.0436,0,269.453,308.847,309.781,838.992,0,0
,,83,20.95476431,117.322303,0.00169055,0.04643335,0.998139,0.998642,-1.587208,0.0003,101.0402,0,269.461,308.86,309.789,838.982,0,0
,,84,20.95222109,115.859432,0.00162784,0.04543131,0.997739,0.998633,-1.587208,-0.0002,101.0405,0,269.46,308.838,309.78,838.972,0,0
Events,,85,20.94745332,116.993228,0.00146817,0.04479768,0.998564,0.998562,-1.587208,0,101.0402,0,269.436,308.853,309.841,838.961,0,0
Number of events,3,86,20.94474903,115.242413,0.00145103,0.04517043,0.998387,0.998443,-1.587208,0,101.0396,0,269.443,308.889,309.85,839.002,0,0
1305,0,87,20.94794736,112.014071,0.00149577,0.04652264,0.998183,0.998419,-1.587208,-0.0002,101.0389,0,269.452,308.9,309.875,839.017,0,0
1498,0,88,20.9524254,115.989434,0.00169765,0.04854366,0.998608,0.99835,-1.587208,-0.0001,101.0401,0,269.451,308.919,309.9,839.053,0,0
1507,0,89,20.95344194,115.835134,0.00171123,0.04686114,0.998943,0.998369,-1.587208,-0.0002,101.0437,0,269.449,308.888,309.856,839.046,0,0
,,90,20.95134521,115.43232,0.00150855,0.04538152,0.997653,0.998285,-1.587208,0.0001,101.043,0,269.465,308.875,309.834,839.034,0,0
,,91,20.94676146,115.603997,0.00133212,0.04478528,0.998109,0.998298,-1.587208,0,101.0475,0,269.458,308.823,309.792,839.028,0,0
,,92,20.94550325,115.515254,0.00132645,0.04559173,0.998786,0.998272,-1.587208,-0.0002,101.0489,0,269.447,308.827,309.8,839.022,0,0
,,93,20.94716704,117.323177,0.00146645,0.04751335,0.998328,0.99823,-1.587208,0.0001,101.0516,0,269.439,308.821,309.795,838.966,0,0
