General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95968116,105.610861,0.0025761,0.05091617,1.000393,0.999523,63.529811,-0.0035,99.9431,0,269.463,326.506,330.431,1139.788,0,0
Standard used,ISO 5660-1,1,20.95691244,106.436546,0.00235427,0.04766263,0.999221,0.999675,63.529811,-0.0014,99.9444,0,269.476,326.433,330.383,1139.713,0,0
Date of test,27/11/2018,2,20.95414373,107.262232,0.00213244,0.04440909,0.998049,0.999826,63.529811,0.0007,99.9457,0,269.489,326.36,330.335,1139.638,0,0
Time of test,11:55,3,20.95098485,105.260202,0.00194492,0.04332561,0.998622,0.999795,63.529811,0.0012,99.946,0,269.507,326.325,330.313,1142.216,0,0
Heat flux (kW/m²),50,4,20.95057601,105.287933,0.00173278,0.04398613,0.999208,0.999766,63.529811,-0.0004,99.946,0,269.507,326.339,330.329,1140.127,0,0
Nominal duct flow rate (l/s),24,5,20.95412103,106.754737,0.00163717,0.04583165,0.998666,0.999741,63.529811,-0.0015,99.945,0,269.501,326.371,330.334,1139.194,0,0
Sampling interval (s),5,6,20.95702806,106.960916,0.00167668,0.04719023,0.998642,0.999682,63.529811,0,99.9434,0,269.512,326.345,330.281,1139.03,0,0
Separation (mm),60,7,20.95764202,109.276162,0.0015864,0.04577915,0.999382,0.999656,63.529811,-0.0008,99.9456,0,269.518,326.264,330.215,1138.914,0,0
Orientation,Horizontal,8,20.95545033,105.541589,0.00123677,0.04407291,1.000537,0.999749,63.529811,0.0004,99.9458,0,269.501,326.282,330.251,1138.787,0,0
Edge frame?,Yes,9,20.95092678,104.933864,0.00098172,0.04334555,0.999929,0.999886,63.529811,-0.0002,99.9436,0,269.509,326.384,330.39,1138.688,0,0
Grid?,No,10,20.94932606,102.789155,0.00090213,0.04437153,0.998369,0.999837,63.529811,0.0029,99.9454,0,269.502,326.484,330.461,1138.577,0,0
Non-scrubbed?,Yes,11,20.95269683,110.177822,0.0009302,0.04636154,1.000998,0.999785,63.529811,0.0008,99.9475,0,269.525,326.478,330.446,1138.42,0,0
Substrate used? {Y/N},No,12,20.95536818,107.964494,0.00123918,0.04721159,1.000531,0.999809,63.529811,0.0002,99.9464,0,269.524,326.531,330.549,1140.995,0,0
Substrate,none,13,20.95549526,103.505955,0.00128253,0.04558925,1.000906,0.999699,63.529811,0,99.945,0,269.524,326.63,330.629,1135.595,0,0
Additional specimen preparation details,,14,20.95273596,106.580801,0.00111942,0.04374764,1.000204,0.999623,63.529811,0.0014,99.9447,0,269.528,326.702,330.733,1133.485,0,0
,,15,20.94842492,104.20835,0.00099792,0.04344284,1.000251,0.999589,63.529811,-0.0003,99.9455,0,269.523,326.781,330.83,1133.454,0,0
Specimen,,16,20.94965493,104.364271,0.0009817,0.04435582,0.998395,0.999518,63.529811,0.0015,99.9446,0,269.514,326.806,330.841,1137.142,0,0
Sample description,Whirang C/G-8,17,20.95346442,107.526617,0.00116652,0.04667443,0.999299,0.999501,63.529811,0.0029,99.9438,0,269.51,326.798,330.794,1138.098,0,0
Material name/ID,Whirang C/G-8,18,20.95563888,108.565578,0.00143474,0.04673714,0.999855,0.999402,63.529811,0.0012,99.9463,0,269.519,326.709,330.701,1138.118,0,0
Specimen number,,19,20.95520238,105.722174,0.0013091,0.04487487,0.99896,0.99941,63.529811,0.0008,99.9449,0,269.517,326.672,330.668,1138.116,0,0
E (MJ/kg),13.1,20,20.9521565,103.967893,0.00111811,0.04356443,0.997947,0.999341,63.529811,0.0002,99.9425,0,269.508,326.673,330.65,1138.135,0,0
Initial mass (g),63.08,21,20.94828387,106.044926,0.00094334,0.04340976,0.99774,0.999268,63.529811,0.001,99.9439,0,269.516,326.629,330.623,1138.186,0,0
Thickness (mm),12.5,22,20.95048723,104.124923,0.0009407,0.04467689,0.998564,0.99921,63.529811,0.0028,99.9433,0,269.529,326.64,330.642,1138.222,0,0
Surface area (cm²),88.4,23,20.95407374,106.768548,0.00110647,0.0469951,0.99787,0.999209,63.529811,0.0026,99.9454,0,269.508,326.661,330.639,1138.235,0,0
Sponsor,,24,20.95576556,108.577993,0.00123809,0.04645777,1.000087,0.999114,63.529811,0.0013,99.9437,0,269.513,326.635,330.596,1138.247,0,0
Manufacturer,,25,20.95492844,105.425607,0.00111567,0.04470403,0.999596,0.999055,63.529811,-0.0006,99.9441,0,269.526,326.594,330.555,1138.233,0,0
Test start time (s),77,26,20.94982616,107.546327,0.00086743,0.04348211,0.997968,0.998959,63.529811,-0.0008,99.9457,0,269.523,326.56,330.515,1138.2,0,0
Time to ignition (s),10,27,20.94639535,110.024668,0.00075769,0.04339325,0.997724,0.998936,63.529811,-0.0004,99.9444,0,269.514,326.546,330.516,1138.2,0,0
Time to flameout (s),1012,28,20.94927109,104.055007,0.00080732,0.04561853,0.998961,0.998859,63.529811,0.0015,99.9453,0,269.502,326.58,330.539,1138.178,0,0
End of test criterion,ISO 5660-1:2002,29,20.9526807,105.807785,0.00101456,0.04732159,0.998936,0.99896,63.529811,-0.0008,99.9472,0,269.516,326.576,330.546,1138.179,0,0
User EOT time (s),,30,20.95532723,107.278682,0.00121298,0.04664678,0.99762,0.998786,63.529811,0.0002,99.9476,0,269.515,326.573,330.522,1138.23,0,0
MLR EOT mass (g/m²),150,31,20.95290906,105.659332,0.00113044,0.04445261,0.997753,0.998654,63.529811,0.0008,99.9471,0,269.531,326.553,330.478,1138.261,0,0
MLR EOT time period (s),60,32,20.94823,105.985195,0.00102928,0.04341679,0.999056,0.998654,63.529811,0.002,99.9462,0,269.526,326.487,330.405,1138.319,0,0
Truncate graphs at EOT?,No,33,20.94563005,106.891636,0.00098127,0.04392526,0.99918,0.998552,63.529811,0.0006,99.946,0,269.533,326.439,330.349,1138.334,0,0
Smooth data?,No,34,20.94816721,105.637021,0.00105606,0.0460809,0.998193,0.998305,63.529811,0.0027,99.9444,0,269.539,326.433,330.358,1138.367,0,0
Correct O2 for pressure?,No,35,20.95108697,107.586136,0.00126626,0.04735083,0.998,0.998378,63.529811,0.0004,99.9453,0,269.53,326.436,330.376,1138.366,0,0
