General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.95196192,149.867649,-7.993E-05,0.03832753,1.00007,1.000052,-0.431277,0.0002,69.9397,0,266.521,318.764,321.433,1063.878,0,0
Standard used,ASTM E 1354,1,20.95080776,144.892035,-0.00011573,0.04016305,1.000053,1.000049,-0.431277,0.0001,69.9437,0,266.521,318.634,321.389,1063.859,0,0
Date of test,25/06/2024,2,20.9496536,139.916421,-0.00015152,0.04199858,1.000036,1.000047,-0.431277,0,69.9477,0,266.521,318.504,321.344,1063.84,0,0
Time of test,11:01,3,20.95237329,135.707805,-5.287E-05,0.04403739,1.000033,1.000054,-0.431277,-0.0001,69.9341,0,266.527,318.538,321.391,1063.857,0,0
Heat flux (kW/m²),50,4,20.95430041,139.088432,0.00017771,0.0441703,1.000041,1.00005,-0.431277,-0.0001,69.9266,0,266.536,318.531,321.296,1063.878,0,0
Nominal duct flow rate (l/s),24,5,20.95353667,133.447053,0.00020169,0.04259697,1.000044,1.000049,-0.431277,0,69.9311,0,266.54,318.428,321.218,1063.879,0,0
Sampling interval (s),1,6,20.94990186,136.040026,-2.401E-05,0.04085084,1.00007,1.000085,-0.431277,0.0001,69.9345,0,266.561,318.452,321.279,1063.852,0,0
Separation (mm),25,7,20.94664516,130.589271,-0.00014797,0.04052727,1.000068,1.00008,-0.431277,0.0002,69.9361,0,266.537,318.546,321.399,1063.715,0,0
Orientation,Vertical,8,20.94952964,136.144526,-0.00012276,0.04176191,1.000066,1.000094,-0.431277,0.0002,69.9341,0,266.547,318.616,321.487,1062.73,0,0
Edge frame?,Yes,9,20.95294235,136.616967,-8.5E-06,0.04415905,1.000068,1.00008,-0.431277,-0.0002,69.9315,0,266.568,318.626,321.454,1062.418,0,0
Grid?,No,10,20.9543622,134.013236,0.00021129,0.0436167,1.000053,1.000068,-0.431277,0.0001,69.9321,0,266.563,318.664,321.541,1062.249,0,0
Non-scrubbed?,Yes,11,20.95312768,136.475492,0.00010068,0.04168321,1.000075,1.000074,-0.431277,0.0002,69.9412,0,266.567,318.761,321.63,1062.282,0,0
Substrate used? {Y/N},No,12,20.94897179,135.001001,-6.624E-05,0.04066759,1.000126,1.000114,-0.431277,0.0001,69.9364,0,266.562,318.808,321.639,1062.375,0,0
Substrate,none,13,20.94680669,133.45265,-0.00017038,0.04086404,1.000089,1.000089,-0.431277,0,69.9328,0,266.544,318.832,321.701,1062.503,0,0
Additional specimen preparation details,kaowool blankets. Retainer frame. al foil pan. material stored in drierite sealed container,14,20.95021376,133.606777,-0.00015349,0.04229609,1.000081,1.000087,-0.431277,0,69.9422,0,266.541,318.912,321.85,1062.636,0,0
