Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.003,616.2,0.71,0.041
10.0,-0.1,0.0,0.0,0.003,626.0,0.71,0.041
15.0,0.0,0.0,0.0,0.01,188.7,0.22,0.012
20.0,1.2,0.01,0.8,0.015,129.9,0.16,0.009
25.0,8.3,0.05,2.88,0.029,64.5,0.15,0.007
30.0,9.9,0.1,7.22,0.027,61.9,0.21,0.01
35.0,10.4,0.15,7.22,0.012,112.1,0.48,0.017
40.0,10.5,0.2,7.22,0.003,482.2,2.43,0.073
45.0,6.1,0.23,20.61,0.003,548.1,2.45,0.099
51.0,2.2,0.24,7.4,0.003,562.7,1.81,0.116
56.0,0.9,0.25,3.02,0.003,588.0,1.35,0.119
61.0,0.5,0.25,2.35,0.001,1005.4,1.8,0.196
66.0,0.5,0.25,2.35,0.003,552.7,0.87,0.104
71.0,0.7,0.26,4.29,0.002,1102.3,1.6,0.202
76.0,0.9,0.26,1.91,0.003,771.6,1.09,0.152
81.0,1.0,0.27,1.91,0.005,341.6,0.48,0.071
86.0,0.9,0.27,1.91,0.007,242.3,0.34,0.055
91.0,1.3,0.28,2.72,0.006,311.9,0.44,0.083
96.0,1.1,0.28,2.34,0.005,285.1,0.41,0.09
101.0,1.4,0.29,3.71,0.004,415.6,0.61,0.146
106.0,1.7,0.3,4.42,0.003,523.9,0.78,0.207
111.0,2.1,0.31,3.95,0.004,436.9,0.67,0.193
116.0,1.9,0.32,4.13,0.006,271.0,0.42,0.131
121.0,1.8,0.33,4.13,0.005,259.6,0.41,0.136
126.0,2.1,0.34,3.95,0.005,285.5,0.46,0.166
131.0,2.8,0.35,3.78,0.006,296.6,0.49,0.191
136.0,3.2,0.37,3.88,0.008,233.8,0.4,0.169
141.0,2.7,0.38,3.5,0.008,193.9,0.33,0.142
146.0,2.8,0.39,3.78,0.007,223.2,0.39,0.168
151.0,2.8,0.41,3.78,0.008,190.4,0.34,0.152
156.0,2.9,0.42,3.78,0.009,170.3,0.31,0.149
161.0,3.5,0.44,4.67,0.008,217.2,0.4,0.202
166.0,3.8,0.46,4.8,0.006,259.6,0.49,0.259
171.0,3.8,0.48,4.74,0.008,205.7,0.4,0.215
176.0,3.8,0.5,4.74,0.01,157.3,0.3,0.168
181.0,3.7,0.52,4.73,0.009,167.6,0.33,0.181
186.0,3.9,0.54,4.74,0.007,234.9,0.46,0.246
191.0,3.8,0.55,4.74,0.007,235.9,0.47,0.247
196.0,4.1,0.58,4.77,0.007,242.1,0.48,0.253
201.0,4.1,0.6,4.74,0.008,232.1,0.46,0.234
206.0,4.1,0.62,4.74,0.009,205.4,0.41,0.2
211.0,3.7,0.63,4.73,0.008,217.8,0.43,0.208
216.0,3.2,0.65,5.01,0.006,277.6,0.55,0.257
221.0,3.1,0.67,5.27,0.006,251.1,0.49,0.224
226.0,3.8,0.69,4.8,0.008,251.4,0.49,0.218
231.0,3.1,0.7,4.09,0.008,203.3,0.39,0.169
236.0,3.1,0.72,4.09,0.008,231.6,0.44,0.181
241.0,3.0,0.73,4.09,0.007,267.7,0.51,0.201
246.0,2.5,0.74,3.54,0.007,250.3,0.47,0.179
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
