Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.2,0.01,0.0,0.0,0.0,0.0,0.0
15.0,-0.2,0.01,0.0,0.0,0.0,0.0,0.0
20.0,-0.2,0.01,0.0,0.0,0.0,0.0,0.0
25.0,-0.7,0.01,0.0,0.0,0.0,0.0,0.0
30.0,2.5,0.02,1.78,0.067,446.5,0.43,0.016
35.0,35.9,0.2,10.5,0.113,255.3,0.38,0.011
40.0,247.1,1.44,21.86,0.088,301.4,1.67,0.02
45.0,315.8,3.02,28.9,0.092,291.4,2.41,0.048
50.0,262.0,4.33,26.69,0.108,263.7,2.04,0.052
55.0,185.3,5.25,21.25,0.087,334.6,2.03,0.057
60.0,113.6,5.82,19.37,0.063,470.7,2.22,0.068
65.0,63.5,6.14,14.48,0.047,628.5,2.18,0.064
70.0,44.4,6.36,10.79,0.037,804.0,2.14,0.063
75.0,33.7,6.53,10.54,0.029,1040.4,2.26,0.071
80.0,25.4,6.66,7.6,0.029,1006.7,1.83,0.064
85.0,15.1,6.73,7.55,0.029,1042.5,1.57,0.049
90.0,7.2,6.77,7.49,0.022,1341.7,1.66,0.097
95.0,8.4,6.81,7.43,0.019,1558.2,1.67,0.093
100.0,7.1,6.85,7.38,0.023,1290.1,1.36,0.05
105.0,7.2,6.88,7.38,0.023,1328.4,1.4,0.074
110.0,6.9,6.92,7.36,0.022,1359.0,1.43,0.078
115.0,7.2,6.95,7.32,0.025,1194.0,1.24,0.068
120.0,8.0,6.99,7.28,0.02,1543.4,1.6,0.08
125.0,9.4,7.04,7.24,0.016,1854.3,1.96,0.121
130.0,8.3,7.08,7.21,0.021,1408.1,1.46,0.092
135.0,8.1,7.12,7.19,0.024,1264.5,1.32,0.08
140.0,8.4,7.17,7.17,0.023,1323.1,1.44,0.065
145.0,8.2,7.21,7.15,0.017,1743.4,1.84,0.099
150.0,8.9,7.25,7.13,0.011,2626.0,2.81,0.152
155.0,8.7,7.29,7.12,0.015,2026.0,2.2,0.101
160.0,10.4,7.35,7.09,0.021,1417.5,1.61,0.061
165.0,10.4,7.4,7.08,0.021,1413.3,1.62,0.085
170.0,8.7,7.44,7.09,0.019,1555.2,1.77,0.087
175.0,10.9,7.5,7.09,0.02,1465.8,1.66,0.073
180.0,8.4,7.54,7.08,0.02,1462.7,1.63,0.072
185.0,7.9,7.58,7.17,0.019,1553.4,1.7,0.082
190.0,9.4,7.63,7.21,0.021,1395.8,1.53,0.102
195.0,9.5,7.67,6.86,0.022,1368.4,1.51,0.071
200.0,9.9,7.72,6.39,0.019,1565.7,1.75,0.076
205.0,10.4,7.77,6.09,0.019,1560.7,1.75,0.119
210.0,10.9,7.83,5.84,0.023,1323.7,1.47,0.082
215.0,9.9,7.88,5.65,0.023,1271.4,1.45,0.077
220.0,10.6,7.93,5.56,0.022,1355.1,1.55,0.081
225.0,10.1,7.98,5.51,0.022,1365.5,1.54,0.078
230.0,11.1,8.04,5.44,0.021,1441.1,1.63,0.119
235.0,11.2,8.09,5.4,0.02,1464.2,1.7,0.097
240.0,10.4,8.15,5.41,0.022,1387.1,1.65,0.092
245.0,10.4,8.2,5.46,0.021,1410.1,1.66,0.097
,,,,,,,
