Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,95.6,0.29,0.0,0.0,0.0,0.0,0.0
3.0,202.1,0.89,0.0,0.09,287.6,0.24,-0.005
6.0,259.3,1.67,4.87,0.088,287.8,2.87,0.022
9.0,256.9,2.44,9.3,0.087,284.9,2.64,0.022
12.0,233.0,3.14,12.97,0.087,289.6,2.47,0.022
15.0,203.6,3.75,15.67,0.086,291.6,2.31,0.021
18.0,184.8,4.31,17.38,0.086,296.9,2.2,0.018
21.0,169.6,4.82,18.23,0.086,297.3,2.1,0.019
24.0,157.6,5.29,18.41,0.087,293.4,1.98,0.015
27.0,153.1,5.75,18.15,0.086,299.0,1.92,0.017
30.0,146.1,6.19,17.65,0.087,298.1,1.87,0.017
33.0,139.1,6.6,17.07,0.086,301.3,1.83,0.012
36.0,134.8,7.01,16.49,0.087,297.6,1.77,0.01
39.0,129.0,7.39,15.98,0.085,303.8,1.8,0.009
42.0,125.0,7.77,15.54,0.084,309.2,1.82,0.011
45.0,127.1,8.15,15.17,0.084,306.7,1.77,0.011
48.0,126.0,8.53,14.86,0.084,308.2,1.75,0.01
51.0,122.2,8.89,14.61,0.084,310.5,1.73,0.007
54.0,116.2,9.24,14.41,0.084,307.3,1.71,0.01
57.0,115.3,9.59,14.25,0.084,311.2,1.7,0.006
60.0,115.5,9.94,14.12,0.083,314.6,1.71,0.005
63.0,110.6,10.27,14.02,0.082,313.8,1.71,0.005
66.0,111.8,10.6,13.95,0.083,317.3,1.72,0.005
69.0,115.3,10.95,13.89,0.083,315.3,1.67,0.004
72.0,112.7,11.29,13.85,0.079,331.7,1.74,0.004
75.0,108.8,11.61,13.81,0.077,341.8,1.76,0.007
78.0,106.8,11.93,13.78,0.076,343.3,1.75,0.006
81.0,104.9,12.25,13.74,0.076,342.6,1.73,0.007
84.0,102.3,12.56,13.7,0.076,345.3,1.75,0.005
87.0,102.7,12.86,13.66,0.077,342.6,1.74,0.009
90.0,103.6,13.17,13.63,0.076,346.9,1.75,0.009
93.0,102.7,13.48,13.6,0.076,343.9,1.73,0.009
96.0,101.4,13.79,13.58,0.075,345.9,1.72,0.008
99.0,102.6,14.09,13.57,0.075,350.2,1.73,0.006
102.0,98.9,14.39,13.58,0.075,347.6,1.71,0.006
105.0,98.8,14.69,13.59,0.074,354.5,1.75,0.004
108.0,97.8,14.98,13.62,0.073,358.1,1.76,0.008
111.0,100.4,15.28,13.65,0.072,363.0,1.78,0.006
114.0,97.7,15.57,13.7,0.072,359.2,1.76,0.005
117.0,98.2,15.87,13.75,0.072,363.1,1.77,0.0
120.0,97.6,16.16,13.8,0.071,362.4,1.76,0.007
123.0,97.3,16.45,13.85,0.071,371.1,1.8,0.01
126.0,97.1,16.75,13.9,0.069,379.7,1.84,0.008
129.0,97.9,17.04,13.94,0.068,381.9,1.84,0.009
132.0,97.3,17.33,13.97,0.068,385.4,1.85,0.006
135.0,95.3,17.62,13.98,0.068,382.9,1.82,0.007
138.0,94.7,17.9,13.99,0.067,388.1,1.84,0.006
141.0,93.3,18.18,13.98,0.067,388.9,1.85,0.008
144.0,94.6,18.46,13.96,0.067,389.0,1.86,0.007
147.0,95.4,18.75,13.94,0.069,382.7,1.81,0.006
150.0,94.8,19.04,13.92,0.068,384.5,1.82,0.007
153.0,95.2,19.32,13.89,0.067,387.7,1.81,0.004
156.0,92.6,19.6,13.87,0.068,386.2,1.81,0.0
159.0,93.5,19.88,13.85,0.069,377.5,1.77,0.0
162.0,93.5,20.16,13.84,0.068,383.1,1.81,0.0
165.0,93.2,20.44,13.83,0.067,387.8,1.83,0.007
168.0,93.9,20.72,13.81,0.068,387.9,1.83,0.008
171.0,94.6,21.0,13.8,0.068,385.9,1.81,0.005
174.0,93.7,21.29,13.78,0.067,388.6,1.82,0.006
177.0,95.4,21.57,13.76,0.068,384.1,1.81,0.006
180.0,90.9,21.84,13.73,0.068,382.2,1.81,0.0
183.0,95.1,22.13,13.7,0.068,384.1,1.82,0.0
186.0,95.2,22.42,13.67,0.069,377.4,1.78,0.0
189.0,94.0,22.7,13.64,0.07,373.8,1.76,0.005
192.0,93.7,22.98,13.61,0.071,369.5,1.73,0.005
195.0,94.6,23.26,13.58,0.069,378.4,1.77,0.007
198.0,93.5,23.54,13.55,0.067,388.2,1.81,0.004
201.0,92.9,23.82,13.52,0.068,380.4,1.78,0.005
204.0,94.0,24.1,13.48,0.07,375.1,1.77,0.0
207.0,94.8,24.39,13.45,0.07,374.5,1.77,0.006
210.0,96.0,24.68,13.41,0.071,367.3,1.73,0.004
213.0,94.1,24.96,13.38,0.071,362.4,1.7,0.0
216.0,93.4,25.24,13.36,0.071,362.3,1.72,0.006
219.0,94.2,25.52,13.34,0.071,367.0,1.74,0.0
222.0,96.6,25.81,13.32,0.072,365.1,1.74,0.005
225.0,95.6,26.1,13.32,0.071,354.9,1.69,0.006
228.0,97.3,26.39,13.33,0.073,360.3,1.72,0.0
231.0,97.6,26.68,13.34,0.073,354.9,1.69,0.004
234.0,97.1,26.97,13.36,0.073,357.8,1.7,0.004
237.0,96.0,27.26,13.4,0.073,356.9,1.71,0.0
240.0,96.3,27.55,13.43,0.073,359.7,1.73,0.004
243.0,97.5,27.84,13.47,0.073,358.7,1.73,0.0
246.0,99.0,28.14,13.52,0.072,363.0,1.76,0.005
249.0,98.5,28.44,13.57,0.073,360.2,1.76,0.0
252.0,99.6,28.73,13.61,0.074,354.1,1.74,0.0
255.0,98.6,29.03,13.65,0.073,351.2,1.73,0.0
258.0,101.2,29.33,13.67,0.073,358.7,1.77,0.0
261.0,102.2,29.64,13.69,0.073,358.3,1.77,0.0
264.0,102.7,29.95,13.69,0.073,357.5,1.76,0.0
267.0,101.2,30.25,13.69,0.074,351.7,1.73,0.005
270.0,101.2,30.56,13.67,0.075,348.9,1.73,0.0
273.0,101.8,30.86,13.65,0.075,347.8,1.72,0.006
276.0,102.6,31.17,13.63,0.075,347.1,1.73,0.005
279.0,101.6,31.47,13.62,0.076,341.7,1.71,0.0
282.0,102.9,31.78,13.62,0.077,335.5,1.67,0.0
285.0,105.2,32.1,13.62,0.077,339.5,1.69,0.004
288.0,102.2,32.4,13.63,0.076,339.0,1.69,0.004
291.0,101.7,32.71,13.65,0.076,339.7,1.7,0.0
294.0,103.4,33.02,13.68,0.075,344.6,1.74,0.004
297.0,104.6,33.33,13.7,0.075,346.7,1.74,0.006
300.0,104.6,33.65,13.72,0.075,345.3,1.74,0.0
303.0,104.3,33.96,13.74,0.075,343.7,1.73,0.005
306.0,104.9,34.28,13.76,0.076,340.1,1.72,0.0
309.0,104.5,34.59,13.76,0.077,333.7,1.69,0.0
312.0,106.2,34.91,13.77,0.078,334.0,1.7,0.0
315.0,106.2,35.23,13.76,0.078,332.4,1.7,0.0
318.0,107.1,35.55,13.75,0.078,333.6,1.72,0.0
321.0,108.9,35.87,13.73,0.077,339.0,1.75,0.0
324.0,108.5,36.2,13.7,0.078,333.5,1.72,0.004
327.0,107.8,36.52,13.66,0.079,327.6,1.69,0.006
330.0,108.6,36.85,13.6,0.079,326.3,1.69,0.0
333.0,109.4,37.18,13.54,0.08,324.3,1.68,0.0
336.0,109.3,37.5,13.48,0.081,318.6,1.66,0.0
339.0,111.0,37.84,13.41,0.082,315.3,1.66,0.006
342.0,109.2,38.17,13.34,0.084,305.5,1.6,0.004
345.0,111.8,38.5,13.27,0.084,305.7,1.62,0.0
348.0,113.8,38.84,13.21,0.085,301.8,1.61,0.007
351.0,112.9,39.18,13.16,0.086,299.0,1.6,0.005
354.0,113.8,39.52,13.11,0.087,294.4,1.58,0.005
