Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,3.7,0.02,0.0,0.0,0.0,0.01,0.009
5.0,4.1,0.04,99.0,0.001,0.0,0.01,0.009
10.0,2.7,0.05,12.31,0.001,0.0,0.01,0.009
15.0,2.9,0.07,12.31,0.004,0.0,0.01,0.009
20.0,3.5,0.08,11.3,0.004,0.0,0.01,0.009
25.0,3.5,0.1,11.3,0.002,0.0,0.01,0.008
30.0,2.9,0.12,19.01,0.002,0.0,0.01,0.009
35.0,3.8,0.14,13.14,0.003,0.0,0.01,0.008
40.0,2.9,0.15,7.36,0.004,0.0,0.01,0.009
45.0,1.0,0.15,8.73,0.001,0.0,0.01,0.009
50.0,1.5,0.16,11.22,0.001,0.0,0.01,0.009
55.0,1.5,0.17,11.22,0.002,0.0,0.01,0.009
60.0,2.1,0.18,15.74,0.001,0.0,0.01,0.009
65.0,2.9,0.19,8.16,0.001,0.0,0.01,0.009
70.0,2.9,0.21,8.16,0.007,0.0,0.01,0.009
75.0,2.3,0.22,1.25,0.019,0.0,0.01,0.008
80.0,4.7,0.24,0.62,0.075,0.0,0.01,0.008
85.0,6.0,0.27,0.51,0.118,0.0,0.01,0.009
90.0,29.9,0.42,5.33,0.056,0.0,0.01,0.01
95.0,52.4,0.69,99.0,0.0,0.0,0.02,0.011
100.0,40.2,0.89,99.0,0.0,0.0,0.02,0.012
105.0,20.6,0.99,99.0,0.0,0.0,0.02,0.012
110.0,9.2,1.04,99.0,0.0,0.0,0.01,0.011
115.0,3.8,1.06,99.0,0.0,0.0,0.01,0.01
120.0,2.9,1.07,99.0,0.0,0.0,0.01,0.01
125.0,2.9,1.08,99.0,0.0,0.0,0.01,0.009
130.0,2.9,1.1,99.0,0.0,0.0,0.01,0.009
135.0,2.3,1.11,99.0,0.0,0.0,0.01,0.009
140.0,0.4,1.11,9.22,0.0,0.0,0.01,0.009
145.0,1.0,1.12,99.0,0.0,0.0,0.01,0.009
150.0,1.7,1.12,99.0,0.0,0.0,0.01,0.009
155.0,1.3,1.13,99.0,0.0,0.0,0.01,0.009
160.0,2.1,1.14,99.0,0.0,0.0,0.01,0.009
165.0,2.1,1.15,99.0,0.0,0.0,0.01,0.009
170.0,1.7,1.16,99.0,0.0,0.0,0.01,0.009
175.0,1.5,1.17,99.0,0.0,0.0,0.01,0.01
180.0,2.3,1.18,99.0,0.0,0.0,0.01,0.009
185.0,2.7,1.19,99.0,0.0,0.0,0.01,0.01
190.0,2.5,1.21,99.0,0.0,0.0,0.01,0.009
195.0,1.7,1.21,99.0,0.0,0.0,0.01,0.009
200.0,2.9,1.23,99.0,0.0,0.0,0.01,0.01
205.0,3.3,1.25,99.0,0.0,0.0,0.01,0.009
210.0,2.7,1.26,99.0,0.0,0.0,0.01,0.009
215.0,2.3,1.27,99.0,0.0,0.0,0.01,0.009
220.0,1.4,1.28,99.0,0.0,0.0,0.01,0.009
