Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.7,0.02,17.05,0.003,99999.9,92.72,3.716
10.0,2.0,0.03,1.0,0.02,1511.4,1.54,0.032
15.0,3.6,0.05,0.99,0.037,857.9,0.87,0.023
20.0,85.4,0.48,11.08,0.077,383.5,0.52,0.017
25.0,346.1,2.21,23.74,0.146,181.0,0.85,0.015
30.0,427.7,4.35,24.45,0.175,152.0,1.23,0.036
35.0,299.3,5.84,20.64,0.145,196.3,1.71,0.061
40.0,164.9,6.67,15.48,0.107,285.8,1.9,0.067
45.0,110.6,7.22,13.24,0.084,369.0,1.94,0.067
50.0,88.7,7.67,12.48,0.071,433.4,1.88,0.056
55.0,75.8,8.04,12.41,0.061,503.3,1.88,0.048
60.0,69.5,8.39,12.29,0.056,553.5,1.84,0.051
65.0,62.2,8.7,12.1,0.052,596.2,1.8,0.054
70.0,58.1,8.99,11.86,0.049,631.8,1.77,0.047
75.0,52.1,9.25,11.64,0.044,699.4,1.81,0.056
80.0,46.8,9.49,11.04,0.041,748.2,1.84,0.058
85.0,42.7,9.7,10.25,0.043,727.4,1.69,0.06
90.0,38.1,9.89,9.37,0.041,766.4,1.67,0.064
95.0,35.5,10.07,9.01,0.041,763.0,1.58,0.071
100.0,29.9,10.22,7.4,0.04,770.8,1.49,0.072
105.0,22.3,10.33,5.97,0.037,838.4,1.51,0.089
110.0,18.4,10.42,5.0,0.037,846.5,1.38,0.083
115.0,17.6,10.51,5.0,0.037,842.1,1.3,0.096
120.0,18.0,10.6,5.0,0.039,793.4,1.2,0.087
125.0,19.7,10.7,5.09,0.038,822.5,1.21,0.076
130.0,16.6,10.78,4.3,0.039,811.5,1.19,0.085
135.0,19.6,10.88,5.37,0.041,769.3,1.11,0.082
140.0,18.5,10.97,5.0,0.03,1032.6,1.49,0.125
145.0,16.4,11.05,5.13,0.03,1029.6,1.48,0.108
150.0,17.1,11.14,5.13,0.04,775.9,1.1,0.09
155.0,20.1,11.24,5.83,0.032,968.6,1.37,0.099
160.0,21.5,11.35,5.93,0.027,1159.0,1.71,0.126
165.0,19.8,11.45,5.79,0.036,871.7,1.29,0.092
170.0,19.2,11.54,5.64,0.036,878.0,1.3,0.097
175.0,19.5,11.64,5.82,0.033,953.9,1.4,0.113
180.0,18.4,11.73,5.8,0.036,868.4,1.25,0.086
185.0,18.2,11.82,5.76,0.029,1072.6,1.57,0.13
190.0,18.4,11.92,5.79,0.027,1175.4,1.7,0.144
195.0,19.7,12.01,5.79,0.03,1026.4,1.53,0.122
200.0,20.2,12.11,5.83,0.034,923.1,1.37,0.114
205.0,19.9,12.21,5.79,0.036,871.0,1.31,0.115
210.0,18.6,12.31,5.8,0.034,922.3,1.37,0.117
215.0,18.8,12.4,5.68,0.035,895.2,1.33,0.109
220.0,21.1,12.51,5.86,0.034,914.9,1.35,0.128
225.0,19.7,12.61,5.81,0.035,895.5,1.32,0.127
230.0,20.4,12.71,5.85,0.036,872.2,1.29,0.111
235.0,19.8,12.81,5.81,0.033,967.6,1.45,0.135
240.0,19.9,12.91,5.81,0.034,914.5,1.37,0.12
245.0,19.8,13.0,5.81,0.035,906.6,1.35,0.113
