Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,456.9,,,,,,,,,,,,,
5.0,456.9,,,,,,,,,,,,,
10.0,457.612,,,,,,,,,,,,,
15.0,457.434,,,,,,,,,,,,,
20.0,456.989,,,,,,,,,,,,,
25.0,457.345,,,,,,,,,,,,,
30.0,457.434,,,,,,,,,,,,,
35.0,457.167,,,,,,,,,,,,,
40.0,457.078,,,,,,,,,,,,,
45.0,456.989,,,,,,,,,,,,,
50.0,456.989,,,,,,,,,,,,,
55.0,457.078,0.04628,,,,,,,89.0,1.64,0.0007,1.325,0.0005,
60.0,456.544,0.36846,,,,,,,113.0,1.39,0.0017,0.8667,0.0003,
65.0,455.654,1.23087,,,,,,,137.0,1.21,0.0014,0.7547,0.0003,
70.0,455.298,1.6874399999999998,,,,,,,162.0,1.38,0.0027,0.794,0.0003,
75.0,454.853,1.82361,,,,,,,186.0,1.65,0.0032,0.8897,0.0004,
80.0,454.319,1.92151,,,,,,,210.0,1.46,0.0056,0.8006,0.0003,
85.0,453.963,1.92863,,,,,,,235.0,1.27,0.0052,0.7162,0.0003,
90.0,453.34,1.87078,,,,,,,264.0,1.22,0.0076,0.6663,0.0003,
95.0,452.806,1.80492,,,,,,,280.0,1.16,0.0075,0.6406,0.0003,
100.0,452.272,1.7444,,,,,,,275.0,1.33,0.0109,0.6961,0.0003,
105.0,451.827,1.70613,,,,,,,272.0,1.24,0.0105,0.6487,0.0003,
110.0,451.56,1.65718,,,,,,,263.0,1.09,0.0111,0.5998,0.0003,
115.0,450.848,1.6109,,,,,,,262.0,1.2,0.0123,0.6212,0.0003,
120.0,450.314,1.5664,,,,,,,268.0,1.19,0.0119,0.5771,0.0003,
125.0,450.225,1.50321,,,,,,,258.0,1.35,0.0148,0.6926,0.0004,
130.0,449.513,1.5049899999999998,,,,,,,258.0,1.44,0.0149,0.7521,0.0004,
135.0,449.335,1.42311,,,,,,,258.0,1.29,0.0138,0.6388,0.0004,
140.0,448.979,1.41688,,,,,,,261.0,1.46,0.0145,0.7445,0.0005,
145.0,448.623,1.38573,,,,,,,266.0,1.34,0.0139,0.6826,0.0004,
150.0,448.267,1.35458,,,,,,,244.0,1.66,0.0166,0.8326,0.0006,
155.0,448.0,1.29139,,,,,,,204.0,2.02,0.0218,1.0591,0.0007,
160.0,448.0,1.2282,,,,,,,171.0,1.53,0.0143,0.7936,0.0006,
165.0,447.733,1.16946,,,,,,,147.0,1.19,0.0113,0.5994,0.0005,
170.0,447.021,1.12318,,,,,,,126.0,1.05,0.0088,0.5021,0.0004,
175.0,446.754,1.10538,,,,,,,110.0,1.09,0.0096,0.5211,0.0005,
180.0,446.576,1.07512,,,,,,,96.0,1.39,0.0121,0.6835,0.0006,
185.0,446.309,1.02439,,,,,,,85.0,1.47,0.013,0.7658,0.0007,
190.0,446.042,1.00926,,,,,,,80.0,1.4,0.0119,0.7247,0.0006,
195.0,445.864,0.97989,,,,,,,84.0,1.59,0.0141,0.8551,0.0007,
200.0,445.508,0.97811,,,,,,,90.0,1.41,0.0118,0.7539,0.0006,
205.0,445.419,0.96031,,,,,,,98.0,1.92,0.0162,0.991,0.0009,
210.0,444.974,0.9701,,,,,,,98.0,2.73,0.0253,1.3823,0.0013,
215.0,445.241,0.97277,,,,,,,91.0,1.57,0.0144,0.7777,0.0007,
220.0,444.974,0.98612,,,,,,,98.0,1.55,0.0147,0.6663,0.0006,
225.0,444.351,1.00036,,,,,,,103.0,1.29,0.0126,0.5563,0.0006,
230.0,444.262,1.02261,,,,,,,100.0,1.22,0.0165,0.5364,0.0006,
235.0,444.173,1.04753,,,,,,,90.0,1.27,0.0183,0.629,0.0006,
240.0,443.728,0.98256,,,,,,,99.0,1.14,0.0165,0.5669,0.0006,
245.0,443.372,0.92471,,,,,,,116.0,1.27,0.0183,0.5877,0.0006,
250.0,443.283,0.91136,,,,,,,130.0,2.22,0.0279,0.9192,0.0011,
255.0,443.194,0.90958,,,,,,,123.0,3.07,0.0427,1.4042,0.0016,
260.0,443.105,0.89178,,,,,,,115.0,3.21,0.0395,1.4819,0.0017,
265.0,442.927,0.84995,,,,,,,112.0,1.49,0.0188,0.7034,0.0008,
270.0,442.927,0.84995,,,,,,,129.0,1.08,0.0122,0.5579,0.0006,
275.0,442.304,0.83215,,,,,,,171.0,1.2,0.0144,0.6194,0.0007,
280.0,442.126,0.83749,,,,,,,178.0,1.83,0.0223,0.9529,0.0011,
285.0,442.215,0.81613,,,,,,,,,,,,
290.0,442.215,0.80545,,,,,,,154.0,1.94,0.0247,1.0372,0.0012,
295.0,441.859,0.77786,,,,,,,149.0,1.15,0.0144,0.6524,0.0007,
300.0,441.681,0.79477,,,,,,,145.0,0.87,0.0127,0.4547,0.0006,
305.0,441.414,0.7974399999999999,,,,,,,141.0,0.97,0.0147,0.5891,0.0007,
310.0,441.058,0.78765,,,,,,,168.0,1.18,0.018,0.5933,0.0008,
315.0,440.969,0.76718,,,,,,,176.0,1.13,0.0172,0.5718,0.0007,
320.0,440.791,0.7662899999999999,,,,,,,181.0,1.91,0.0337,1.0862,0.0013,
325.0,440.435,0.77074,,,,,,,216.0,1.38,0.0227,0.7329,0.0009,
330.0,440.702,0.7823100000000001,,,,,,,223.0,1.06,0.0197,0.5174,0.0007,
335.0,440.079,0.7992199999999999,,,,,,,256.0,1.54,0.0292,0.7419,0.001,
340.0,439.812,0.82058,,,,,,,267.0,1.05,0.024,0.5276,0.0007,
345.0,440.079,0.7992199999999999,,,,,,,274.0,1.72,0.0394,0.778,0.0011,
350.0,439.545,0.7974399999999999,,,,,,,282.0,1.41,0.0348,0.6908,0.0009,
355.0,439.545,0.80189,,,,,,,295.0,1.37,0.0347,0.6657,0.0009,
360.0,439.189,0.78587,,,,,,,317.0,1.4,0.0372,0.6751,0.0009,
365.0,439.367,0.7832,,,,,,,332.0,1.39,0.038,0.7712,0.001,
370.0,438.744,0.78765,,,,,,,388.0,1.68,0.0441,0.8763,0.0011,
375.0,438.922,0.80189,,,,,,,392.0,1.54,0.04,0.8604,0.001,
380.0,438.655,0.84639,,,,,,,437.0,2.04,0.0551,1.1001,0.0012,
385.0,438.566,0.83126,,,,,,,451.0,1.28,0.0356,0.6548,0.0008,
390.0,438.299,0.84817,,,,,,,451.0,1.98,0.0578,1.0506,0.0012,
395.0,438.121,0.85974,,,,,,,453.0,1.49,0.0428,0.7846,0.0009,
400.0,438.299,0.88377,,,,,,,446.0,1.38,0.0432,0.7653,0.0008,
405.0,437.676,0.8971199999999999,,,,,,,445.0,1.3,0.0395,0.7202,0.0007,
410.0,437.498,0.94162,,,,,,,471.0,1.03,0.0367,0.6285,0.0005,
415.0,437.409,0.98879,,,,,,,647.0,1.09,0.0363,0.6885,0.0006,
420.0,436.964,0.98434,,,,,,,1020.0,1.44,0.0507,0.814,0.0006,
425.0,436.519,1.08847,,,,,,,1230.0,1.71,0.064,0.9416,0.0008,
430.0,436.697,1.25045,,,,,,,1201.0,2.88,0.1458,1.523,0.0014,
435.0,436.519,1.2353200000000002,,,,,,,1157.0,2.35,0.1232,1.341,0.0011,
440.0,436.43,1.17035,,,,,,,1099.0,1.28,0.0827,0.7425,0.0006,
445.0,435.985,1.12852,,,,,,,1036.0,1.37,0.084,0.7813,0.0007,
450.0,435.807,1.12318,,,,,,,902.0,1.33,0.0905,0.8441,0.0006,
455.0,435.718,1.13475,,,,,,,763.0,1.45,0.0949,0.96,0.0007,
460.0,435.362,1.1659,,,,,,,685.0,1.06,0.0676,0.6846,0.0005,
465.0,435.095,1.2121799999999998,,,,,,,735.0,0.95,0.0559,0.594,0.0004,
470.0,434.472,1.30296,,,,,,,847.0,0.94,0.0589,0.5695,0.0004,
475.0,434.116,1.41154,,,,,,,886.0,1.16,0.0728,0.7257,0.0005,
480.0,433.76,1.44091,,,,,,,892.0,1.4,0.1055,0.855,0.0006,
485.0,433.76,1.42756,,,,,,,878.0,1.24,0.0968,0.8185,0.0005,
490.0,433.315,1.39374,,,,,,,875.0,1.1,0.0876,0.6977,0.0005,
495.0,432.87,1.39641,,,,,,,891.0,1.09,0.0858,0.6443,0.0004,
500.0,432.425,1.3973,,,,,,,918.0,1.16,0.0888,0.6851,0.0005,
505.0,432.425,1.37772,,,,,,,879.0,1.28,0.102,0.7661,0.0005,
510.0,431.891,1.3884,,,,,,,826.0,1.39,0.1095,0.835,0.0006,
515.0,431.713,1.38395,,,,,,,759.0,1.09,0.0866,0.704,0.0005,
520.0,431.535,1.34568,,,,,,,672.0,0.96,0.0701,0.6611,0.0004,
525.0,430.912,1.3323299999999998,,,,,,,644.0,0.92,0.0576,0.6369,0.0003,
530.0,430.289,1.37594,,,,,,,677.0,0.85,0.046,0.5116,0.0003,
535.0,430.022,1.52279,,,,,,,754.0,0.84,0.0445,0.4584,0.0003,
540.0,429.043,1.80937,,,,,,,890.0,1.12,0.0712,0.6105,0.0003,
545.0,428.598,1.82984,,,,,,,913.0,1.42,0.0973,0.8431,0.0005,
550.0,428.865,1.74351,,,,,,,862.0,1.75,0.1362,0.9967,0.0006,
555.0,428.509,1.6554,,,,,,,807.0,1.16,0.0927,0.6251,0.0004,
560.0,427.797,1.61624,,,,,,,792.0,0.83,0.0745,0.4593,0.0003,
565.0,427.263,1.5672899999999998,,,,,,,829.0,0.85,0.0787,0.4865,0.0003,
570.0,426.996,1.5041,,,,,,,820.0,1.04,0.1003,0.6084,0.0004,
575.0,426.551,1.48185,,,,,,,862.0,1.44,0.1462,0.8762,0.0006,
580.0,426.284,1.42667,,,,,,,830.0,1.29,0.1314,0.7712,0.0006,
585.0,426.284,1.3536899999999998,,,,,,,780.0,1.55,0.1651,0.946,0.0007,
590.0,425.661,1.31542,,,,,,,742.0,1.1,0.1123,0.6938,0.0005,
595.0,425.75,1.25045,,,,,,,669.0,0.9,0.0938,0.5379,0.0004,
600.0,425.127,1.23977,,,,,,,623.0,0.97,0.102,0.6058,0.0005,
605.0,424.86,1.2015,,,,,,,594.0,0.85,0.0857,0.4926,0.0004,
610.0,424.593,1.17213,,,,,,,605.0,1.04,0.0997,0.6276,0.0005,
615.0,424.148,1.18014,,,,,,,595.0,1.21,0.1155,0.7244,0.0006,
620.0,423.97,1.15789,,,,,,,602.0,1.38,0.1213,0.8732,0.0007,
625.0,423.881,1.15166,,,,,,,561.0,1.26,0.1105,0.7543,0.0006,
630.0,423.614,1.13208,,,,,,,537.0,1.27,0.1018,0.72,0.0006,
635.0,423.08,1.12229,,,,,,,559.0,0.9,0.0721,0.5465,0.0004,
640.0,423.08,1.11873,,,,,,,584.0,1.07,0.0807,0.6622,0.0005,
645.0,422.368,1.11161,,,,,,,562.0,1.41,0.1127,0.885,0.0007,
650.0,422.457,1.10983,,,,,,,551.0,1.68,0.1196,1.0491,0.0009,
655.0,422.279,1.07868,,,,,,,572.0,1.19,0.0858,0.7376,0.0006,
660.0,422.19,1.06889,,,,,,,745.0,1.22,0.0828,0.6515,0.0006,
665.0,421.211,1.07779,,,,,,,1450.0,1.47,0.1046,0.9477,0.0008,
670.0,421.745,1.0644399999999998,,,,,,,1526.0,2.87,0.2034,1.7175,0.0015,
675.0,421.478,1.04664,,,,,,,,,,,,
680.0,421.567,1.06622,,,,,,,1795.0,3.2,0.2184,1.9142,0.0017,
685.0,421.211,1.03952,,,,,,,,,,,,
690.0,421.478,1.05554,,,,,,,,,,,,
695.0,421.211,1.05643,,,,,,,940.0,0.88,0.0604,0.5819,0.0005,
700.0,421.211,1.06711,,,,,,,683.0,0.65,0.0393,0.4026,0.0003,
705.0,419.698,1.07156,,,,,,,514.0,0.58,0.0347,0.3605,0.0003,
710.0,419.698,1.11962,,,,,,,489.0,0.69,0.0392,0.43,0.0003,
