Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,332.1,,,,,,,,,,,,,
5.0,332.1,,,,,,,,,,,,,
10.0,332.1,0.0044,,,,,,,118.0,1.31,0.0009,1.9958,0.0013,
15.0,331.74800000000005,0.1584,,,,,,,150.0,1.69,0.0004,1.2087,0.0022,
20.0,331.04400000000004,1.4608,,,,,,,182.0,1.53,0.002,0.9239,0.0015,
25.0,330.076,2.72272,,,,,,,214.0,1.44,0.0015,0.8086,0.0013,
30.0,329.108,3.4328800000000004,,,,,,,247.0,1.42,0.004,0.7644,0.0011,
35.0,327.964,3.94592,,,,,,,278.0,1.41,0.0037,0.6756,0.0012,
40.0,326.644,4.29616,,,,,,,311.0,1.45,0.007,0.6616,0.0016,
45.0,325.67600000000004,4.53552,,,,,,,363.0,1.42,0.0072,0.6373,0.0017,
50.0,324.79600000000005,4.37976,,,,,,,406.0,1.41,0.0116,0.6107,0.0024,
55.0,323.65200000000004,4.1536,,,,,,,462.0,1.36,0.0128,0.5717,0.0029,
60.0,322.86,3.8104,,,,,,,495.0,1.26,0.0173,0.5446,0.0031,
65.0,322.156,3.30792,,,,,,,517.0,1.25,0.0211,0.6198,0.0041,
70.0,321.452,2.8036800000000004,,,,,,,528.0,1.24,0.0249,0.6836,0.0045,
75.0,321.012,2.35752,,,,,,,534.0,1.24,0.0271,0.7107,0.0053,
80.0,320.48400000000004,2.0944000000000003,,,,,,,532.0,1.23,0.0257,0.6755,0.0043,
85.0,319.956,2.0266400000000004,,,,,,,548.0,1.09,0.0259,0.6276,0.0047,
90.0,319.34000000000003,1.85152,,,,,,,554.0,1.09,0.0243,0.5933,0.0042,
95.0,318.90000000000003,1.67376,,,,,,,570.0,1.18,0.0288,0.6419,0.0055,
100.0,318.636,1.55408,,,,,,,583.0,1.22,0.0267,0.7208,0.0048,
105.0,318.284,1.4018400000000002,,,,,,,611.0,1.32,0.03,0.7287,0.005,
110.0,317.932,1.3103200000000002,,,,,,,623.0,1.23,0.0252,0.6522,0.0038,
115.0,317.668,1.2584000000000002,,,,,,,600.0,1.49,0.0325,0.8447,0.0037,
120.0,317.404,1.15368,,,,,,,572.0,1.5,0.026,0.8318,0.0029,
125.0,317.31600000000003,1.0648,,,,,,,526.0,1.33,0.0241,0.799,0.0025,
130.0,316.964,1.03224,,,,,,,514.0,1.29,0.0176,0.7526,0.0023,
135.0,316.70000000000005,0.99792,,,,,,,500.0,1.17,0.0162,0.6931,0.0017,
140.0,316.524,0.96712,,,,,,,520.0,1.29,0.0129,0.7859,0.0019,
145.0,316.26000000000005,0.94952,,,,,,,519.0,1.34,0.0134,0.784,0.0018,
150.0,315.99600000000004,0.93368,,,,,,,506.0,1.66,0.0127,0.9966,0.0019,
155.0,315.82000000000005,0.94952,,,,,,,494.0,1.51,0.0111,0.8481,0.0018,
160.0,315.82000000000005,0.9328,,,,,,,475.0,1.31,0.0078,0.7376,0.0015,
165.0,315.29200000000003,0.90464,,,,,,,493.0,1.19,0.0076,0.6877,0.0014,
170.0,315.11600000000004,0.91168,,,,,,,501.0,1.15,0.0063,0.6392,0.0014,
175.0,315.028,0.8835200000000001,,,,,,,504.0,1.46,0.008,0.862,0.0016,
180.0,314.764,0.8888,,,,,,,533.0,1.51,0.0071,0.9203,0.0016,
185.0,314.5,0.88528,,,,,,,552.0,1.45,0.0069,0.8458,0.0015,
190.0,314.41200000000003,0.86768,,,,,,,552.0,1.68,0.0076,1.0345,0.0017,
195.0,314.23600000000005,0.8606400000000001,,,,,,,543.0,1.6,0.0074,0.999,0.0017,
200.0,314.148,0.85008,,,,,,,535.0,1.57,0.0068,1.0158,0.0017,
205.0,313.884,0.82896,,,,,,,524.0,1.42,0.0062,0.8087,0.0014,
210.0,313.79600000000005,0.8201600000000001,,,,,,,498.0,1.49,0.0053,0.9343,0.0015,
215.0,313.53200000000004,0.82896,,,,,,,482.0,1.45,0.0052,0.8558,0.0015,
220.0,313.444,0.8351200000000001,,,,,,,465.0,1.22,0.0038,0.7909,0.0012,
225.0,313.18,0.8333600000000001,,,,,,,466.0,1.3,0.0039,0.7798,0.0013,
230.0,312.916,0.8360000000000001,,,,,,,480.0,1.22,0.0032,0.7071,0.0012,
