Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,15.81,0.012,0.1009,0.0259,0.0
5.0,,,,,,,,,0.0,0.0,0.0,16.66,0.0133,0.0,0.0267,0.0025
10.0,,,,,,,,,0.0,0.0,0.1,15.46,0.0134,0.0,0.0276,0.0
15.0,,,,,,,,,15.57,0.33,0.3,4.61,0.0028,0.3112,0.0094,0.0009
20.0,,,,,,,,,238.05,0.38,0.0,4.14,0.0028,0.2218,0.0091,0.0
25.0,,,,,,,,,126.84,0.58,0.2,2.42,0.0023,0.0,0.0069,0.0003
30.0,,,,,,,,,854.02,0.26,0.0,5.85,0.0052,0.0,0.0171,0.0005
35.0,,,,,,,,,692.36,0.29,0.0,5.15,0.0047,0.0,0.0192,0.0007
40.0,,,,,,,,,481.91,0.49,0.0,3.2,0.0021,0.2399,0.015,0.0
45.0,,,,,,,,,599.79,1.01,0.0,1.59,0.001,0.2314,0.0185,0.0001
50.0,,,,,,,,,691.33,1.15,0.0,1.34,0.0008,0.3456,0.0362,0.0
55.0,,,,,,,,,870.74,1.3,0.4,1.22,0.0008,0.24,0.0516,0.0
60.0,,,,,,,,,613.24,2.01,1.0,0.88,0.0005,0.1998,0.047,0.0003
65.0,,,,,,,,,672.64,2.0,0.0,0.85,0.0006,0.1269,0.054,0.0003
70.0,,,,,,,,,863.62,1.32,0.4,1.3,0.0009,0.1427,0.1066,0.0001
75.0,,,,,,,,,852.07,1.35,0.2,1.33,0.0007,0.331,0.1062,0.0003
80.0,,,,,,,,,522.26,1.95,0.0,0.94,0.0006,0.0957,0.0793,0.0003
85.0,,,,,,,,,496.2,2.15,1.3,0.88,0.0005,0.1314,0.0786,0.0002
90.0,,,,,,,,,456.76,2.12,0.6,0.92,0.0005,0.1489,0.0889,0.0
95.0,,,,,,,,,433.63,2.25,0.8,0.87,0.0055,0.1596,0.0886,0.0
100.0,,,,,,,,,435.52,2.28,0.0,0.86,0.0049,0.2685,0.0921,0.0
105.0,,,,,,,,,492.74,1.88,0.0,1.06,0.0068,0.1711,0.1037,0.0
110.0,,,,,,,,,594.1,1.53,0.0,1.14,0.0063,0.3671,0.1348,0.0003
115.0,,,,,,,,,402.54,2.02,0.5,0.83,0.0073,0.0485,0.1101,0.0001
120.0,,,,,,,,,308.14,2.4,1.6,0.69,0.0055,0.1412,0.093,0.0
125.0,,,,,,,,,293.07,2.08,1.7,0.76,0.007,0.0466,0.1066,0.0
130.0,,,,,,,,,387.42,1.87,0.1,0.81,0.0072,0.1181,0.1229,0.0002
135.0,,,,,,,,,321.48,1.75,1.0,0.89,0.0052,0.4082,0.1306,0.0001
140.0,,,,,,,,,390.75,1.79,0.7,0.79,0.0067,0.2185,0.1438,0.0001
145.0,,,,,,,,,364.6,2.03,0.9,0.7,0.0058,0.2408,0.1299,0.0003
150.0,,,,,,,,,382.03,2.05,1.0,0.66,0.0056,0.2516,0.1252,0.0
155.0,,,,,,,,,302.47,2.52,1.8,0.55,0.0052,0.1488,0.1035,0.0
160.0,,,,,,,,,400.16,2.37,1.9,0.62,0.0052,0.2352,0.1131,0.0
165.0,,,,,,,,,521.86,1.63,1.9,0.89,0.0065,0.306,0.1482,0.0
170.0,,,,,,,,,386.07,2.11,1.4,0.68,0.0065,0.108,0.1161,0.0
175.0,,,,,,,,,441.6,1.8,1.3,0.87,0.0074,0.1351,0.1265,0.0
180.0,,,,,,,,,549.4,1.22,1.4,1.27,0.0075,0.402,0.1928,0.0
185.0,,,,,,,,,417.54,1.73,1.2,0.95,0.0071,0.2076,0.1346,0.0002
190.0,,,,,,,,,384.91,1.95,1.1,0.9,0.0074,0.0672,0.1109,0.0
195.0,,,,,,,,,501.01,1.54,1.5,1.25,0.0066,0.3438,0.1451,0.0
200.0,,,,,,,,,456.05,1.57,0.9,1.19,0.0063,0.3607,0.1461,0.0
205.0,,,,,,,,,400.33,1.81,1.0,1.07,0.0075,0.1162,0.1262,0.0
210.0,,,,,,,,,515.37,1.63,1.3,1.21,0.0079,0.158,0.1312,0.0
215.0,,,,,,,,,461.54,1.41,0.9,1.47,0.01,0.0846,0.1556,0.0
220.0,,,,,,,,,405.88,1.72,1.3,1.15,0.0083,0.0664,0.1306,0.0001
225.0,,,,,,,,,413.71,1.94,0.6,1.07,0.007,0.1203,0.1126,0.0
230.0,,,,,,,,,486.5,1.64,0.1,1.25,0.0082,0.1259,0.1301,0.0
235.0,,,,,,,,,515.82,1.42,0.7,1.55,0.0095,0.1238,0.1509,0.0001
240.0,,,,,,,,,472.11,1.63,2.6,1.3,0.0076,0.1934,0.1265,0.0
245.0,,,,,,,,,488.98,1.57,0.7,1.42,0.0077,0.2227,0.138,0.0
250.0,,,,,,,,,565.72,1.51,0.3,1.45,0.0091,0.1124,0.1513,0.0
255.0,,,,,,,,,421.61,1.92,1.2,1.17,0.0073,0.0959,0.12,0.0
260.0,,,,,,,,,532.9,1.52,0.7,1.59,0.0096,0.0553,0.1525,0.0
265.0,,,,,,,,,596.55,1.36,0.6,1.69,0.0092,0.1916,0.1663,0.0
270.0,,,,,,,,,499.81,1.95,1.0,1.11,0.0073,0.0829,0.1225,0.0
275.0,,,,,,,,,456.19,1.97,0.0,1.07,0.0068,0.1238,0.1195,0.0
280.0,,,,,,,,,498.98,1.85,0.8,1.07,0.007,0.1586,0.1263,0.0
285.0,,,,,,,,,537.36,1.91,1.6,0.97,0.0066,0.1792,0.1291,0.0
290.0,,,,,,,,,615.59,1.86,1.4,0.95,0.0064,0.2255,0.1416,0.0
295.0,,,,,,,,,677.54,1.65,0.7,1.05,0.0137,0.1551,0.1548,0.0003
300.0,,,,,,,,,836.36,1.43,1.8,1.19,0.0158,0.1539,0.1883,0.0
305.0,,,,,,,,,785.5,1.56,2.1,1.06,0.0093,0.4603,0.1808,0.0
310.0,,,,,,,,,754.53,1.67,0.9,1.07,0.0119,0.2515,0.1698,0.0003
315.0,,,,,,,,,918.44,1.6,1.4,1.1,0.0144,0.1475,0.1742,0.0003
320.0,,,,,,,,,953.29,1.5,2.8,1.24,0.0164,0.0867,0.1898,0.0
325.0,,,,,,,,,791.82,1.95,1.8,0.97,0.0121,0.1206,0.1508,0.0
330.0,,,,,,,,,681.13,2.39,1.9,0.73,0.0092,0.1819,0.1286,0.0
335.0,,,,,,,,,774.09,2.08,2.0,0.88,0.0112,0.1384,0.1572,0.0002
340.0,,,,,,,,,831.59,2.13,2.5,0.84,0.0109,0.1379,0.1626,0.0
345.0,,,,,,,,,876.52,2.15,1.3,0.86,0.011,0.1224,0.162,0.0
