Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,99.99,0.0,99.99,0.0507,0.0
5.0,,,,,,,,,0.0,0.0,184.4,99.99,0.0,99.99,0.1094,0.0
10.0,,,,,,,,,365.09,31.7,1042.1,1.02,0.0036,0.324,0.0024,0.0
15.0,,,,,,,,,448.68,21.53,737.3,1.34,0.0047,0.5489,0.0035,0.0
20.0,,,,,,,,,564.47,18.44,412.2,1.39,0.0085,0.627,0.0055,0.0
25.0,,,,,,,,,624.32,16.08,344.4,1.49,0.0085,0.6787,0.0054,0.0
30.0,,,,,,,,,671.95,14.68,325.1,1.52,0.0098,0.7078,0.0056,0.0
35.0,,,,,,,,,693.36,14.21,305.7,1.48,0.0105,0.6983,0.0044,0.0
40.0,,,,,,,,,680.87,13.14,288.7,1.55,0.0096,0.6976,0.0041,0.0
45.0,,,,,,,,,657.93,12.3,272.9,1.56,0.0081,0.7577,0.0026,0.0
50.0,,,,,,,,,582.74,12.37,256.9,1.51,0.0051,0.7818,0.0028,0.0
55.0,,,,,,,,,504.32,12.74,243.3,1.48,0.0046,0.8009,0.0031,0.0
60.0,,,,,,,,,483.07,12.87,246.1,1.46,0.0035,0.7842,0.0024,0.0
65.0,,,,,,,,,504.43,12.54,240.2,1.49,0.0041,0.7582,0.0025,0.0
70.0,,,,,,,,,525.95,11.95,243.8,1.46,0.0027,0.8138,0.0027,0.0
75.0,,,,,,,,,503.22,11.94,234.2,1.43,0.0026,0.8211,0.0021,0.0
80.0,,,,,,,,,440.7,12.15,219.4,1.43,0.002,0.8357,0.0017,0.0
85.0,,,,,,,,,452.03,11.88,226.5,1.58,0.0004,0.9679,0.0021,0.0
90.0,,,,,,,,,448.59,12.9,240.5,1.61,0.0001,0.9866,0.0024,0.0
95.0,,,,,,,,,379.77,14.83,264.2,1.56,0.0001,0.9939,0.0029,0.0
100.0,,,,,,,,,429.13,16.4,302.4,1.67,0.0,1.0494,0.0032,0.0
