Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
5.0,,,,,,,,,356.0,0.0,0.0,,0.0,0.0,
10.0,,0.0,,,,,,,517.0,0.0144999999999999,2.59,,7.5948,0.0052,
15.0,,0.0579999999999999,,,,,,,517.0,0.1523,0.84,0.0069,0.9922,0.0211,
20.0,,1.426,,,,,,,675.0,0.1823,1.02,0.0054,0.8971,0.0929,
25.0,,3.365,,,,,,,834.0,0.2442,0.78,0.0374,0.684,0.1087,
30.0,,4.353000000000001,,,,,,,994.0,0.2557999999999999,0.73,0.0348,0.6741,0.0969,
35.0,,4.565,,,,,,,1154.0,0.2645,0.78,0.0734,0.6196,0.111,
40.0,,4.663,,,,,,,1313.0,0.2677,0.68,0.0701,0.5605,0.0914,
45.0,,4.918,,,,,,,1398.0,0.2454,0.68,0.113,0.5664,0.0898,
50.0,,4.5280000000000005,,,,,,,1450.0,0.2264999999999999,0.65,0.1211,0.5701,0.086,
55.0,,4.1850000000000005,,,,,,,1522.0,0.1927,0.68,0.1511,0.6104,0.0614,
60.0,,3.713,,,,,,,1583.0,0.1707999999999999,0.67,0.1728,0.6488,0.0703,
65.0,,3.322,,,,,,,1638.0,0.1452,0.73,0.1654,0.6832,0.0687,
70.0,,2.991,,,,,,,1670.0,0.127,0.78,0.1909,0.7788,0.0494,
75.0,,2.689,,,,,,,1660.0,0.1114,0.79,0.1495,0.9021,0.0454,
80.0,,2.471,,,,,,,1637.0,0.1064,0.86,0.1583,0.9862,0.049,
85.0,,2.392,,,,,,,1583.0,0.118,0.84,0.1094,0.9367,0.0422,
90.0,,2.415,,,,,,,1529.0,0.1274,0.84,0.1008,0.8882,0.0528,
95.0,,2.5500000000000003,,,,,,,1518.0,0.1474,0.76,0.0783,0.7208,0.0506,
100.0,,2.696,,,,,,,1521.0,0.1668,0.67,0.0689,0.6283,0.0652,
105.0,,2.8110000000000004,,,,,,,1543.0,0.1478,0.73,0.0813,0.7101,0.057,
110.0,,2.6630000000000003,,,,,,,1591.0,0.1266,0.9,0.0953,0.7929,0.0653,
115.0,,2.623,,,,,,,1606.0,0.1205,0.92,0.1045,0.7685,0.0768,
120.0,,2.654,,,,,,,1606.0,0.1085,0.99,0.1163,0.7647,0.0754,
125.0,,2.536,,,,,,,1622.0,0.1217,0.83,0.1033,0.666,0.0564,
130.0,,2.37,,,,,,,1634.0,0.1096,0.87,0.1146,0.6925,0.0468,
135.0,,2.155,,,,,,,1648.0,0.0901,1.01,0.12,0.8276,0.0385,
140.0,,2.004,,,,,,,1646.0,0.0797,1.11,0.135,0.9829,0.0401,
145.0,,1.887,,,,,,,1699.0,0.0733,1.2,0.1262,0.9921,0.0553,
150.0,,1.878,,,,,,,1736.0,0.084,1.0,0.1105,0.6005,0.0521,
155.0,,1.844,,,,,,,1703.0,0.0695,1.13,0.1186,0.8868,0.0488,
160.0,,1.796,,,,,,,1581.0,0.0623,1.14,0.1337,0.8608,0.0419,
165.0,,1.655,,,,,,,1506.0,0.0622,0.98,0.1115,0.7631,0.0212,
170.0,,1.467,,,,,,,1510.0,0.0576,0.89,0.1214,0.5925,0.0136,
175.0,,1.259,,,,,,,1813.0,0.0366,1.12,0.1353,0.7021,0.0159,
180.0,,1.052,,,,,,,1449.0,0.0175,1.64,0.2864,1.2206,0.0277,
185.0,,0.778,,,,,,,1095.0,0.0037,6.31,0.8304,5.402,0.1293,
190.0,,0.5670000000000001,,,,,,,818.0,0.0182,1.13,0.171,0.9445,0.0251,
195.0,,0.489,,,,,,,611.0,0.0262,0.77,0.0829,0.615,0.0145,
200.0,,0.431,,,,,,,464.0,0.0166,1.13,0.1321,0.9074,0.0239,
205.0,,0.3979999999999999,,,,,,,264.0,0.0127,1.51,0.1633,1.1176,0.0263,
