Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.0,15.32,0.6335,0.0,0.1488,0.6995
5.0,,,,,,,,,0.0,-0.00528,0.0,16.28,0.6851,0.0,0.1563,0.7017
10.0,,,,,,,,,32.05,0.09183,0.0,0.16,0.0071,0.0,0.0036,0.0076
15.0,,,,,,,,,38.58,0.22831,0.0,0.43,0.0027,0.0,0.0245,0.0031
20.0,,,,,,,,,446.8,0.31916,3.7,1.32,0.0023,0.0,0.0312,0.0019
25.0,,,,,,,,,941.22,0.33818,163.0,1.72,0.0018,0.0,0.0342,0.0016
30.0,,,,,,,,,1052.31,0.38441,524.4,2.02,0.0072,0.0,0.0288,0.0014
35.0,,,,,,,,,1039.96,0.42195,721.5,2.02,0.006,0.0,0.024,0.0011
40.0,,,,,,,,,1054.3,0.45342,948.6,2.11,0.0199,0.0,0.0219,0.001
45.0,,,,,,,,,1039.52,0.48314,1065.3,2.1,0.0181,0.0,0.0199,0.0
50.0,,,,,,,,,1024.64,0.50844,1171.9,2.19,0.0291,0.0,0.0187,0.0
55.0,,,,,,,,,1019.39,0.52574,1249.8,2.26,0.0276,0.0,0.0177,0.0
60.0,,,,,,,,,1074.74,0.52911,1344.0,2.27,0.0273,0.0,0.0175,0.0
65.0,,,,,,,,,1117.54,0.50842,1384.2,2.32,0.0275,0.0,0.0177,0.0
70.0,,,,,,,,,1240.07,0.46942,1423.8,2.38,0.0303,0.0,0.0194,0.0
75.0,,,,,,,,,1314.04,0.42026,1446.5,2.37,0.0343,0.0,0.022,0.0
80.0,,,,,,,,,1434.71,0.37477,1380.9,2.31,0.0394,0.0,0.0252,0.0
85.0,,,,,,,,,1538.48,0.33085,1268.3,2.31,0.0455,0.0,0.0292,0.0
90.0,,,,,,,,,1739.02,0.27184,1136.1,2.37,0.0568,0.0,0.0364,0.0
95.0,,,,,,,,,2211.95,0.19176,1064.4,2.6,0.0862,0.0,0.0553,0.0
100.0,,,,,,,,,3542.27,0.09729,926.9,3.01,0.1817,0.0,0.1043,0.0
105.0,,,,,,,,,8068.78,0.02621,725.8,5.26,0.7422,0.0,0.2432,0.0
110.0,,,,,,,,,9999.99,0.0039,415.6,15.55,5.27,0.0,1.1966,0.0
115.0,,,,,,,,,9999.99,0.00096,179.2,41.02,21.8433,0.0,4.252,0.0
120.0,,,,,,,,,9999.99,0.00109,73.2,30.42,16.908,0.0,3.3617,0.0
125.0,,,,,,,,,2250.26,0.0032,42.9,9.85,5.443,0.0,1.0298,0.199
130.0,,,,,,,,,1119.09,0.00597,34.0,4.83,1.4217,0.0,0.5094,0.1077
135.0,,,,,,,,,1182.62,0.00597,28.2,4.53,1.422,0.0,0.4553,0.1077
140.0,,,,,,,,,0.0,-0.00036,21.7,26.34,3.5037,0.0,2.8619,0.6466
145.0,,,,,,,,,9999.99,0.00056,19.2,45.01,6.2379,0.0,4.1545,1.151
150.0,,,,,,,,,9999.99,0.00025,17.3,94.61,6.6513,0.0,8.7195,2.6485
155.0,,,,,,,,,2057.23,0.00407,13.9,5.66,0.403,0.0,0.48,0.0
160.0,,,,,,,,,0.0,-0.00257,11.9,21.76,1.0814,0.0,1.8086,0.0
165.0,,,,,,,,,0.0,-0.00069,10.4,20.57,1.0931,0.0,1.7022,0.6592
170.0,,,,,,,,,9999.99,0.00036,8.9,53.43,2.39,0.0,4.4269,1.848
175.0,,,,,,,,,9999.99,0.00035,8.2,51.0,2.4639,0.0,4.2824,0.0
180.0,,,,,,,,,8955.44,0.00086,7.7,20.7,0.7941,0.0,1.6404,0.0
185.0,,,,,,,,,9999.99,0.00069,6.6,23.49,0.9876,0.0,1.9257,0.9615
190.0,,,,,,,,,0.0,-0.00019,6.8,16.65,0.5362,0.0,1.2729,0.6657
195.0,,,,,,,,,0.0,-0.00033,5.5,16.99,0.5222,0.0,1.1991,0.6606
200.0,,,,,,,,,0.0,-0.00034,5.4,16.27,0.4178,0.0,1.1549,0.6668
205.0,,,,,,,,,9999.99,0.00038,5.4,45.04,1.1115,0.0,2.9397,1.7737
210.0,,,,,,,,,0.0,-0.00018,4.2,17.45,0.3317,0.0,1.0639,0.6706
215.0,,,,,,,,,0.0,-0.00385,3.4,16.9,0.3294,0.0,1.0181,0.666
220.0,,,,,,,,,8031.02,0.00048,3.8,34.7,0.5385,0.0,2.0284,1.379
225.0,,,,,,,,,1508.23,0.00236,4.2,7.51,0.1105,0.0,0.4014,0.272
230.0,,,,,,,,,0.0,-0.00086,3.6,19.32,0.2181,0.0,0.9215,0.6456
235.0,,,,,,,,,0.0,-0.00138,3.8,18.2,0.2196,0.0,0.8998,0.0
240.0,,,,,,,,,0.0,-0.0008,3.6,19.28,0.1997,0.0,0.8763,0.0
