Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,2.6,14.63,0.9164,0.0,0.0169,0.0
5.0,,,,,,,,,0.0,0.0,1.6,14.14,0.8873,0.0,0.0214,0.0
10.0,,,,,,,,,0.0,6.81,1.3,0.2,0.0118,0.0,0.0007,0.0
15.0,,,,,,,,,0.0,7.99,0.1,0.18,0.0102,0.0,0.0045,0.0087
20.0,,,,,,,,,0.0,9.7,1.0,0.15,0.0088,0.0,0.0044,0.0071
25.0,,,,,,,,,0.0,12.61,1.2,0.11,0.0071,0.0,0.0038,0.0
30.0,,,,,,,,,0.0,14.43,1.4,0.09,0.0066,0.0,0.0034,0.0
35.0,,,,,,,,,0.0,13.72,1.5,0.09,0.008,0.0,0.0031,0.0007
40.0,,,,,,,,,0.0,13.29,1.9,0.1,0.0064,0.0,0.0091,0.0007
45.0,,,,,,,,,22.79,13.79,2.6,0.23,0.0075,0.0,0.0134,0.005
50.0,,,,,,,,,388.23,13.41,6.1,0.62,0.0067,0.0,0.0083,0.0049
55.0,,,,,,,,,671.33,12.0,58.8,0.86,0.0218,0.0,0.0066,0.0
60.0,,,,,,,,,818.55,10.39,126.0,1.03,0.0266,0.0,0.0065,0.0
65.0,,,,,,,,,820.14,9.66,144.5,1.13,0.0313,0.0,0.0061,0.0
70.0,,,,,,,,,715.73,10.26,142.8,1.08,0.0468,0.0,0.0056,0.0
75.0,,,,,,,,,563.46,11.02,142.7,1.03,0.0565,0.0,0.0044,0.0059
80.0,,,,,,,,,399.14,11.2,143.9,0.98,0.0558,0.0,0.0016,0.0058
85.0,,,,,,,,,105.68,11.25,140.0,0.9,0.0535,0.0,0.0011,0.0
90.0,,,,,,,,,0.0,11.19,128.5,0.95,0.055,0.0,0.001,0.0
95.0,,,,,,,,,11.34,11.47,125.6,0.95,0.0419,0.0,0.001,0.0
100.0,,,,,,,,,98.8,11.55,129.1,0.98,0.0428,0.0,0.0009,0.0
105.0,,,,,,,,,95.8,11.02,134.8,1.07,0.0344,0.0,0.0011,0.0
110.0,,,,,,,,,127.15,10.94,136.6,1.09,0.0332,0.0,0.0011,0.0
115.0,,,,,,,,,84.03,10.22,145.6,1.16,0.0319,0.0,0.001,0.0063
120.0,,,,,,,,,128.36,9.25,149.5,1.29,0.0374,0.0,0.0014,0.007
125.0,,,,,,,,,176.11,9.32,146.9,1.24,0.0347,0.0,0.0014,0.0
130.0,,,,,,,,,173.28,9.52,144.5,1.17,0.0329,0.0,0.0016,0.0
