Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLR (g/s),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,,0.0,1.01,0.0,1.1181,,0.0001
5.0,,0.008,,,,,,,83.0,0.0241,1.78,0.0021,1.2385,,0.0
10.0,,0.0,,,,,,,124.0,0.0409999999999999,1.78,,0.9642,,0.0
15.0,,0.272,,,,,,,165.0,0.0666,1.93,0.0014,1.1166,,0.0
20.0,,1.414,,,,,,,206.0,0.0925,1.69,0.0048,0.634,,0.0
25.0,,2.4530000000000003,,,,,,,247.0,0.1291,1.68,0.0043,0.712,,0.0
30.0,,3.197,,,,,,,289.0,0.1446,1.37,0.0091,0.5299,,0.0
35.0,,3.648,,,,,,,330.0,0.1642,1.36,0.009,0.5775,,0.0
40.0,,3.794,,,,,,,327.0,0.166,1.51,0.0172,0.5769,,0.0
45.0,,3.693,,,,,,,316.0,0.1491,1.23,0.0161,0.5567,,0.0
50.0,,3.731,,,,,,,307.0,0.1565,1.4,0.0208,0.5449,,0.0
55.0,,3.452,,,,,,,307.0,0.1452,1.35,0.022,0.7167,,0.0
60.0,,3.194,,,,,,,315.0,0.1366,1.48,0.0231,0.6322,,0.0
65.0,,3.21,,,,,,,333.0,0.1266,1.63,0.0244,0.8794,,0.0
70.0,,3.014,,,,,,,340.0,0.12,1.65,0.0195,0.8753,,0.0
75.0,,3.215,,,,,,,341.0,0.1288,1.8,0.0182,0.8765,,0.0
80.0,,3.192,,,,,,,332.0,0.1389,1.93,0.0154,0.9285,,0.0
85.0,,3.619,,,,,,,322.0,0.143,1.87,0.014,0.8577,,0.0
90.0,,4.025,,,,,,,315.0,0.1551,1.8,0.0127,0.811,,0.0
95.0,,4.394,,,,,,,318.0,0.1614,1.69,0.0121,0.7993,,0.0
100.0,,4.46,,,,,,,336.0,0.1657999999999999,1.66,0.0127,0.7271,,0.0
105.0,,4.482,,,,,,,351.0,0.1657,1.72,0.0132,0.7693,,0.0
110.0,,4.471,,,,,,,378.0,0.1595,1.62,0.0144,0.7513,,0.0
115.0,,4.429,,,,,,,401.0,0.1606,1.68,0.0159,0.7551,,0.0
120.0,,4.338,,,,,,,435.0,0.1461,1.67,0.0168,0.7003,,0.0
125.0,,4.148000000000001,,,,,,,468.0,0.1469,1.64,0.0178,0.775,,0.0
130.0,,4.0600000000000005,,,,,,,496.0,0.1382,1.51,0.0203,0.7038,,0.0
135.0,,3.941,,,,,,,527.0,0.138,1.44,0.0212,0.6037,,0.0
140.0,,3.646,,,,,,,558.0,0.1336,1.42,0.0255,0.6442,,0.0
145.0,,3.4210000000000003,,,,,,,643.0,0.1209,1.91,0.0297,0.7407,,0.0
150.0,,3.085,,,,,,,894.0,0.1068,2.1,0.0384,0.6592,,0.0
155.0,,3.023,,,,,,,1266.0,0.078,1.93,0.08,0.4386,,0.0
160.0,,3.256,,,,,,,1358.0,0.0386,2.07,0.2518,0.4283,,0.0001
165.0,,2.256,,,,,,,1209.0,0.0048,1.76,0.6316,1.1324,,0.0003
170.0,,0.8740000000000001,,,,,,,945.0,0.0117,1.02,0.9206,1.671,,0.0009
175.0,,0.311,,,,,,,697.0,0.0024,,0.4972,1.5422,,0.0002
180.0,,0.158,,,,,,,468.0,-0.0045,,1.3641,0.9809,,0.0015
185.0,,0.109,,,,,,,263.0,-0.0104,,1.3751,0.3232,,0.0009
190.0,,0.081,,,,,,,91.0,-0.0096,,0.7661,,,0.002
195.0,,0.064,,,,,,,-13.0,0.002,,0.3902,,,0.001
200.0,,0.059,,,,,,,22.0,-0.0049,,0.8736,,,0.005
205.0,,0.047,,,,,,,-11.0,0.0004,,0.3924,,,0.0019
210.0,,0.034,,,,,,,-44.0,-0.0069999999999999,0.05,0.0246,,,0.0001
215.0,,0.03,,,,,,,-77.0,0.0105,,0.0069,,,0.0
220.0,,0.043,,,,,,,-110.0,0.0375,,,,,
