Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),MLRPUA (g/s-m2),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,,,,,,,,,0.0,0.0,0.9,20.8,0.0,2.2477,0.0552,0.0
5.0,,,,,,,,,0.0,0.0,0.0,20.47,0.0307,0.0,0.0595,0.0
10.0,,,,,,,,,641.98,0.18,0.6,11.27,0.0166,0.0,0.0763,0.0
15.0,,,,,,,,,0.0,0.34,0.7,6.32,0.0022,0.7547,0.0465,0.0
20.0,,,,,,,,,254.38,1.39,1.3,1.53,0.0,2.751,0.0417,0.0
25.0,,,,,,,,,64.1,5.26,0.6,1.29,0.0,1.2372,0.0501,0.0
30.0,,,,,,,,,130.29,9.65,10.1,1.86,0.0017,0.6291,0.0184,0.0
35.0,,,,,,,,,844.75,10.76,161.3,1.59,0.0019,0.5142,0.0152,0.0
40.0,,,,,,,,,1141.68,10.4,209.6,1.63,0.0069,0.5217,0.0125,0.0
45.0,,,,,,,,,1190.05,10.38,198.8,1.63,0.0062,0.5722,0.0138,0.0
50.0,,,,,,,,,1188.74,10.38,196.7,1.65,0.0087,0.6272,0.0131,0.0
55.0,,,,,,,,,1174.43,10.79,201.0,1.64,0.0091,0.595,0.0133,0.0
60.0,,,,,,,,,1142.89,11.21,206.9,1.61,0.0123,0.5471,0.0127,0.0
65.0,,,,,,,,,1246.49,10.85,214.2,1.59,0.0121,0.5714,0.011,0.0
70.0,,,,,,,,,1218.88,10.26,212.2,1.68,0.011,0.6437,0.0106,0.0
75.0,,,,,,,,,1060.96,10.76,198.4,1.67,0.0109,0.6277,0.0104,0.0
80.0,,,,,,,,,912.36,11.8,203.5,1.58,0.0107,0.5998,0.0113,0.0
85.0,,,,,,,,,892.16,12.31,216.4,1.59,0.0113,0.5541,0.0085,0.0
90.0,,,,,,,,,911.73,12.07,224.0,1.52,0.0106,0.5801,0.0098,0.0
95.0,,,,,,,,,918.6,11.96,218.5,1.64,0.01,0.6108,0.0098,0.0
100.0,,,,,,,,,956.68,12.47,223.5,1.55,0.0106,0.5765,0.0124,0.0
105.0,,,,,,,,,935.84,12.53,223.9,1.6,0.011,0.5569,0.0083,0.0
110.0,,,,,,,,,984.88,12.38,226.8,1.62,0.0109,0.5636,0.0075,0.0
115.0,,,,,,,,,918.11,12.64,232.6,1.57,0.0105,0.5689,0.0116,0.0
120.0,,,,,,,,,884.28,12.98,228.5,1.58,0.0098,0.5931,0.0123,0.0
125.0,,,,,,,,,899.57,13.57,235.1,1.54,0.0095,0.5874,0.0078,0.0
130.0,,,,,,,,,944.64,14.01,242.2,1.53,0.0103,0.5628,0.0085,0.0
135.0,,,,,,,,,950.98,13.92,249.3,1.51,0.0107,0.5459,0.0114,0.0
140.0,,,,,,,,,1011.01,13.55,247.5,1.57,0.0119,0.5541,0.0116,0.0
145.0,,,,,,,,,1033.07,13.65,249.3,1.54,0.0123,0.536,0.0112,0.0
150.0,,,,,,,,,1012.53,14.2,250.9,1.46,0.0131,0.5065,0.009,0.0
155.0,,,,,,,,,992.39,13.86,245.9,1.45,0.0125,0.5407,0.0098,0.0
160.0,,,,,,,,,1052.06,13.28,240.7,1.56,0.0127,0.5435,0.0078,0.0
165.0,,,,,,,,,1079.6,12.93,240.2,1.64,0.0121,0.5833,0.0101,0.0
170.0,,,,,,,,,1056.46,12.97,246.7,1.56,0.0123,0.5431,0.0109,0.0
175.0,,,,,,,,,1058.76,13.25,240.1,1.51,0.0118,0.5524,0.0105,0.0
180.0,,,,,,,,,1019.97,13.03,235.1,1.53,0.0122,0.5343,0.0099,0.0
185.0,,,,,,,,,1027.98,13.17,237.5,1.5,0.0126,0.5164,0.0115,0.0
190.0,,,,,,,,,1074.75,12.72,232.4,1.52,0.0123,0.5363,0.0091,0.0
195.0,,,,,,,,,1128.61,11.79,227.7,1.63,0.0121,0.576,0.0087,0.0
200.0,,,,,,,,,1005.08,12.41,224.8,1.56,0.0116,0.5358,0.0071,0.0
205.0,,,,,,,,,985.92,12.79,228.1,1.49,0.0118,0.5167,0.0076,0.0
210.0,,,,,,,,,1075.32,11.55,221.0,1.59,0.0115,0.5482,0.0128,0.0
215.0,,,,,,,,,1142.1,10.66,218.7,1.68,0.0118,0.5684,0.0113,0.0
220.0,,,,,,,,,1094.37,10.52,208.8,1.68,0.0119,0.5489,0.0077,0.0
225.0,,,,,,,,,1071.45,10.46,206.2,1.62,0.0118,0.5547,0.0084,0.0
230.0,,,,,,,,,1015.7,10.73,201.4,1.55,0.0114,0.5342,0.0112,0.0
235.0,,,,,,,,,986.12,10.68,195.4,1.53,0.0116,0.5265,0.0069,0.0
240.0,,,,,,,,,1003.65,9.94,188.5,1.54,0.0116,0.5155,0.0074,0.0
245.0,,,,,,,,,956.12,9.31,182.0,1.62,0.0121,0.5287,0.008,0.0
250.0,,,,,,,,,1084.04,8.94,178.5,1.67,0.0118,0.5059,0.007,0.0
255.0,,,,,,,,,989.03,8.56,174.0,1.64,0.0115,0.5315,0.0058,0.0
260.0,,,,,,,,,937.55,8.54,168.7,1.62,0.0105,0.5082,0.0057,0.0
265.0,,,,,,,,,950.09,8.4,159.2,1.56,0.0109,0.4971,0.0067,0.0
270.0,,,,,,,,,920.65,7.58,156.6,1.69,0.01,0.5208,0.0055,0.0
275.0,,,,,,,,,1004.37,6.81,150.6,1.83,0.01,0.5694,0.0058,0.0001
280.0,,,,,,,,,891.13,7.12,144.0,1.73,0.009,0.5229,0.0044,0.0
285.0,,,,,,,,,790.33,7.54,142.4,1.57,0.0093,0.4746,0.004,0.0
290.0,,,,,,,,,837.06,6.85,135.9,1.63,0.0081,0.5036,0.0044,0.0
295.0,,,,,,,,,831.55,5.85,128.9,1.85,0.0081,0.5773,0.0045,0.0
300.0,,,,,,,,,908.72,5.1,118.7,2.12,0.0072,0.6142,0.0043,0.0
305.0,,,,,,,,,926.08,4.99,121.9,2.05,0.0086,0.5475,0.0041,0.0
310.0,,,,,,,,,862.75,5.12,113.0,2.0,0.0074,0.5332,0.0037,0.0
315.0,,,,,,,,,773.99,5.31,111.4,1.83,0.0073,0.5187,0.0034,0.0
320.0,,,,,,,,,694.91,5.35,108.8,1.74,0.0062,0.4987,0.0031,0.0
325.0,,,,,,,,,638.02,4.6,101.2,1.92,0.0072,0.4978,0.0035,0.0
330.0,,,,,,,,,605.85,4.4,97.0,1.94,0.0068,0.4491,0.0033,0.0
335.0,,,,,,,,,575.1,4.84,93.3,1.72,0.0067,0.4003,0.0029,0.0
340.0,,,,,,,,,467.05,4.56,90.1,1.7,0.0054,0.406,0.0029,0.0
345.0,,,,,,,,,501.24,3.67,86.9,2.08,0.0059,0.4866,0.0036,0.0
350.0,,,,,,,,,478.74,3.39,84.7,2.19,0.0059,0.4206,0.0038,0.0
355.0,,,,,,,,,410.63,3.64,81.9,2.0,0.0064,0.3216,0.0034,0.0001
360.0,,,,,,,,,376.99,3.47,76.1,1.95,0.0051,0.3944,0.0035,0.0
365.0,,,,,,,,,370.36,3.19,75.9,2.13,0.0059,0.3617,0.0037,0.0001
370.0,,,,,,,,,270.48,3.19,69.5,2.06,0.0053,0.3768,0.0038,0.0
375.0,,,,,,,,,222.76,3.21,68.8,1.98,0.0058,0.3179,0.0037,0.0
