Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLRPUA (g/s-m2),HRRPUA (kW/m2)
0.0,,,,,,,,,,0.0
3.0,,,,,,,,,,-0.0828
6.0,,,,,,,,,,-3.1763
9.0,,,,,,,,,,3.7756
12.0,,,,,,,,,,18.1359
15.0,,,,,,,,,,73.3343
18.0,,,,,,,,,,140.3541
21.0,,,,,,,,,,183.6317
24.0,,,,,,,,,,199.415
27.0,,,,,,,,,,203.7284
30.0,,,,,,,,,,208.433
33.0,,,,,,,,,,205.0864
36.0,,,,,,,,,,205.6898
39.0,,,,,,,,,,203.3103
42.0,,,,,,,,,,200.9474
45.0,,,,,,,,,,197.177
48.0,,,,,,,,,,192.7971
51.0,,,,,,,,,,190.5734
54.0,,,,,,,,,,187.0054
57.0,,,,,,,,,,180.9249
60.0,,,,,,,,,,179.4736
63.0,,,,,,,,,,174.0708
66.0,,,,,,,,,,173.9828
69.0,,,,,,,,,,171.7366
72.0,,,,,,,,,,171.5264
75.0,,,,,,,,,,167.743
78.0,,,,,,,,,,165.4291
81.0,,,,,,,,,,163.7721
84.0,,,,,,,,,,158.622
87.0,,,,,,,,,,159.3608
90.0,,,,,,,,,,153.0504
93.0,,,,,,,,,,151.1962
96.0,,,,,,,,,,148.8195
99.0,,,,,,,,,,148.1834
102.0,,,,,,,,,,149.1953
105.0,,,,,,,,,,146.5916
108.0,,,,,,,,,,143.6566
111.0,,,,,,,,,,143.5985
114.0,,,,,,,,,,141.0416
117.0,,,,,,,,,,138.2656
120.0,,,,,,,,,,137.8096
123.0,,,,,,,,,,135.1402
126.0,,,,,,,,,,132.38
129.0,,,,,,,,,,130.9532
132.0,,,,,,,,,,135.6852
135.0,,,,,,,,,,131.0953
138.0,,,,,,,,,,132.6474
141.0,,,,,,,,,,129.3847
144.0,,,,,,,,,,128.2314
147.0,,,,,,,,,,125.9928
150.0,,,,,,,,,,125.7131
153.0,,,,,,,,,,126.0303
156.0,,,,,,,,,,125.0477
159.0,,,,,,,,,,121.0455
162.0,,,,,,,,,,123.9926
165.0,,,,,,,,,,118.8616
168.0,,,,,,,,,,121.9849
171.0,,,,,,,,,,117.1729
174.0,,,,,,,,,,120.7495
177.0,,,,,,,,,,119.3983
180.0,,,,,,,,,,118.7703
183.0,,,,,,,,,,119.0249
186.0,,,,,,,,,,114.6372
189.0,,,,,,,,,,115.5396
192.0,,,,,,,,,,116.8996
195.0,,,,,,,,,,115.7
198.0,,,,,,,,,,115.2208
201.0,,,,,,,,,,114.7866
204.0,,,,,,,,,,116.3909
207.0,,,,,,,,,,116.1446
210.0,,,,,,,,,,113.8959
213.0,,,,,,,,,,115.058
216.0,,,,,,,,,,113.1364
219.0,,,,,,,,,,114.9801
222.0,,,,,,,,,,111.9771
225.0,,,,,,,,,,116.3132
228.0,,,,,,,,,,111.7184
231.0,,,,,,,,,,113.8588
234.0,,,,,,,,,,111.2875
237.0,,,,,,,,,,112.6233
240.0,,,,,,,,,,110.8233
243.0,,,,,,,,,,110.6117
246.0,,,,,,,,,,111.0213
249.0,,,,,,,,,,110.6135
252.0,,,,,,,,,,111.1276
255.0,,,,,,,,,,112.7272
258.0,,,,,,,,,,111.3446
261.0,,,,,,,,,,108.705
264.0,,,,,,,,,,111.1659
267.0,,,,,,,,,,109.0381
270.0,,,,,,,,,,108.5394
273.0,,,,,,,,,,110.5462
276.0,,,,,,,,,,108.0524
279.0,,,,,,,,,,106.6149
282.0,,,,,,,,,,110.1442
285.0,,,,,,,,,,106.2886
288.0,,,,,,,,,,104.4632
291.0,,,,,,,,,,111.271
294.0,,,,,,,,,,110.2194
297.0,,,,,,,,,,105.2032
300.0,,,,,,,,,,106.9446
303.0,,,,,,,,,,106.9401
306.0,,,,,,,,,,104.1908
309.0,,,,,,,,,,106.4204
312.0,,,,,,,,,,107.0846
315.0,,,,,,,,,,104.066
318.0,,,,,,,,,,106.2075
321.0,,,,,,,,,,104.7456
324.0,,,,,,,,,,107.9438
327.0,,,,,,,,,,104.9675
330.0,,,,,,,,,,106.3618
333.0,,,,,,,,,,105.3992
336.0,,,,,,,,,,102.8352
339.0,,,,,,,,,,98.9954
342.0,,,,,,,,,,103.1911
345.0,,,,,,,,,,103.3165
348.0,,,,,,,,,,102.9514
351.0,,,,,,,,,,104.499
354.0,,,,,,,,,,103.7217
357.0,,,,,,,,,,104.8194
360.0,,,,,,,,,,103.2306
363.0,,,,,,,,,,102.3633
366.0,,,,,,,,,,104.1538
369.0,,,,,,,,,,102.1603
372.0,,,,,,,,,,103.8034
375.0,,,,,,,,,,103.6956
378.0,,,,,,,,,,105.5476
381.0,,,,,,,,,,102.2832
384.0,,,,,,,,,,101.5142
387.0,,,,,,,,,,104.6214
390.0,,,,,,,,,,101.9147
393.0,,,,,,,,,,104.6501
396.0,,,,,,,,,,103.3748
399.0,,,,,,,,,,103.3707
402.0,,,,,,,,,,102.0473
405.0,,,,,,,,,,101.889
408.0,,,,,,,,,,107.3459
411.0,,,,,,,,,,102.0698
414.0,,,,,,,,,,108.5153
417.0,,,,,,,,,,101.3511
420.0,,,,,,,,,,101.6269
423.0,,,,,,,,,,105.8772
426.0,,,,,,,,,,104.4595
429.0,,,,,,,,,,102.6725
432.0,,,,,,,,,,105.8357
435.0,,,,,,,,,,106.8602
438.0,,,,,,,,,,103.5703
441.0,,,,,,,,,,102.3128
444.0,,,,,,,,,,104.0638
447.0,,,,,,,,,,102.559
450.0,,,,,,,,,,107.1797
453.0,,,,,,,,,,103.3281
456.0,,,,,,,,,,102.3633
459.0,,,,,,,,,,104.9104
462.0,,,,,,,,,,104.2418
465.0,,,,,,,,,,103.0975
468.0,,,,,,,,,,103.4492
471.0,,,,,,,,,,106.4464
474.0,,,,,,,,,,105.522
477.0,,,,,,,,,,104.9777
480.0,,,,,,,,,,104.5036
483.0,,,,,,,,,,102.8383
486.0,,,,,,,,,,105.3192
489.0,,,,,,,,,,104.4505
492.0,,,,,,,,,,103.894
495.0,,,,,,,,,,104.1414
498.0,,,,,,,,,,107.4207
501.0,,,,,,,,,,105.4551
504.0,,,,,,,,,,106.568
507.0,,,,,,,,,,105.4679
510.0,,,,,,,,,,105.4427
513.0,,,,,,,,,,106.4735
516.0,,,,,,,,,,106.1
519.0,,,,,,,,,,105.7722
522.0,,,,,,,,,,105.7533
525.0,,,,,,,,,,105.3891
528.0,,,,,,,,,,106.861
531.0,,,,,,,,,,107.3067
534.0,,,,,,,,,,106.2866
537.0,,,,,,,,,,105.7248
540.0,,,,,,,,,,107.3969
543.0,,,,,,,,,,109.5277
546.0,,,,,,,,,,106.4428
549.0,,,,,,,,,,105.5154
552.0,,,,,,,,,,108.7637
555.0,,,,,,,,,,109.6606
558.0,,,,,,,,,,106.2532
561.0,,,,,,,,,,107.738
564.0,,,,,,,,,,106.2277
567.0,,,,,,,,,,108.778
570.0,,,,,,,,,,107.0335
573.0,,,,,,,,,,108.2864
576.0,,,,,,,,,,106.1414
579.0,,,,,,,,,,108.8175
582.0,,,,,,,,,,109.8801
585.0,,,,,,,,,,109.4574
588.0,,,,,,,,,,110.9138
591.0,,,,,,,,,,108.3358
594.0,,,,,,,,,,110.1472
597.0,,,,,,,,,,110.1018
600.0,,,,,,,,,,111.367
603.0,,,,,,,,,,112.663
606.0,,,,,,,,,,111.2307
609.0,,,,,,,,,,110.9768
612.0,,,,,,,,,,112.1874
615.0,,,,,,,,,,112.4371
618.0,,,,,,,,,,111.348
621.0,,,,,,,,,,112.6877
624.0,,,,,,,,,,110.4571
627.0,,,,,,,,,,113.8483
630.0,,,,,,,,,,112.1212
633.0,,,,,,,,,,114.5261
636.0,,,,,,,,,,113.1951
639.0,,,,,,,,,,114.447
642.0,,,,,,,,,,114.5387
645.0,,,,,,,,,,116.0284
648.0,,,,,,,,,,113.8708
651.0,,,,,,,,,,117.3773
654.0,,,,,,,,,,117.8564
657.0,,,,,,,,,,119.1548
660.0,,,,,,,,,,115.0537
663.0,,,,,,,,,,118.9278
666.0,,,,,,,,,,120.4602
669.0,,,,,,,,,,119.1113
672.0,,,,,,,,,,121.4611
675.0,,,,,,,,,,121.1458
678.0,,,,,,,,,,120.2551
681.0,,,,,,,,,,123.3016
684.0,,,,,,,,,,126.2652
687.0,,,,,,,,,,123.076
690.0,,,,,,,,,,124.5852
693.0,,,,,,,,,,126.9016
696.0,,,,,,,,,,124.3869
699.0,,,,,,,,,,124.58
702.0,,,,,,,,,,127.6732
705.0,,,,,,,,,,128.6881
708.0,,,,,,,,,,128.875
711.0,,,,,,,,,,132.6451
714.0,,,,,,,,,,127.3024
717.0,,,,,,,,,,130.0306
720.0,,,,,,,,,,135.0838
723.0,,,,,,,,,,134.635
726.0,,,,,,,,,,134.2205
729.0,,,,,,,,,,136.8776
732.0,,,,,,,,,,136.4949
735.0,,,,,,,,,,139.8512
738.0,,,,,,,,,,139.3313
741.0,,,,,,,,,,138.9623
744.0,,,,,,,,,,141.6459
747.0,,,,,,,,,,142.5001
750.0,,,,,,,,,,144.3733
753.0,,,,,,,,,,144.2715
756.0,,,,,,,,,,148.2289
759.0,,,,,,,,,,144.8958
762.0,,,,,,,,,,146.2427
765.0,,,,,,,,,,148.9037
768.0,,,,,,,,,,153.7645
771.0,,,,,,,,,,153.6747
774.0,,,,,,,,,,151.565
777.0,,,,,,,,,,152.3655
780.0,,,,,,,,,,155.4032
783.0,,,,,,,,,,155.5962
786.0,,,,,,,,,,158.8161
789.0,,,,,,,,,,159.2761
792.0,,,,,,,,,,161.3011
795.0,,,,,,,,,,161.4118
798.0,,,,,,,,,,160.8465
801.0,,,,,,,,,,164.7658
804.0,,,,,,,,,,166.6527
807.0,,,,,,,,,,167.5749
810.0,,,,,,,,,,165.0639
813.0,,,,,,,,,,166.4317
816.0,,,,,,,,,,166.6151
819.0,,,,,,,,,,169.4319
822.0,,,,,,,,,,167.798
825.0,,,,,,,,,,172.1842
828.0,,,,,,,,,,169.7585
831.0,,,,,,,,,,172.6582
834.0,,,,,,,,,,170.9665
837.0,,,,,,,,,,172.8739
840.0,,,,,,,,,,169.8104
843.0,,,,,,,,,,172.2285
846.0,,,,,,,,,,171.7503
849.0,,,,,,,,,,175.7745
852.0,,,,,,,,,,171.4989
855.0,,,,,,,,,,176.1957
858.0,,,,,,,,,,175.1851
861.0,,,,,,,,,,172.997
864.0,,,,,,,,,,172.11
867.0,,,,,,,,,,175.1807
870.0,,,,,,,,,,169.6294
873.0,,,,,,,,,,176.1844
876.0,,,,,,,,,,172.1607
879.0,,,,,,,,,,172.7841
882.0,,,,,,,,,,171.9809
885.0,,,,,,,,,,174.4286
888.0,,,,,,,,,,171.265
891.0,,,,,,,,,,174.8741
894.0,,,,,,,,,,173.776
897.0,,,,,,,,,,171.3818
900.0,,,,,,,,,,171.3245
903.0,,,,,,,,,,167.9561
906.0,,,,,,,,,,169.3502
909.0,,,,,,,,,,167.957
912.0,,,,,,,,,,170.1896
915.0,,,,,,,,,,169.3862
918.0,,,,,,,,,,166.5095
921.0,,,,,,,,,,163.5443
924.0,,,,,,,,,,165.2305
927.0,,,,,,,,,,165.125
930.0,,,,,,,,,,163.5986
933.0,,,,,,,,,,159.4517
936.0,,,,,,,,,,161.4814
939.0,,,,,,,,,,158.809
942.0,,,,,,,,,,159.1353
945.0,,,,,,,,,,161.8774
948.0,,,,,,,,,,152.3605
951.0,,,,,,,,,,152.8616
954.0,,,,,,,,,,155.7197
957.0,,,,,,,,,,150.4496
960.0,,,,,,,,,,149.115
963.0,,,,,,,,,,149.2824
966.0,,,,,,,,,,145.9058
969.0,,,,,,,,,,140.923
972.0,,,,,,,,,,143.8626
975.0,,,,,,,,,,139.2461
