Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m)
59,19.344703,-0.04012738,0.027081049,311.115,0.209622809,0.000502805,3.58E-05,0.109471285
60,19.324667,-0.024726219,0.027163209,311.138,0.209595039,0.000486802,3.50E-05,0.125780483
61,19.324788,0.000638393,0.027211967,311.16,0.209546108,0.00047696,3.39E-05,0.094287821
62,19.324613,0.017540127,0.026686427,311.164,0.209511136,0.000477718,3.38E-05,0.116254539
63,19.324883,0.000227231,0.02719114,311.158,0.209542202,0.000496914,3.55E-05,0.101927996
64,19.242776,-0.017781882,0.02731765,311.155,0.209572413,0.000520586,3.87E-05,0.107038488
65,19.223683,-0.014557025,0.027130998,311.154,0.209567576,0.000508716,4.17E-05,0.123441914
66,19.291504,-0.002292065,0.026963006,311.201,0.209546319,0.000491303,4.19E-05,0.111906102
67,19.321098,0.020596968,0.026866778,311.206,0.209501037,0.000484139,4.17E-05,0.111653184
68,19.324248,0.01708263,0.0269464,311.213,0.209507438,0.000488076,4.19E-05,0.112403689
69,19.311217,-0.004562785,0.027415314,311.24,0.209548118,0.00050227,4.30E-05,0.121206624
70,19.320866,-0.02157321,0.027227839,311.268,0.209577333,0.000522554,4.57E-05,0.130890582
71,19.324516,-0.021741282,0.026498546,311.283,0.209582693,0.000503181,4.65E-05,0.092171928
72,19.323937,-0.009050086,0.027124775,311.301,0.209559507,0.000488325,4.51E-05,0.127669957
73,19.324148,0.014719987,0.027606768,311.314,0.209513251,0.000483356,4.40E-05,0.1134029
74,19.324395,0.005541112,0.027392309,311.31,0.209530167,0.000489112,4.42E-05,0.11560935
75,19.324325,-0.019363046,0.027279744,311.311,0.209574236,0.000514924,4.62E-05,0.115285704
76,19.324618,-0.025110947,0.027040071,311.297,0.20958459,0.000518579,4.89E-05,0.090962643
77,19.243659,-0.014978491,0.027080874,311.291,0.209566888,0.000504701,4.87E-05,0.147649899
78,19.223965,0.00364109,0.026569908,311.312,0.209532835,0.000488867,4.70E-05,0.116567403
79,19.223699,0.026118423,0.027077998,311.304,0.209488956,0.000483313,4.56E-05,0.099932639
80,19.223782,0.010011456,0.027068837,311.329,0.209519534,0.000494097,4.53E-05,0.131994511
81,19.143904,-0.013010634,0.026774484,311.362,0.209561657,0.000515001,4.69E-05,0.097032268
82,19.125005,-0.030050987,0.026863677,311.386,0.209594754,0.000516885,5.07E-05,0.105965198
83,19.125087,-0.029217021,0.026849633,311.409,0.209596536,0.000499535,5.12E-05,0.101890026
84,19.124791,-0.012138694,0.026282027,311.448,0.20956505,0.000486321,5.07E-05,0.116141129
85,19.125146,0.006813221,0.026842642,311.448,0.209525978,0.000485387,5.04E-05,0.127310663
86,19.12519,-0.0084305,0.026257833,311.461,0.209555072,0.000496877,5.07E-05,0.105906255
87,19.044589,-0.027031759,0.026773475,311.463,0.209587895,0.000517918,5.26E-05,0.081651154
88,19.105549,-0.03520017,0.027226066,311.479,0.209603141,0.000516059,5.47E-05,0.114426506
89,19.04385,-0.027863541,0.026778717,311.489,0.209593664,0.000496533,5.38E-05,0.135252979
90,19.024421,-0.007321768,0.026335087,311.517,0.209554947,0.000484536,5.17E-05,0.121320851
91,19.024859,0.006148888,0.026755306,311.512,0.209526943,0.000486558,5.07E-05,0.109124492
92,19.024586,-0.004844393,0.027132198,311.525,0.209544835,0.000507295,5.14E-05,0.089059092
93,19.024446,-0.020002097,0.02651894,311.54,0.209572848,0.000521762,5.31E-05,0.072436283
94,19.024648,-0.025548908,0.026802063,311.569,0.209584625,0.000515083,5.48E-05,0.112608037
95,19.024855,-0.009339894,0.026359417,311.59,0.209555957,0.000496438,5.37E-05,0.141609033
96,18.944749,0.01541375,0.026537468,311.6,0.209507414,0.000485282,5.21E-05,0.111375655
97,18.924938,0.022556952,0.026738376,311.618,0.209491184,0.000494163,5.19E-05,0.160491708
98,18.924569,0.003453601,0.026340583,311.641,0.209525536,0.000514214,5.37E-05,0.153258323
99,18.924849,-0.015878057,0.026699109,311.643,0.209560836,0.000531293,5.67E-05,0.185197696
100,18.925044,-0.024445454,0.026423454,311.648,0.209580718,0.00051832,5.97E-05,0.136110032
101,18.837476,-0.016606218,0.026853236,311.638,0.209567701,0.000500977,5.90E-05,0.182530051
102,18.82362,0.008501324,0.026973223,311.641,0.20951866,0.000491805,5.79E-05,0.167029783
103,18.825392,0.011079493,0.026871876,311.65,0.209512897,0.000494281,5.76E-05,0.178402233
104,18.810194,-0.002728176,0.026294841,311.654,0.209535651,0.000519619,5.86E-05,0.189296506
105,18.821452,-0.015854871,0.026399599,311.665,0.209559608,0.000531773,6.09E-05,0.208691957
106,18.825522,-0.009398438,0.026305406,311.66,0.209547299,0.000524431,6.23E-05,0.160547515
107,18.823052,0.006997251,0.026595102,311.632,0.209517657,0.000505093,6.10E-05,0.181674604
108,18.824484,0.029373064,0.026520516,311.634,0.209472412,0.000499722,6.08E-05,0.253007087
109,18.824929,0.023517707,0.026646246,311.623,0.209481803,0.000511873,6.21E-05,0.209202516
110,18.825607,0.003128713,0.026353729,311.609,0.209519001,0.000531161,6.43E-05,0.231233421
111,18.744211,-0.010375629,0.026648434,311.646,0.209542387,0.000546189,6.84E-05,0.233882108
112,18.724891,-0.015461868,0.026654572,311.657,0.209556097,0.000528561,6.98E-05,0.218709242
113,18.806423,-0.002088332,0.026738259,311.658,0.209530569,0.000517599,7.04E-05,0.208539083
114,18.743668,0.017808562,0.026733816,311.671,0.209488574,0.000520705,7.16E-05,0.225115027
115,18.725422,3.17E-06,0.026968099,311.69,0.209521173,0.000535579,7.42E-05,0.240112949
116,18.72538,-0.017145165,0.026626509,311.673,0.209548651,0.000566204,7.86E-05,0.286944291
117,18.645193,-0.025188719,0.026755591,311.647,0.209563809,0.000565516,8.25E-05,0.324239123
118,18.625939,-0.019686174,0.026630135,311.661,0.209557048,0.000543899,8.30E-05,0.275053201
119,18.626202,0.006763067,0.026718538,311.675,0.20950507,0.000531969,8.28E-05,0.242183384
120,18.544452,0.023876753,0.026814725,311.696,0.209468185,0.000540081,8.31E-05,0.219357032
121,18.525381,0.008662626,0.027128197,311.711,0.20949563,0.000555828,8.51E-05,0.32613398
122,18.52571,-0.009445777,0.026963204,311.728,0.209525625,0.00058242,8.87E-05,0.266382625
123,18.525611,-0.010833982,0.027101917,311.727,0.209528669,0.000574616,9.25E-05,0.328532326
124,18.525628,-0.00188199,0.026763302,311.726,0.209514232,0.000555007,9.37E-05,0.301055108
125,18.525376,0.018591886,0.027071315,311.762,0.209472676,0.000552841,9.48E-05,0.399601587
126,18.445173,0.029431968,0.027269049,311.797,0.209449907,0.000555332,9.67E-05,0.278061345
127,18.425118,0.009479907,0.027092173,311.826,0.209483239,0.000582108,0.000100103,0.39133044
128,18.425399,-0.009220701,0.027074561,311.862,0.209515638,0.00060158,0.000104423,0.365104346
129,18.425382,-0.011839551,0.027010103,311.87,0.209521273,0.000593592,0.000108522,0.359142696
130,18.42541,0.004136904,0.026885741,311.877,0.209491784,0.000578331,0.000108867,0.403761089
131,18.424836,0.03416851,0.026890658,311.898,0.209430803,0.000575897,0.000109046,0.363811201
132,18.344059,0.04649499,0.026245381,311.923,0.209400136,0.000586816,0.000111421,0.40466925
133,18.325519,0.037343182,0.026969966,311.943,0.209414667,0.000614689,0.000114069,0.398994103
134,18.32537,0.028141179,0.027000419,311.945,0.209426943,0.000638928,0.000118343,0.472264199
135,18.242307,0.027806487,0.02695454,311.949,0.209427875,0.00063135,0.000121936,0.404782343
136,18.218836,0.047773956,0.026956881,311.965,0.209389023,0.000621515,0.000122429,0.441171437
137,18.221353,0.07144751,0.02684472,311.964,0.209339713,0.000622448,0.000122968,0.282151814
138,18.221737,0.069157864,0.026931005,311.968,0.209340326,0.000641211,0.000124713,0.363217145
139,18.209474,0.055541941,0.02707316,311.962,0.209362821,0.000663193,0.000128512,0.407167584
140,18.139,0.042663123,0.027177,311.996,0.20938526,0.000673742,0.00013387,0.414421377
141,18.122751,0.047069897,0.027086927,312.01,0.209378181,0.000656604,0.000138019,0.362757327
142,18.11738,0.066332542,0.02686586,312.003,0.209340638,0.000642015,0.000139081,0.307875894
143,18.041286,0.088862419,0.027055829,312.014,0.209295796,0.000639651,0.000140439,0.296147604
144,18.022512,0.083133676,0.027350201,312.03,0.20930682,0.000645954,0.000143701,0.401439415
145,18.022341,0.060100971,0.027023198,312.069,0.209346035,0.000665556,0.000148193,0.415551741
146,17.94329,0.046829676,0.027026925,312.052,0.209367915,0.000680273,0.000154175,0.345391316
147,17.923842,0.049543734,0.027171433,312.051,0.209365334,0.000664551,0.000156746,0.454914451
148,17.842681,0.059766921,0.027382282,312.013,0.209346873,0.000656843,0.000157639,0.500203719
149,17.823521,0.07676639,0.027361722,312.02,0.20931216,0.00065751,0.000158506,0.451930292
