Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
0.0,0.0,,-1.99,
5.0,375.0,,-10.91,
10.0,750.0,,0.28,
15.0,1125.0,,1.94,
20.0,1500.0,,5.38,
25.0,1875.0,4.3,5.5,0.02
30.0,2250.0,51.3,7.12,0.28
35.0,2625.0,133.2,10.7,0.94
40.0,3000.0,172.5,12.92,1.81
45.0,3375.0,197.4,14.77,2.79
50.0,3750.0,207.7,14.24,3.83
55.0,4125.0,207.9,12.67,4.87
60.0,4500.0,208.1,10.9,5.91
65.0,4875.0,204.1,10.38,6.93
70.0,5250.0,201.2,9.8,7.94
75.0,5625.0,192.6,9.47,8.9
80.0,6000.0,179.0,9.29,9.8
85.0,6375.0,162.0,9.38,10.61
90.0,6750.0,150.0,9.24,11.36
95.0,7125.0,133.7,8.38,12.03
100.0,7500.0,122.3,8.5,12.64
105.0,7875.0,112.3,6.53,13.2
110.0,8250.0,105.5,5.5,13.73
115.0,8625.0,96.4,5.19,14.21
120.0,9000.0,89.3,5.25,14.66
125.0,9375.0,82.7,4.9,15.07
130.0,9750.0,77.2,4.64,15.45
135.0,10125.0,71.9,3.85,15.81
140.0,10500.0,69.2,2.54,16.16
145.0,10875.0,63.7,3.15,16.48
150.0,11250.0,58.0,2.63,16.77
155.0,11625.0,56.5,2.02,17.05
160.0,12000.0,53.7,1.35,17.32
165.0,12375.0,50.8,2.15,17.57
170.0,12750.0,47.5,2.26,17.81
175.0,13125.0,46.5,2.33,18.04
180.0,13500.0,44.3,1.36,18.26
185.0,13875.0,44.0,0.87,18.48
190.0,14250.0,42.3,3.27,18.7
195.0,14625.0,41.6,5.06,18.9
200.0,15000.0,40.2,4.14,19.1
205.0,15375.0,40.3,1.78,19.31
210.0,15750.0,38.0,0.8,19.5
215.0,16125.0,37.6,0.15,19.68
220.0,16500.0,36.6,0.75,19.87
225.0,16875.0,36.5,3.02,20.05
230.0,17250.0,38.1,3.42,20.24
235.0,17625.0,36.7,2.33,20.42
240.0,18000.0,35.0,1.44,20.6
245.0,18375.0,35.6,-0.79,20.78
250.0,18750.0,35.4,0.23,20.95
